election_year,candidate_name,office_text,election_stage,source_url,archive_url,verification_status,notes
2016,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | https://actionnetwork.org/groups/greater-binghamton-dsa | https://www.instagram.com/broomecountydsa/,https://web.archive.org/web/*/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"No recoverable official Broome/Greater Binghamton chapter source predates the chapter's December 6, 2021 Action Network action. The current DSA National directory record was created after this census period and lists Broome as an organizing committee without a website or social links; Wayback exposes only two 2023 captures of the former Greater Binghamton DSA Action Network group and no capture of the official Instagram profile. No direct first-party 2016 candidate-endorsement artifact was recovered; ballot measures were excluded."
2017,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | https://actionnetwork.org/groups/greater-binghamton-dsa | https://www.instagram.com/broomecountydsa/,https://web.archive.org/web/*/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"No recoverable official Broome/Greater Binghamton chapter source predates the chapter's December 6, 2021 Action Network action. The current DSA National directory record was created after this census period and lists Broome as an organizing committee without a website or social links; Wayback exposes only two 2023 captures of the former Greater Binghamton DSA Action Network group and no capture of the official Instagram profile. No direct first-party 2017 candidate-endorsement artifact was recovered; ballot measures were excluded."
2018,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | https://actionnetwork.org/groups/greater-binghamton-dsa | https://www.instagram.com/broomecountydsa/,https://web.archive.org/web/*/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"No recoverable official Broome/Greater Binghamton chapter source predates the chapter's December 6, 2021 Action Network action. The current DSA National directory record was created after this census period and lists Broome as an organizing committee without a website or social links; Wayback exposes only two 2023 captures of the former Greater Binghamton DSA Action Network group and no capture of the official Instagram profile. No direct first-party 2018 candidate-endorsement artifact was recovered; ballot measures were excluded."
2019,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | https://actionnetwork.org/groups/greater-binghamton-dsa | https://www.instagram.com/broomecountydsa/,https://web.archive.org/web/*/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"No recoverable official Broome/Greater Binghamton chapter source predates the chapter's December 6, 2021 Action Network action. The current DSA National directory record was created after this census period and lists Broome as an organizing committee without a website or social links; Wayback exposes only two 2023 captures of the former Greater Binghamton DSA Action Network group and no capture of the official Instagram profile. No direct first-party 2019 candidate-endorsement artifact was recovered; ballot measures were excluded."
2020,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | https://actionnetwork.org/groups/greater-binghamton-dsa | https://www.instagram.com/broomecountydsa/,https://web.archive.org/web/*/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"No recoverable official Broome/Greater Binghamton chapter source predates the chapter's December 6, 2021 Action Network action. The current DSA National directory record was created after this census period and lists Broome as an organizing committee without a website or social links; Wayback exposes only two 2023 captures of the former Greater Binghamton DSA Action Network group and no capture of the official Instagram profile. No direct first-party 2020 candidate-endorsement artifact was recovered; ballot measures were excluded."
2021,,No directly verified candidate endorsements located,year_gap,https://actionnetwork.org/groups/greater-binghamton-dsa | https://actionnetwork.org/events/binghamton-dsa-housing-working-group-meeting-december-6-2021 | https://www.instagram.com/p/CZAag84lrKe/,https://web.archive.org/web/20230910165648id_/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"The archived official Greater Binghamton DSA Action Network inventory preserves one 2021 public action, a December 6 housing working-group meeting, and no candidate-endorsement action. The chapter's official Instagram launch post is dated January 21, 2022 and identifies the account as the Greater Binghamton local organizing in Broome County; no earlier Instagram or Action Network archive was located. No direct first-party 2021 candidate-endorsement artifact was recovered; ballot measures were excluded."
2022,,No directly verified candidate endorsements located,year_gap,https://www.instagram.com/broomecountydsa/ | https://www.instagram.com/p/CZAag84lrKe/ | https://actionnetwork.org/groups/greater-binghamton-dsa,https://web.archive.org/web/20230910165648id_/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"The current official Instagram feed contains all 44 profile posts, beginning January 21, 2022; every 2022 caption and all available post images/carousels were reviewed, with no direct candidate endorsement. The archived official Action Network group inventory lists its public actions from December 2021 onward—meetings, political education, labor solidarity, social events, and issue campaigns—but no candidate-endorsement action. No direct first-party 2022 candidate-endorsement artifact was recovered; ballot measures were excluded."
2023,,No directly verified candidate endorsements located,year_gap,https://www.instagram.com/broomecountydsa/ | https://www.instagram.com/p/Cr_CIckOzj2/ | https://actionnetwork.org/groups/greater-binghamton-dsa,https://web.archive.org/web/20230910165648id_/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"The official Instagram feed and its media were reviewed through its final post on May 8, 2023, with no direct candidate endorsement. The September 10, 2023 official Action Network archive lists 62 public actions through May 2023 and one issue campaign; none is a candidate endorsement. Because no later first-party 2023 source or endorsement artifact was recoverable, this remains a documented source gap rather than proof that no endorsement occurred; ballot measures were excluded."
2024,,No directly verified candidate endorsements located,year_gap,https://www.instagram.com/broomecountydsa/ | https://actionnetwork.org/groups/greater-binghamton-dsa | https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on,https://web.archive.org/web/20230910165648id_/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"The official Instagram account has no posts after May 8, 2023, the former official Action Network group is now unavailable, and its latest Wayback capture is September 10, 2023. The current DSA National directory record was created after the requested period and supplies no 2024 chapter web or social archive. No direct first-party 2024 candidate-endorsement artifact was recovered; ballot measures were excluded."
2025,,No directly verified candidate endorsements located,year_gap,https://www.instagram.com/broomecountydsa/ | https://actionnetwork.org/groups/greater-binghamton-dsa | https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on,https://web.archive.org/web/20230910165648id_/https://actionnetwork.org/groups/greater-binghamton-dsa | https://web.archive.org/web/*/https://www.instagram.com/broomecountydsa/,source_unavailable,"The official Instagram account has no posts after May 8, 2023, the former official Action Network group is now unavailable, and its latest Wayback capture is September 10, 2023. The current DSA National directory record was created after the requested period and supplies no 2025 chapter web or social archive. No direct first-party 2025 candidate-endorsement artifact was recovered; ballot measures were excluded."
