election_year,candidate_name,office_text,election_stage,source_url,archive_url,verification_status,notes
2016,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | http://www.capecoddsa.org/ | https://www.facebook.com/CapeCodDSA/ | https://x.com/CapeCodDSA | https://www.instagram.com/capecoddsa/,https://web.archive.org/web/*/http://www.capecoddsa.org/ | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/,source_unavailable,"No recoverable official Cape Cod DSA chapter, social, or archive source from 2016 was located. The chapter website's first located capture is June 30, 2018, and the recoverable official X/Twitter record begins April 16, 2019. No direct first-party 2016 candidate-endorsement artifact was recovered; ballot measures were excluded."
2017,,No directly verified candidate endorsements located,year_gap,https://airtable.com/embed/appVbWrpnpZXvsVJH/shrorpPIHVt83eIq0?backgroundColor=gray&viewControls=on | http://www.capecoddsa.org/ | https://www.facebook.com/CapeCodDSA/ | https://x.com/CapeCodDSA | https://www.instagram.com/capecoddsa/,https://web.archive.org/web/*/http://www.capecoddsa.org/ | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/,source_unavailable,"No recoverable official Cape Cod DSA chapter, social, or archive source from 2017 was located. The chapter website's first located capture is June 30, 2018, and the recoverable official X/Twitter record begins April 16, 2019. No direct first-party 2017 candidate-endorsement artifact was recovered; ballot measures were excluded."
2018,Bill Cimbrelo,U.S. House — Massachusetts 9th Congressional District,democratic primary,https://www.facebook.com/CapeCodDSA/videos/bill-cimbrelo-speaking-at-our-meeting/2226039100756658/ | http://www.capecoddsa.org/,https://web.archive.org/web/20180630135814id_/http://www.capecoddsa.org/ | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/,source_unavailable,"The official chapter Facebook page preserves a video titled “Bill Cimbrelo speaking at our meeting,” but no accessible official chapter post or archive capture directly stating an endorsement was recovered. The sole located 2018 website capture identifies the chapter and its immigration-justice focus but contains no candidate endorsement. The candidacy is retained as a documented source gap and is not marked verified; ballot measures were excluded."
2019,,No directly verified candidate endorsements located,year_gap,http://www.capecoddsa.org/ | https://www.facebook.com/CapeCodDSA/ | https://x.com/CapeCodDSA,https://web.archive.org/web/20190530133308id_/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/ | https://web.archive.org/web/*/http://www.capecoddsa.org/,source_unavailable,"The recoverable official X/Twitter corpus begins April 16, 2019 and contains 48 dated 2019 posts; none directly states a candidate endorsement. No 2019 chapter-website capture or complete January–March social record was located, so this remains a documented gap rather than proof that no endorsement occurred; ballot measures were excluded."
2020,Ed Markey,U.S. Senate — Massachusetts,democratic primary,https://x.com/CapeCodDSA/status/1297912259033825280 | https://photos.google.com/share/AF1QipNDMJWkJ-zmi-pYUyWXrjOOLzOqZxJb71wFO_MQ4il3hOS_JKyZumIYPIL2uXR4zQ?key=VmhrcTY4V2ZFVDlEZXFGeEFxWXJSZjRWSDFrQnJB,https://web.archive.org/web/20200824150828id_/https://twitter.com/CapeCodDSA/status/1297912259033825280,verified,"The official Cape Cod DSA post explicitly says the chapter is “happy to endorse Senator Ed Markey” in the September 1 Democratic primary and links its full endorsement statement. Repeated chapter posts opposing Ron Beaty without explicitly endorsing named county-commission candidates were not counted. The chapter's Yes on 2 position was a ballot measure and was excluded."
2021,,No directly verified candidate endorsements located,year_gap,https://x.com/CapeCodDSA | https://www.capecoddsa.org/blog/categories/the-cranberry-scoop | https://www.facebook.com/CapeCodDSA/,https://web.archive.org/web/20220818053733id_/https://www.capecoddsa.org/post/the-cranberry-scoop-june-july-2021-issue-5 | https://web.archive.org/web/20220818042532id_/https://www.capecoddsa.org/post/the-cranberry-scoop-may-june-2021-issue-4 | https://web.archive.org/web/20220818035738id_/https://www.capecoddsa.org/post/the-cranberry-scoop-november-2021-issue-7 | https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/,source_unavailable,"The recoverable official record includes 134 dated 2021 X/Twitter posts and archived official 2021 newsletters. No source directly states a candidate endorsement. The newsletters document opposition materials concerning two Brewster School Committee candidates, but opposition research is not an endorsement and those candidates were excluded. Incomplete social and newsletter preservation leaves a documented gap; ballot measures were excluded."
2022,Jack Stanton,Massachusetts House of Representatives — 4th Barnstable District,democratic primary,https://x.com/CapeCodDSA/status/1535760024034746369 | https://www.capecoddsa.org/post/the-cranberry-scoop-spring-2022-issue-9,https://web.archive.org/web/20220611230518id_/https://twitter.com/CapeCodDSA/status/1535760024034746369 | https://web.archive.org/web/20220818034848id_/https://www.capecoddsa.org/post/the-cranberry-scoop-spring-2022-issue-9,verified,"Two direct official sources corroborate the endorsement: the chapter's X/Twitter post says Cape Cod DSA is “proud to endorse Jack Stanton,” and its Spring 2022 newsletter says members voted to endorse his campaign for the 4th Barnstable District. The Fair Share Amendment was a ballot measure and was excluded."
2023,,No directly verified candidate endorsements located,year_gap,https://www.capecoddsa.org/ | https://www.facebook.com/CapeCodDSA/ | https://x.com/CapeCodDSA | https://www.instagram.com/capecoddsa/,https://web.archive.org/web/*/https://www.capecoddsa.org/ | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/ | https://web.archive.org/web/*/https://www.instagram.com/capecoddsa/,source_unavailable,"No dated 2023 post was recovered from the official X/Twitter archive, and the located official website captures expose no 2023 candidate-endorsement page. Facebook and Instagram histories are not completely accessible or archived. No direct first-party 2023 candidate-endorsement artifact was recovered; ballot measures were excluded."
2024,,No directly verified candidate endorsements located,year_gap,https://x.com/CapeCodDSA/status/1763321072907137183 | https://www.facebook.com/CapeCodDSA/posts/756303516531173/ | https://www.instagram.com/capecoddsa/ | https://www.capecoddsa.org/,https://web.archive.org/web/*/https://twitter.com/CapeCodDSA/status/1763321072907137183 | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://www.instagram.com/capecoddsa/ | https://web.archive.org/web/*/https://www.capecoddsa.org/,source_unavailable,"The recovered official 2024 X/Twitter post promotes “No Preference” in the presidential primary, not a candidate endorsement. Located official Facebook meeting notices and website/social archives contain no direct candidate-endorsement statement, while complete social histories remain unavailable. No direct first-party 2024 candidate endorsement was recovered; ballot measures were excluded."
2025,,No directly verified candidate endorsements located,year_gap,https://www.instagram.com/capecoddsa/ | https://www.instagram.com/p/DLVF9ORMtO-/ | https://www.facebook.com/CapeCodDSA/ | https://www.capecoddsa.org/,https://web.archive.org/web/*/https://www.instagram.com/capecoddsa/ | https://web.archive.org/web/*/https://www.facebook.com/CapeCodDSA/ | https://web.archive.org/web/*/https://www.capecoddsa.org/,source_unavailable,"The accessible latest official Instagram posts were reviewed. The chapter's June 25 post congratulates Zohran Mamdani after his primary victory; it does not state that Cape Cod DSA endorsed him and therefore is not counted. Older 2025 Instagram/Facebook history is not completely accessible or archived, and no direct first-party 2025 candidate-endorsement artifact was recovered; ballot measures were excluded."
