statement_key,race_id,candidate_name,election_date,party,role,evidence_status,topic,subtopic,stance,quote,source_url,source_type,published_date,locator,direct_opponent_name,notes
1670e207e6777b818e7fed70,race-5db7edca6b190a1d4c39,"Gordon ""The People's Champion"" Fletcher",2022-06-21,Democratic,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
3ae90a6891e1100bbb68f03b,race-739b00d07e247e111eb1,Jonathan Anthony Roberts,2025-10-11,No Party,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
d24a38c5f45d94d7e99186d5,race-a5c9cc4ff2b525bcb410,Ernest Yorihiko Martin,2018-08-11,Democratic,opponent,verified,climate_energy,emissions,support,We need to go back to the Paris Climate Agreement; we need to enforce the rules on the books.,https://www.civilbeat.org/2018/06/candidate-qa-u-s-house-district-1-ernie-martin/,candidate_questionnaire,2018-06-26,Question 5,,
7167c4cd9f02b45d62773339,race-b3391a7e7677cdca4f09,Erica Vilardi-Espinosa,2022-06-07,Nonpartisan,opponent,verified,education,public_schools,support,Updating the facilities and increasing staff to serve the most overcrowded schools and outdated buildings.,https://www.laschoolreport.com/meet-the-lausd-school-board-candidates-erica-vilardi-espinosa-is-running-to-make-sure-all-lausd-schools-are-doing-everything-to-ensure-our-children-are-prepared-for-the-future/,candidate_questionnaire,2022-03-01,Superintendent priority,,
be890dcf536bb6e017e31e69,race-ac18370d47435bd68552,Bradley Nemo Callaway,2026-08-04,Democratic,endorsed,verified,labor,wages,mixed,The minimum wage should be abolished in place of a universal basic income to which all wages are supplementary; however a national minimum wage tied to local cost of living and inflation that ensure that anyone with a job can thrive is acceptable.,https://ivoterguide.com/candidate/93065/race/28820/election/1435,candidate_questionnaire,,Economy: minimum wage,,
f5217e183fb5f7aa616853b3,race-f96b28cfef78a6d2939c,"Gilbert ""Gil"" Cedillo",2022-06-07,Nonpartisan,opponent,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
5730d0d1a2b34ecc6b60fce7,race-3b8f105d02f390f68f75,Uncommitted Delegates,2024-03-12,Democratic,endorsed,verified,foreign_policy,palestine,support,"By instead selecting Uncommitted Delegates together as a voting bloc against the war in Gaza, our votes WILL count.",https://web.archive.org/web/20240304014829/https://www.uncommittedwa.org/faqs,official_campaign_page,2024-03-04,FAQ: write-in versus Uncommitted Delegates,,
7ae5c7413a5c6ae1398c7ff4,race-0237c4a27ae65d01b793,Janeese Lewis George,2024-06-04,Democratic,endorsed,source_unavailable,,,unclear,,,,,Search log,,"Searched official campaign web/social results, election-authority voter guides, candidate questionnaires, and primary-period debate/interview transcripts; no retrievable exact first-party policy statement found."
d470065492ac3ab7b074d483,race-a493243e3fd4b72b829f,Janeese Lewis George,2026-06-16,Democratic,endorsed,verified,housing,rent_control,support,Janeese will strengthen and expand DC’s rent stabilization program and prioritize truly affordable homes in existing and new housing funds and projects.,https://janeesefordc.com/platform/homes-for-all/,official_campaign_page,,Homes for All: Lowering costs for tenants,,
d470065492ac3ab7b074d483,race-a493243e3fd4b72b829f,Janeese Lewis George,2026-06-16,Democratic,endorsed,verified,housing,public_housing,support,"She will launch Dignified Homes DC, a bold commitment to build publicly owned, mixed-income housing with stable and affordable rents that put people ahead of profit.",https://janeesefordc.com/platform/homes-for-all/,official_campaign_page,,Homes for All: Building more and better homes,,
