kind,record_id,year,candidate,race_ids,issue,source_url,detail
local_endorsement,b06b10b248307b1d1c969833,,Francesca Hong,,unresolved_election_year,https://dsamadison.org/blog/2025/09/23/9-23-25/,
chapter_year,rec0T5hL44DwnSPD0-2015,2015,,,not_searched,,Snohomish County: additional_archive_review_needed
chapter_year,rec0ut8JliEiv0O26-2015,2015,,,not_searched,,Greater Lansing: url_index_searched_content_review_pending
chapter_year,rec0yCHUGxHkEfPR9-2015,2015,,,not_searched,,Knoxville: additional_archive_review_needed
chapter_year,rec10F86xarzwxgv3-2015,2015,,,not_searched,,Central Arkansas: url_index_searched_content_review_pending
chapter_year,rec18H0LBUFgw7VOA-2015,2015,,,not_searched,,Peninsula California: url_index_searched_content_review_pending
chapter_year,rec1PoP1FexlSxpRj-2015,2015,,,not_searched,,Central Coast California: url_index_searched_content_review_pending
chapter_year,rec1Ue7jCImWQduTC-2015,2015,,,not_searched,,East Central Illinois: additional_archive_review_needed
chapter_year,rec1XIbPiT3auKii3-2015,2015,,,not_searched,,Rio Grande Valley: official_social_account_pending
chapter_year,rec1XZXW341XzyNWC-2015,2015,,,not_searched,,Marin: url_index_searched_content_review_pending
chapter_year,rec1mGRQwXhEKwfbZ-2015,2015,,,not_searched,,Sun Valley: url_index_searched_content_review_pending
chapter_year,rec1mapPnTUtvmgy0-2015,2015,,,not_searched,,Boston: url_index_searched_content_review_pending
chapter_year,rec2hrfX1lQo6X4HY-2015,2015,,,not_searched,,Silicon Valley: additional_archive_review_needed
chapter_year,rec3ZYuExL6nKgUE3-2015,2015,,,not_searched,,Worcester: additional_archive_review_needed
chapter_year,rec3o0vKx3GjoZ4BS-2015,2015,,,not_searched,,Northern Indiana: additional_archive_review_needed
chapter_year,rec4CR2I5yEhcirbO-2015,2015,,,not_searched,,Broome: additional_archive_review_needed
chapter_year,rec4bDzSh9Qmudvuz-2015,2015,,,not_searched,,Twin Cities: url_index_searched_content_review_pending
chapter_year,rec4zDtZoXBGevsUj-2015,2015,,,not_searched,,West Georgia: official_social_account_pending
chapter_year,rec54AWSMvAF9JKrT-2015,2015,,,not_searched,,Columbia: additional_archive_review_needed
chapter_year,rec54EXFtdU3sY5ln-2015,2015,,,not_searched,,Birmingham: additional_archive_review_needed
chapter_year,rec55JL0GFcYlgECH-2015,2015,,,not_searched,,Columbus: website_or_archive_retry_needed
chapter_year,rec5aFxWovVQRZg1m-2015,2015,,,not_searched,,Metro DC: additional_archive_review_needed
chapter_year,rec5gUZbN8dpmS1SO-2015,2015,,,not_searched,,Rhode Island: url_index_searched_content_review_pending
chapter_year,rec5hJmR73tFnnrHr-2015,2015,,,not_searched,,Orange County: url_index_searched_content_review_pending
chapter_year,rec5oCB3pkgeeCu3c-2015,2015,,,not_searched,,Kern County: additional_archive_review_needed
chapter_year,rec6LaSDWauZxCKEx-2015,2015,,,not_searched,,Southern Illinois: additional_archive_review_needed
chapter_year,rec6sYU5bjE8ZUFdT-2015,2015,,,not_searched,,Greater Lafayette: additional_archive_review_needed
chapter_year,rec7AQSLf28mV3Z9L-2015,2015,,,not_searched,,San Juan County: additional_archive_review_needed
chapter_year,rec7NHEEDIalwfwe3-2015,2015,,,not_searched,,Central Iowa: url_index_searched_content_review_pending
chapter_year,rec7sks6OHL9j2ndi-2015,2015,,,not_searched,,San Luis Obispo: additional_archive_review_needed
