source_record_id,workbook_cycle,chamber,state_code,state,district,district_raw,term,candidate_name,fec_candidate_id,party_raw,row_kind,primary_votes,primary_votes_raw,primary_runoff_votes,primary_runoff_votes_raw,general_votes,general_votes_raw,general_runoff_votes,general_runoff_votes_raw,primary_winner_raw,general_winner_raw,footnotes,source_url,source_sha256,source_sheet,source_row,raw_cells_json
bdbd8c04c1a8599a7df62698,2016,Senate,AL,Alabama,S,S,regular,"Shelby, Richard C.",S6AL00013,R,candidate,505586,505586,,,1335104,1335104,,,,W,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,3,"[""3"", ""AL"", ""Alabama"", ""S"", ""S6AL00013"", ""(I)"", ""Richard C."", ""Shelby"", ""Shelby, Richard C."", """", ""R"", ""505586"", ""0.6491434176755246"", """", """", ""1335104"", ""0.639587936251224"", """", """", """", """", ""W"", """"]"
a9f24c7c8b9ad3da8a728732,2016,Senate,AL,Alabama,S,S,regular,"McConnell, Jonathan",S6AL00310,R,candidate,214770,214770,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,4,"[""4"", ""AL"", ""Alabama"", ""S"", ""S6AL00310"", """", ""Jonathan"", ""McConnell"", ""McConnell, Jonathan"", """", ""R"", ""214770"", ""0.27575235828162253"", """", """", """", """", """", """", """", """", """", """"]"
853403537fe5b31b4a16ee94,2016,Senate,AL,Alabama,S,S,regular,"Martin, John",S6AL00328,R,candidate,23558,23558,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,5,"[""5"", ""AL"", ""Alabama"", ""S"", ""S6AL00328"", """", ""John"", ""Martin"", ""Martin, John"", """", ""R"", ""23558"", ""0.030247120437670364"", """", """", """", """", """", """", """", """", """", """"]"
a33c6a116d219ec455caa668,2016,Senate,AL,Alabama,S,S,regular,"Bowman, Marcus",S6AL00336,R,candidate,19707,19707,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,6,"[""6"", ""AL"", ""Alabama"", ""S"", ""S6AL00336"", """", ""Marcus"", ""Bowman"", ""Bowman, Marcus"", """", ""R"", ""19707"", ""0.02530265737605781"", """", """", """", """", """", """", """", """", """", """"]"
06bcee065925d499af5ede62,2016,Senate,AL,Alabama,S,S,regular,"McGill, Shadrack",S6AL00385,R,candidate,15230,15230,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,7,"[""7"", ""AL"", ""Alabama"", ""S"", ""S6AL00385"", """", ""Shadrack"", ""McGill"", ""McGill, Shadrack"", """", ""R"", ""15230"", ""0.019554446229124698"", """", """", """", """", """", """", """", """", """", """"]"
0ce144c4efa0d9b78b195327,2016,Senate,AL,Alabama,S,S,regular,"Crumpton, Ron",S6AL00302,D,candidate,153897,153897,,,748709,748709,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,9,"[""9"", ""AL"", ""Alabama"", ""S"", ""S6AL00302"", """", ""Ron"", ""Crumpton"", ""Crumpton, Ron"", """", ""D"", ""153897"", ""0.5608021193558849"", """", """", ""748709"", ""0.3586726158881388"", """", """", """", """", """", """"]"
3b3bcd58def5fb151196c029,2016,Senate,AL,Alabama,S,S,regular,"Nana, Charles",S6AL00369,D,candidate,120526,120526,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,10,"[""10"", ""AL"", ""Alabama"", ""S"", ""S6AL00369"", """", ""Charles"", ""Nana"", ""Nana, Charles"", """", ""D"", ""120526"", ""0.4391978806441151"", """", """", """", """", """", """", """", """", """", """"]"
574de32829e10127970b7603,2016,Senate,AL,Alabama,S,S,regular,Scattered,n/a,W,aggregate,,,,,3631,3631,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,12,"[""12"", ""AL"", ""Alabama"", ""S"", ""n/a"", """", """", ""Scattered"", ""Scattered"", """", ""W"", """", """", """", """", ""3631"", ""0.0017394478606372196"", """", """", """", """", """", """"]"
0a5d9d3ec071aecf52f112ff,2016,Senate,AK,Alaska,S,S,regular,"Murkowski, Lisa",S4AK00099,R,candidate,39545,39545,,,138149,138149,,,,W,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,16,"[""16"", ""AK"", ""Alaska"", ""S"", ""S4AK00099"", ""(I)"", ""Lisa"", ""Murkowski"", ""Murkowski, Lisa"", """", ""R"", ""39545"", ""0.7151899878827338"", """", """", ""138149"", ""0.44358000391727487"", """", """", """", """", ""W"", """"]"
2de56a5f542f869360f1966e,2016,Senate,AK,Alaska,S,S,regular,"Lochner, Bob",S6AK00144,R,candidate,8480,8480,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,17,"[""17"", ""AK"", ""Alaska"", ""S"", ""S6AK00144"", """", ""Bob"", ""Lochner"", ""Lochner, Bob"", """", ""R"", ""8480"", ""0.1533648020545096"", """", """", """", """", """", """", """", """", """", """"]"
3071b48f49f781ce04f95701,2016,Senate,AK,Alaska,S,S,regular,"Kendall, Paul",S6AK00193,R,candidate,4272,4272,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,18,"[""18"", ""AK"", ""Alaska"", ""S"", ""S6AK00193"", """", ""Paul"", ""Kendall"", ""Kendall, Paul"", """", ""R"", ""4272"", ""0.07726113612934729"", """", """", """", """", """", """", """", """", """", """"]"
1f01674064e988a19f4e6aa6,2016,Senate,AK,Alaska,S,S,regular,"Lamb, Thomas",S6AK00136,R,candidate,2996,2996,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,19,"[""19"", ""AK"", ""Alaska"", ""S"", ""S6AK00136"", """", ""Thomas"", ""Lamb"", ""Lamb, Thomas"", """", ""R"", ""2996"", ""0.054184073933409294"", """", """", """", """", """", """", """", """", """", """"]"
88d6ee7d25bbd32c67b45ea2,2016,Senate,AK,Alaska,S,S,regular,"Miller, Joe  #",S0AK00121,LIB,candidate,,,,,90825,90825,,,,,# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,21,"[""21"", ""AK"", ""Alaska"", ""S"", ""S0AK00121"", """", ""Joe"", ""Miller"", ""Miller, Joe  #"", """", ""LIB"", """", """", """", """", ""90825"", ""0.2916282698809726"", """", """", """", """", """", ""# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.""]"
beeb532414bda37abed33db9,2016,Senate,AK,Alaska,S,S,regular,"Stevens, Cean  #",S6AK00169,LIB,candidate,5102,5102,,,,,,,,,# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,22,"[""22"", ""AK"", ""Alaska"", ""S"", ""S6AK00169"", """", ""Cean"", ""Stevens"", ""Stevens, Cean  #"", """", ""LIB"", ""5102"", ""1"", """", """", """", """", """", """", """", """", """", ""# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.""]"
0393619d850702660a0b1c0a,2016,Senate,AK,Alaska,S,S,regular,"Metcalfe, Ray",S8AK00082,D,candidate,15228,15228,,,36200,36200,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,24,"[""24"", ""AK"", ""Alaska"", ""S"", ""S8AK00082"", """", ""Ray"", ""Metcalfe"", ""Metcalfe, Ray"", """", ""D"", ""15228"", ""0.6014693103720673"", """", """", ""36200"", ""0.11623389341801497"", """", """", """", """", """", """"]"
f1480681e22ce751864a1e2d,2016,Senate,AK,Alaska,S,S,regular,"Blatchford, Edgar",S6AK00177,D,candidate,10090,10090,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,25,"[""25"", ""AK"", ""Alaska"", ""S"", ""S6AK00177"", """", ""Edgar"", ""Blatchford"", ""Blatchford, Edgar"", """", ""D"", ""10090"", ""0.3985306896279327"", """", """", """", """", """", """", """", """", """", """"]"
e1bd069778a31807eabcda53,2016,Senate,AK,Alaska,S,S,regular,"Stock, Margaret",S6AK00151,NAF,candidate,,,,,41194,41194,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,27,"[""27"", ""AK"", ""Alaska"", ""S"", ""S6AK00151"", """", ""Margaret"", ""Stock"", ""Stock, Margaret"", """", ""NAF"", """", """", """", """", ""41194"", ""0.1322690333000472"", """", """", """", """", """", """"]"
c014e196631a89e533166203,2016,Senate,AK,Alaska,S,S,regular,"Craig, Breck A.",S6AK00201,NAF,candidate,,,,,2609,2609,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,28,"[""28"", ""AK"", ""Alaska"", ""S"", ""S6AK00201"", """", ""Breck A."", ""Craig"", ""Craig, Breck A."", """", ""NAF"", """", """", """", """", ""2609"", ""0.00837718861678456"", """", """", """", """", """", """"]"
c9429998d030d54c7ca0b8e8,2016,Senate,AK,Alaska,S,S,regular,"Gianoutsos, Ted",S4AK00115,NAF,candidate,,,,,1758,1758,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,29,"[""29"", ""AK"", ""Alaska"", ""S"", ""S4AK00115"", """", ""Ted"", ""Gianoutsos"", ""Gianoutsos, Ted"", """", ""NAF"", """", """", """", """", ""1758"", ""0.005644728857151114"", """", """", """", """", """", """"]"
1f965a55836e05fe023c9ece,2016,Senate,AK,Alaska,S,S,regular,Scattered,n/a,W,aggregate,,,,,706,706,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,30,"[""30"", ""AK"", ""Alaska"", ""S"", ""n/a"", """", """", ""Scattered"", ""Scattered"", """", ""W"", """", """", """", """", ""706"", ""0.0022668820097546567"", """", """", """", """", """", """"]"
64b2e693bce0fc54025e0452,2016,Senate,AZ,Arizona,S,S,regular,"McCain, John",S6AZ00019,R,candidate,302532,302532,,,1359267,1359267,,,,W,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,33,"[""33"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00019"", ""(I)"", ""John"", ""McCain"", ""McCain, John"", """", ""R"", ""302532"", ""0.5116128050327229"", """", """", ""1359267"", ""0.5371047089179802"", """", """", """", """", ""W"", """"]"
580f3cb3a738f2b687d24e18,2016,Senate,AZ,Arizona,S,S,regular,"Ward, Kelli",S6AZ00233,R,candidate,235988,235988,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,34,"[""34"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00233"", """", ""Kelli"", ""Ward"", ""Ward, Kelli"", """", ""R"", ""235988"", ""0.3990800399100333"", """", """", """", """", """", """", """", """", """", """"]"
5f954c82c61dab777e3522a3,2016,Senate,AZ,Arizona,S,S,regular,"Meluskey, Alex",S6AZ00217,R,candidate,31159,31159,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,35,"[""35"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00217"", """", ""Alex"", ""Meluskey"", ""Meluskey, Alex"", """", ""R"", ""31159"", ""0.05269308169719108"", """", """", """", """", """", """", """", """", """", """"]"
ec123c86081ffba5fec7781d,2016,Senate,AZ,Arizona,S,S,regular,"Van Steenwyk, Clair",S2AZ00216,R,candidate,21476,21476,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,36,"[""36"", ""AZ"", ""Arizona"", ""S"", ""S2AZ00216"", """", ""Clair"", ""Van Steenwyk"", ""Van Steenwyk, Clair"", """", ""R"", ""21476"", ""0.03631813031640539"", """", """", """", """", """", """", """", """", """", """"]"
af1bfeff4865c01328fa6ac4,2016,Senate,AZ,Arizona,S,S,regular,"Webster, Sean",S6AZ00332,W(R),candidate,175,175,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,37,"[""37"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00332"", """", ""Sean"", ""Webster"", ""Webster, Sean"", """", ""W(R)"", ""175"", ""0.00029594304364737115"", """", """", """", """", """", """", """", """", """", """"]"
d7f2a6802ecb6d28bd48195a,2016,Senate,AZ,Arizona,S,S,regular,"Kirkpatrick, Ann",S6AZ00225,D,candidate,333586,333586,,,1031245,1031245,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,39,"[""39"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00225"", """", ""Ann"", ""Kirkpatrick"", ""Kirkpatrick, Ann"", """", ""D"", ""333586"", ""0.9984794698498027"", """", """", ""1031245"", ""0.4074891434487282"", """", """", """", """", """", """"]"
50c6afe023372c20632bc7f4,2016,Senate,AZ,Arizona,S,S,regular,"Bello, Axel",S6AZ00290,W(D),candidate,508,508,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,40,"[""40"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00290"", """", ""Axel"", ""Bello"", ""Bello, Axel"", """", ""W(D)"", ""508"", ""0.0015205301501972498"", """", """", """", """", """", """", """", """", """", """"]"
347b108b51a99cdd21cce707,2016,Senate,AZ,Arizona,S,S,regular,"Swing, Gary",S6AZ00340,W(GRE)/GRE,candidate,238,238,,,138634,138634,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,42,"[""42"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00340"", """", ""Gary"", ""Swing"", ""Swing, Gary"", """", ""W(GRE)/GRE"", ""238"", ""1"", """", """", ""138634"", ""0.05478024127425683"", """", """", """", """", """", """"]"
3bd7ce22c4275016d9bbf356,2016,Senate,AZ,Arizona,S,S,regular,"Hamilton, Merissa",S6AZ00357,W(LIB),candidate,1286,1286,,,,,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,44,"[""44"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00357"", """", ""Merissa"", ""Hamilton"", ""Hamilton, Merissa"", """", ""W(LIB)"", ""1286"", ""1"", """", """", """", """", """", """", """", """", """", """"]"
ce8fc9208ec017b3e3a955e2,2016,Senate,AZ,Arizona,S,S,regular,"Quinn, Pat",S6AZ00258,W,candidate,,,,,694,694,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,46,"[""46"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00258"", """", ""Pat"", ""Quinn"", ""Quinn, Pat"", """", ""W"", """", """", """", """", ""694"", ""0.0002742291749811319"", """", """", """", """", """", """"]"
6ab5b0a427098ff2ba644b20,2016,Senate,AZ,Arizona,S,S,regular,"Dudikoff, Sydney",S6AZ00365,W,candidate,,,,,494,494,,,,,,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,b4a1d1383602bc388cfbdf1fbea2476476d32e0b44b44236d3a3910fa9782eb6,2016 US Senate Results by State,47,"[""47"", ""AZ"", ""Arizona"", ""S"", ""S6AZ00365"", """", ""Sydney"", ""Dudikoff"", ""Dudikoff, Sydney"", """", ""W"", """", """", """", """", ""494"", ""0.00019520059429492675"", """", """", """", """", """", """"]"
