cycle,state_code,chamber,district,regular_primary_status,unresolved_ballot_categories,future_ballot_categories,minor_party_universe_status,special_election_status
2016,AK,House,00,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,01,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,02,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,03,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,04,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,05,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,06,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AL,House,07,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AR,House,01,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AR,House,02,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AR,House,03,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AR,House,04,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AS,House,00,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,01,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,02,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,03,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,04,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,05,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,06,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,07,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,08,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,AZ,House,09,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,01,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,02,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,03,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,04,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,05,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,06,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,07,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,08,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,09,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,10,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,11,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,12,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,13,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,14,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,15,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,16,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,17,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,18,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,19,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,20,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,21,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,22,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,23,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,24,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,25,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,26,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,27,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,28,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,29,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,30,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,31,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,32,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,33,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,34,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,35,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,36,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,37,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,38,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,39,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,40,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,41,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,42,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,43,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,44,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,45,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,46,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,47,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,48,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,49,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,50,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,51,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,52,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CA,House,53,unresolved,all-party,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,01,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,02,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,03,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,04,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,05,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,06,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
2016,CO,House,07,unresolved,Democratic | Republican,,requires_state_election_specific_review,tracked_separately_not_implied_by_regular_seat
