registry_race_id,cycle,state_code,registry_candidate,registry_election_date,registry_office,registry_jurisdiction,status,unmatched_registry_candidates,matched_source_candidates,matched_election_dates,matched_districts,matched_contest_ids,source_urls,issues,notes
national-recDXw3CpyWrmjZpF-dem-primary,2026,MI,Donavan McKinney for Congress,2026-08-04,US Congress (MI-13),District 13,matched_recovered_result,,DONAVAN MCKINNEY,2026-08-04,13,mi-2026-08-04-house-13-regular-democratic,https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=706,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-008359a3ae2f818fb2a9,2024,LA,Devin Davis,2024-11-05,US House,District 2,matched_recovered_result,,Devin Davis,2024-11-05,02,la-2024-11-05-house-02-regular-all,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20241105/Election+Results+(11-05-2024).xlsx,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-0238993b2ccb424dc347,2026,MI,Rashida Tlaib,2026-08-04,US House,District 12,matched_recovered_result,,Rashida Tlaib,2026-08-04,12,mi-2026-08-04-house-12-regular-democratic,https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=706,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-1d2c5471b666d1dfee92,2026,LA,Lauren Jewett,2026-11-03,US House,District 1,review_required,Lauren Jewett,,,,,,no_exact_name_match_in_recovered_returns,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-2d77a10e3b62e9f5ec19,2026,MI,Donavan McKinney,2026-08-04,US House,District 13,matched_recovered_result,,DONAVAN MCKINNEY,2026-08-04,13,mi-2026-08-04-house-13-regular-democratic,https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=706,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-3b9a8d1c4fa2cbcadb73,2026,MO,Hartzell Gray,2026-08-04,US House,District 4,review_required,Hartzell Gray,,,,,,no_exact_name_match_in_recovered_returns,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-46743736b1d8a06d6eff,2026,IL,"Joseph ""Joey"" Ruzevich",2026-03-17,US House,District 6,matched_recovered_result,,"JOSEPH ""JOEY"" RUZEVICH",2026-03-17,06,il-2026-03-17-house-06-regular-democratic,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=Z2J%2FvYpKX8w%3D,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-4bb8173fd4fdca0b2d3f,2024,MO,Cori Bush,2024-08-06,US House,District 1,matched_recovered_result,,Cori Bush,2024-08-06,01,mo-2024-08-06-house-01-regular-democratic,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/2024PrimaryElection.pdf,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-4d9e32ed7f0d618a96ce,2026,NY,Alexandria Ocasio-Cortez,2026-06-23,US House,District 14,matched_recovered_result,,Alexandria Ocasio-Cortez,2026-06-23,14,ny-2026-06-23-house-14-regular-democratic,https://www.vote.nyc/sites/default/files/pdf/election_results/2026/20260623Primary%20Election/01001600014Crossover%20Democratic%20Representative%20in%20Congress%2014th%20Congressional%20District%20Recap.csv,,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
race-5650629789d1169ab061,2024,NY,Jamaal Bowman,2024-06-25,US House,District 16,review_required,Jamaal Bowman,,,,,,no_exact_name_match_in_recovered_returns,"Exact normalized-name matching only. Missing match is not proof of no candidacy; aliases, incomplete sources, conventions and future contests require review. No registry or endorsement role is changed automatically."
