attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
ga-01-historical-inventory,2026-09-22,GA,2024,https://sos.ga.gov/page/historical-elections-results,inspect official statewide archive inventory,success_event_identification,,Confirmed May 21 primary and June 18 runoff events.
ga-02-historical-zips,2026-09-22,GA,2024,https://sos.ga.gov/sites/default/files/2024-07/statewide_2024_may_21.zip,request official historical statewide ZIP,blocked_cloudflare_403,,No loop after the documented block; public results API used instead.
ga-03-election-metadata-api,2026-09-22,GA,2024-2026,https://results.sos.ga.gov/results/public/api/elections/Georgia/GeneralPrimary51926,call public election metadata endpoints,success_official_flags,ga/2026/GeneralPrimary51926-metadata.json,All four events report isOfficialResults=true.
ga-04-ballot-item-api-2024-primary,2026-09-22,GA,2024,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024MayGenPri/ballot-items,download official public ballot-item JSON,success_complete_primary,ga/2024/2024MayGenPri-ballot-items.json,All 14 House districts and both party ballot categories.
ga-05-ballot-item-api-2024-runoff,2026-09-22,GA,2024,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024JunPriRunoff/ballot-items,download official public ballot-item JSON,success_complete_runoff,ga/2024/2024JunPriRunoff-ballot-items.json,Three congressional runoff contests recovered.
ga-06-ballot-item-api-2026,2026-09-22,GA,2026,https://results.sos.ga.gov/results/public/api/elections/Georgia/GeneralPrimary51926/ballot-items,download primary and runoff public ballot-item JSON,success_complete_primary_and_runoff,ga/2026/GeneralPrimary51926-ballot-items.json,"All 14 House districts, Senate, and five federal runoffs."
wi-01-results-page,2026-09-22,WI,2024-2026,https://elections.wi.gov/elections/election-results,request official election-results index,blocked_cloudflare_403,,Direct certified document URLs remained publicly accessible.
wi-02-2024-house-canvass,2026-09-22,WI,2024,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Congress.pdf,download certified county-by-county House canvass PDF,success_complete_house_primary,wi/2024/wi-2024-partisan-primary-us-house-county-canvass.pdf,All eight districts and five partisan ballot categories.
wi-03-2024-senate-canvass,2026-09-22,WI,2024,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report%20-%20US%20Senate.pdf,download certified county-by-county Senate canvass PDF,success_complete_senate_primary,wi/2024/wi-2024-partisan-primary-us-senate-county-canvass.pdf,"All five partisan ballot categories, including scattering."
wi-04-ballot-candidate-download,2026-09-22,WI,2024,https://elections.wi.gov/media/26866/download,request official ballot-candidate download,blocked_cloudflare_403,,Not used to infer participation; certified canvass is sufficient.
wi-05-2026-summary-canvass,2026-09-22,WI,2026,https://elections.wi.gov/sites/default/files/documents/August%202026%20Partisan%20Primary_Summary%20Results.pdf,download certified statewide summary canvass PDF,success_complete_house_primary,wi/2026/wi-2026-partisan-primary-summary.pdf,All eight districts and five partisan ballot categories.
wi-06-structured-pdf-extraction,2026-09-22,WI,2024-2026,https://elections.wi.gov/elections/election-results,extract rotated/multi-column canvass tables with coordinates,success_verified_against_office_totals,wi/2026/wi-2026-partisan-primary-congressional-extraction.csv,Every normalized contest sum is checked against its PDF total.
