source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
ga-2024-general-primary-results,GA,2024-05-21,primary,official_public_ballot_item_api,Georgia Secretary of State linked Enhanced Voting service,https://results.sos.ga.gov/results/public/Georgia/elections/2024MayGenPri,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024MayGenPri/ballot-items,ga/2024/2024MayGenPri-ballot-items.json,2025-01-02,7b22e93511c018b68a7b15e9f1fb02ac3bbdc27c2e43ddcf6d20c37b87162de0,captured,verified_official,official,final_all_reporting_units,54,28,all federal ballot items in this election event,JSON pointers recorded per output row,primary_party is the Rep/Dem ballot contest category. party is the option party supplied by the API and is blank for write-ins.
ga-2024-general-primary-results-metadata,GA,2024-05-21,primary,official_election_metadata,Georgia Secretary of State linked Enhanced Voting service,https://sos.ga.gov/page/georgia-election-results,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024MayGenPri,ga/2024/2024MayGenPri-metadata.json,2025-01-02,8e0370d16adc3644e57e3b0cc427c1c1ecd2781e64d7fc7d2f6fd825b33edf03,captured,verified_official,official,metadata_only,0,0,"election date, official flag, publication timestamp","$.electionDate, $.isOfficialResults, $.asOf",The parser requires isOfficialResults=true.
ga-2024-general-primary-runoff-results,GA,2024-06-18,primary_runoff,official_public_ballot_item_api,Georgia Secretary of State linked Enhanced Voting service,https://results.sos.ga.gov/results/public/Georgia/elections/2024JunPriRunoff,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024JunPriRunoff/ballot-items,ga/2024/2024JunPriRunoff-ballot-items.json,2025-01-02,b4123144dc36358607d7401d39fd02d049989981435d2e9e1207564fff64252e,captured,verified_official,official,final_all_reporting_units,6,3,all federal ballot items in this election event,JSON pointers recorded per output row,primary_party is the Rep/Dem ballot contest category. party is the option party supplied by the API and is blank for write-ins.
ga-2024-general-primary-runoff-results-metadata,GA,2024-06-18,primary_runoff,official_election_metadata,Georgia Secretary of State linked Enhanced Voting service,https://sos.ga.gov/page/georgia-election-results,https://results.sos.ga.gov/results/public/api/elections/Georgia/2024JunPriRunoff,ga/2024/2024JunPriRunoff-metadata.json,2025-01-02,d4ee7878f1a0860dc7e344d7803897150bc9188dec6c46653fedb825f10d63aa,captured,verified_official,official,metadata_only,0,0,"election date, official flag, publication timestamp","$.electionDate, $.isOfficialResults, $.asOf",The parser requires isOfficialResults=true.
ga-2026-general-primary-results,GA,2026-05-19,primary,official_public_ballot_item_api,Georgia Secretary of State linked Enhanced Voting service,https://results.sos.ga.gov/results/public/Georgia/elections/GeneralPrimary51926,https://results.sos.ga.gov/results/public/api/elections/Georgia/GeneralPrimary51926/ballot-items,ga/2026/GeneralPrimary51926-ballot-items.json,2026-06-05,73fd7cec3b6196040bd3c74e0f6894efce1d053717a0231f79db6e6008e4f6b8,captured,verified_official,official,final_all_reporting_units,86,30,all federal ballot items in this election event,JSON pointers recorded per output row,primary_party is the Rep/Dem ballot contest category. party is the option party supplied by the API and is blank for write-ins.
ga-2026-general-primary-results-metadata,GA,2026-05-19,primary,official_election_metadata,Georgia Secretary of State linked Enhanced Voting service,https://sos.ga.gov/page/georgia-election-results,https://results.sos.ga.gov/results/public/api/elections/Georgia/GeneralPrimary51926,ga/2026/GeneralPrimary51926-metadata.json,2026-06-05,17846b7e515530488a20a8e4d3cbcf4b0ef7d445b705a931b2148d28502b7d91,captured,verified_official,official,metadata_only,0,0,"election date, official flag, publication timestamp","$.electionDate, $.isOfficialResults, $.asOf",The parser requires isOfficialResults=true.
ga-2026-general-primary-runoff-results,GA,2026-06-16,primary_runoff,official_public_ballot_item_api,Georgia Secretary of State linked Enhanced Voting service,https://results.sos.ga.gov/results/public/Georgia/elections/06162026GeneralPrimaryRunoff,https://results.sos.ga.gov/results/public/api/elections/Georgia/06162026GeneralPrimaryRunoff/ballot-items,ga/2026/06162026GeneralPrimaryRunoff-ballot-items.json,2026-08-20,130a86599b2ecc1d6aeccdc0be8cabf723c1565fb22a38664efb254f215599fc,captured,verified_official,official,final_all_reporting_units,10,5,all federal ballot items in this election event,JSON pointers recorded per output row,primary_party is the Rep/Dem ballot contest category. party is the option party supplied by the API and is blank for write-ins.
ga-2026-general-primary-runoff-results-metadata,GA,2026-06-16,primary_runoff,official_election_metadata,Georgia Secretary of State linked Enhanced Voting service,https://sos.ga.gov/page/georgia-election-results,https://results.sos.ga.gov/results/public/api/elections/Georgia/06162026GeneralPrimaryRunoff,ga/2026/06162026GeneralPrimaryRunoff-metadata.json,2026-08-20,51f5edc83a336fab8bf4b83d0263a7f71747e8e8d4191d97255fa4269cf9f17d,captured,verified_official,official,metadata_only,0,0,"election date, official flag, publication timestamp","$.electionDate, $.isOfficialResults, $.asOf",The parser requires isOfficialResults=true.
wi-2024-partisan-primary-house-canvass,WI,2024-08-13,primary,certified_canvass_pdf,Wisconsin Elections Commission,https://elections.wi.gov/elections/election-results,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Congress.pdf,wi/2024/wi-2024-partisan-primary-us-house-county-canvass.pdf,2024-08-26,c2a846f2abdf219b2680bbd654343e98df1993b5ea56f99718f0d0d5d6945fc7,captured,verified_official,certified_canvass,final_canvassed_totals,64,40,congressional ballot categories contained in this PDF,PDF page numbers recorded per output row,primary_party is the partisan ballot category. party is the printed candidate affiliation; it is blank for scattering and named write-ins because ballot category does not prove affiliation.
wi-2024-partisan-primary-house-canvass-text,WI,2024-08-13,primary,derived_pdf_text,Derived locally from Wisconsin Elections Commission PDF,https://elections.wi.gov/elections/election-results,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Congress.pdf,wi/2024/wi-2024-partisan-primary-us-house-county-canvass.txt,2024-08-26,045a67a658b9d39772c4fcad5d3944dd95f92b2db825814464013f15449c453c,captured,derived_parser_audit,inherits_pdf,inherits_pdf,64,40,all PDF pages with form-feed PAGE markers,PAGE markers preserve physical PDF page numbers,Extracted with pypdf 6.16.0; result rows hash the source PDF.
