gap_id,state_code,cycle,stage,chamber,coverage_status,recovered_scope,missing_scope,blocker,next_authoritative_step,source_urls
ga-2024-primary,GA,2024,primary,House/Senate,complete,54 candidate rows across 28 contests,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/2024MayGenPri
ga-2024-primary_runoff,GA,2024,primary_runoff,House/Senate,complete,6 candidate rows across 3 contests,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/2024MayGenPri
ga-2024-special-primary,GA,2024,special_primary,House/Senate,not_applicable,No congressional special primary in the recovered state inventory,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/2024MayGenPri
ga-2026-primary,GA,2026,primary,House/Senate,complete,86 candidate rows across 30 contests,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/GeneralPrimary51926
ga-2026-primary_runoff,GA,2026,primary_runoff,House/Senate,complete,10 candidate rows across 5 contests,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/GeneralPrimary51926
ga-2026-special-primary,GA,2026,special_primary,House/Senate,not_applicable,No congressional special primary in the recovered state inventory,,,none,https://results.sos.ga.gov/results/public/Georgia/elections/GeneralPrimary51926
wi-2024-primary,WI,2024,primary,House/Senate,complete,73 candidate rows across 45 contests,,,none,https://elections.wi.gov/elections/election-results
wi-2024-primary_runoff,WI,2024,primary_runoff,House/Senate,not_applicable,Wisconsin has no primary runoff stage,,,none,https://elections.wi.gov/elections/election-results
wi-2024-special-primary,WI,2024,special_primary,House/Senate,not_applicable,No congressional special primary in the recovered state inventory,,,none,https://elections.wi.gov/elections/election-results
wi-2026-primary,WI,2026,primary,House/Senate,complete,72 candidate rows across 40 contests,,,none,https://elections.wi.gov/elections/election-results
wi-2026-primary_runoff,WI,2026,primary_runoff,House/Senate,not_applicable,Wisconsin has no primary runoff stage,,,none,https://elections.wi.gov/elections/election-results
wi-2026-special-primary,WI,2026,special_primary,House/Senate,not_applicable,No congressional special primary in the recovered state inventory,,,none,https://elections.wi.gov/elections/election-results
