cycle,stage,state_code,district,district_raw,candidate_name,fec_candidate_id,party_raw,source_url,source_sheet,source_row,raw_cells_json
2024,general_ballot_only,AL,01,01,"Holmes, Tom",H4AL01255,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,3,"[""AL"", ""Alabama"", ""01"", ""H4AL01255"", """", ""Tom"", ""Holmes"", ""Holmes, Tom"", ""DEM""]"
2024,general_ballot_only,AL,01,01,"Moore, Barry",H8AL02171,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,4,"[""AL"", ""Alabama"", ""01"", ""H8AL02171"", ""(I)"", ""Barry"", ""Moore"", ""Moore, Barry"", ""REP""]"
2024,general_ballot_only,AL,02,02,"Figures, Shomari",H4AL02170,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,6,"[""AL"", ""Alabama"", ""02"", ""H4AL02170"", """", ""Shomari"", ""Figures"", ""Figures, Shomari"", ""DEM""]"
2024,general_ballot_only,AL,02,02,"Dobson, Caroleene",H4AL02220,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,7,"[""AL"", ""Alabama"", ""02"", ""H4AL02220"", """", ""Caroleene"", ""Dobson"", ""Dobson, Caroleene"", ""REP""]"
2024,general_ballot_only,AL,03,03,"Rogers, Mike",H2AL03032,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,9,"[""AL"", ""Alabama"", ""03"", ""H2AL03032"", ""(I)"", ""Mike"", ""Rogers"", ""Rogers, Mike"", ""REP""]"
2024,general_ballot_only,AL,04,04,"Aderholt, Robert B.",H6AL04098,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,11,"[""AL"", ""Alabama"", ""04"", ""H6AL04098"", ""(I)"", ""Robert B."", ""Aderholt"", ""Aderholt, Robert B."", ""REP""]"
2024,general_ballot_only,AL,05,05,"Strong, Dale",H2AL05102,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,13,"[""AL"", ""Alabama"", ""05"", ""H2AL05102"", ""(I)"", ""Dale"", ""Strong"", ""Strong, Dale"", ""REP""]"
2024,general_ballot_only,AL,06,06,"Anderson, Elizabeth",H4AL06189,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,15,"[""AL"", ""Alabama"", ""06"", ""H4AL06189"", """", ""Elizabeth"", ""Anderson"", ""Anderson, Elizabeth"", ""DEM""]"
2024,general_ballot_only,AL,06,06,"Palmer, Gary",H4AL06098,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,16,"[""AL"", ""Alabama"", ""06"", ""H4AL06098"", ""(I)"", ""Gary"", ""Palmer"", ""Palmer, Gary"", ""REP""]"
2024,general_ballot_only,AL,07,07,"Sewell, Terri A.",H0AL07086,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,18,"[""AL"", ""Alabama"", ""07"", ""H0AL07086"", ""(I)"", ""Terri A."", ""Sewell"", ""Sewell, Terri A."", ""DEM""]"
2024,general_ballot_only,AL,07,07,"Litaker, Robin",H4AL07104,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AL General Ballot 2024,19,"[""AL"", ""Alabama"", ""07"", ""H4AL07104"", """", ""Robin"", ""Litaker"", ""Litaker, Robin"", ""REP""]"
2024,general_ballot_only,AK,00,00,"Hafner, Eric",H4AK00164,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AK General Ballot 2024,3,"[""AK"", ""Alaska"", ""00"", ""H4AK00164"", """", ""Eric"", ""Hafner"", ""Hafner, Eric"", ""DEM"", """"]"
2024,general_ballot_only,AK,00,00,"Peltola, Mary S.",H2AK01158,DEM,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AK General Ballot 2024,4,"[""AK"", ""Alaska"", ""00"", ""H2AK01158"", ""(I)"", ""Mary S."", ""Peltola"", ""Peltola, Mary S."", ""DEM"", """"]"
2024,general_ballot_only,AK,00,00,"Begich, Nick",H2AK01083,REP,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AK General Ballot 2024,5,"[""AK"", ""Alaska"", ""00"", ""H2AK01083"", """", ""Nick"", ""Begich"", ""Begich, Nick"", ""REP"", """"]"
2024,general_ballot_only,AK,00,00,"Howe, John Wayne",H4AK00214,AKI,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AK General Ballot 2024,6,"[""AK"", ""Alaska"", ""00"", ""H4AK00214"", """", ""John Wayne"", ""Howe"", ""Howe, John Wayne"", ""AKI"", """"]"
2024,general_ballot_only,AS,00,00,"Amata, Aumua",H4AS00036,NPA,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,AS General Ballot 2024,3,"[""AS"", ""American Samoa"", ""00"", ""H4AS00036"", ""(I)"", ""Aumua"", ""Amata"", ""Amata, Aumua"", ""NPA""]"
