state_code,cycle,election_date,stage,chamber,district,term,election_system,primary_party,coverage_status,result_rows,roster_rows,missing_reason,source_ids
LA,2024,2024-11-05,nonpartisan_primary,House,01,regular,nonpartisan_open_primary,,actual_results,5,0,,la-2024-open-congressional-primary
LA,2024,2024-11-05,nonpartisan_primary,House,02,regular,nonpartisan_open_primary,,actual_results,5,0,,la-2024-open-congressional-primary
LA,2024,2024-11-05,nonpartisan_primary,House,03,regular,nonpartisan_open_primary,,actual_results,4,0,,la-2024-open-congressional-primary
LA,2024,2024-11-05,nonpartisan_primary,House,04,regular,nonpartisan_open_primary,,actual_results,2,0,,la-2024-open-congressional-primary
LA,2024,2024-11-05,nonpartisan_primary,House,05,regular,nonpartisan_open_primary,,actual_results,3,0,,la-2024-open-congressional-primary
LA,2024,2024-11-05,nonpartisan_primary,House,06,regular,nonpartisan_open_primary,,actual_results,5,0,,la-2024-open-congressional-primary
LA,2026,2026-05-16,primary,Senate,S,regular,partisan_primary,Democratic,actual_results,3,0,,la-2026-senate-party-primary
LA,2026,2026-05-16,primary,Senate,S,regular,partisan_primary,Republican,actual_results,4,0,,la-2026-senate-party-primary
LA,2026,2026-06-27,primary_runoff,Senate,S,regular,partisan_primary,Democratic,actual_results,2,0,,la-2026-senate-second-party-primary
LA,2026,2026-06-27,primary_runoff,Senate,S,regular,partisan_primary,Republican,actual_results,2,0,,la-2026-senate-second-party-primary
LA,2026,2026-11-03,nonpartisan_primary,House,01,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
LA,2026,2026-11-03,nonpartisan_primary,House,02,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
LA,2026,2026-11-03,nonpartisan_primary,House,03,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
LA,2026,2026-11-03,nonpartisan_primary,House,04,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
LA,2026,2026-11-03,nonpartisan_primary,House,05,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
LA,2026,2026-11-03,nonpartisan_primary,House,06,regular,nonpartisan_open_primary,,future_scheduled,0,0,"election is scheduled after the September 22, 2026 data cutoff",la-2026-house-primary-postponement-authority | fec-2026-congressional-primary-calendar-louisiana
MS,2024,2024-03-12,primary,Senate,S,regular,partisan_primary,Democratic,actual_results,1,0,,ms-2024-democratic-primary-recap
MS,2024,2024-03-12,primary,Senate,S,regular,partisan_primary,Republican,actual_results,3,0,,ms-2024-republican-primary-recap
MS,2024,2024-03-12,primary,House,01,regular,partisan_primary,Democratic,actual_results,2,0,,ms-2024-democratic-primary-recap
MS,2024,2024-03-12,primary,House,01,regular,partisan_primary,Republican,actual_results,1,0,,ms-2024-republican-primary-recap
MS,2024,2024-03-12,primary,House,02,regular,partisan_primary,Democratic,actual_results,1,0,,ms-2024-democratic-primary-recap
MS,2024,2024-03-12,primary,House,02,regular,partisan_primary,Republican,actual_results,3,0,,ms-2024-republican-primary-recap
MS,2024,2024-03-12,primary,House,03,regular,partisan_primary,Democratic,no_published_primary_result,0,0,no official result contest or contemporaneous roster recovered,
MS,2024,2024-03-12,primary,House,03,regular,partisan_primary,Republican,actual_results,1,0,,ms-2024-republican-primary-recap
MS,2024,2024-03-12,primary,House,04,regular,partisan_primary,Democratic,actual_results,1,0,,ms-2024-democratic-primary-recap
MS,2024,2024-03-12,primary,House,04,regular,partisan_primary,Republican,actual_results,3,0,,ms-2024-republican-primary-recap
MS,2026,2026-03-10,primary,Senate,S,regular,partisan_primary,Democratic,actual_results,3,0,,ms-2026-democratic-primary-recap
MS,2026,2026-03-10,primary,Senate,S,regular,partisan_primary,Republican,actual_results,2,0,,ms-2026-republican-primary-recap
MS,2026,2026-03-10,primary,House,01,regular,partisan_primary,Democratic,actual_results,2,0,,ms-2026-democratic-primary-recap
MS,2026,2026-03-10,primary,House,01,regular,partisan_primary,Republican,actual_results,1,0,,ms-2026-republican-primary-recap
MS,2026,2026-03-10,primary,House,02,regular,partisan_primary,Democratic,actual_results,3,0,,ms-2026-democratic-primary-recap
MS,2026,2026-03-10,primary,House,02,regular,partisan_primary,Republican,actual_results,2,0,,ms-2026-republican-primary-recap
MS,2026,2026-03-10,primary,House,03,regular,partisan_primary,Democratic,actual_results,1,0,,ms-2026-democratic-primary-recap
MS,2026,2026-03-10,primary,House,03,regular,partisan_primary,Republican,actual_results,1,0,,ms-2026-republican-primary-recap
MS,2026,2026-03-10,primary,House,04,regular,partisan_primary,Democratic,actual_results,2,0,,ms-2026-democratic-primary-recap
MS,2026,2026-03-10,primary,House,04,regular,partisan_primary,Republican,actual_results,2,0,,ms-2026-republican-primary-recap
MS,2024,2024-04-02,primary_runoff,House,02,regular,partisan_primary,Republican,actual_results,2,0,,ms-2024-republican-primary-runoff-recap
OK,2024,2024-06-18,primary,House,01,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2024-june-primary-results
OK,2024,2024-06-18,primary,House,01,regular,partisan_primary,Republican,actual_results,2,0,,ok-2024-june-primary-results
OK,2024,2024-06-18,primary,House,02,regular,partisan_primary,Democratic,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2024-official-candidate-roster
OK,2024,2024-06-18,primary,House,02,regular,partisan_primary,Republican,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2024-official-candidate-roster
OK,2024,2024-06-18,primary,House,03,regular,partisan_primary,Democratic,no_filed_party_candidate,0,0,no filed party candidate,
OK,2024,2024-06-18,primary,House,03,regular,partisan_primary,Republican,actual_results,3,0,,ok-2024-june-primary-results
OK,2024,2024-06-18,primary,House,04,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2024-june-primary-results
OK,2024,2024-06-18,primary,House,04,regular,partisan_primary,Republican,actual_results,5,0,,ok-2024-june-primary-results
OK,2024,2024-06-18,primary,House,05,regular,partisan_primary,Democratic,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2024-official-candidate-roster
OK,2024,2024-06-18,primary,House,05,regular,partisan_primary,Republican,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2024-official-candidate-roster
