cycle,election_date,state_code,chamber,district,term,stage,election_system,primary_party,candidate_name,candidate_party,filed_date,status,source_url,source_sha256,source_locator,notes
2026,2026-11-03,LA,House,01,regular,nonpartisan_primary,nonpartisan_open_primary,,Randall Arrington,Republican,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70195:candidate-1,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,01,regular,nonpartisan_primary,nonpartisan_open_primary,,"E. ""Liddy"" Glass",No Party,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70195:candidate-2,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,01,regular,nonpartisan_primary,nonpartisan_open_primary,,Lauren Jewett,Democrat,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70195:candidate-3,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,01,regular,nonpartisan_primary,nonpartisan_open_primary,,Steve Scalise,Republican,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70195:candidate-4,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,02,regular,nonpartisan_primary,nonpartisan_open_primary,,Lisa Ballay,Libertarian,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70196:candidate-1,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,02,regular,nonpartisan_primary,nonpartisan_open_primary,,"Walter ""Rocky"" Beach",No Party,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70196:candidate-2,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,02,regular,nonpartisan_primary,nonpartisan_open_primary,,Troy A. Carter Sr.,Democrat,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70196:candidate-3,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,02,regular,nonpartisan_primary,nonpartisan_open_primary,,"Renada ""Honey"" Collins",No Party,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70196:candidate-4,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,02,regular,nonpartisan_primary,nonpartisan_open_primary,,Peter Williams,Republican,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70196:candidate-5,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,"""Kate"" Cotten",Republican,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-1,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,John Day,Democrat,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-2,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,Priscilla Gonzalez,Democrat,08/06/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-3,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,"""Clay"" Higgins",Republican,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-4,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,Tia LeBrun,No Party,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-5,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,03,regular,nonpartisan_primary,nonpartisan_open_primary,,"Caleb ""With a C"" Walker",Democrat,08/06/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70197:candidate-6,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,04,regular,nonpartisan_primary,nonpartisan_open_primary,,Conrad Cable,Democrat,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70198:candidate-1,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,04,regular,nonpartisan_primary,nonpartisan_open_primary,,"""Matt"" Gromlich",Democrat,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70198:candidate-2,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,04,regular,nonpartisan_primary,nonpartisan_open_primary,,Gordon Heslop,Republican,08/07/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70198:candidate-3,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,04,regular,nonpartisan_primary,nonpartisan_open_primary,,"""Mike"" Johnson",Republican,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70198:candidate-4,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,04,regular,nonpartisan_primary,nonpartisan_open_primary,,"""Mike"" Nichols",Republican,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70198:candidate-5,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
2026,2026-11-03,LA,House,05,regular,nonpartisan_primary,nonpartisan_open_primary,,Stewart Cathey Jr.,Republican,08/05/2026,qualified_future_no_votes,https://voterportal.sos.la.gov/CandidateInquiry?electionDate=20261103,d5d0429c94225cdb174adad33c00c6725767ab3dabfdb29bff845727d52ebf1b,office-70199:candidate-1,Official Candidate Inquiry roster; election remains future as of 2026-09-22. No vote or outcome inference.
