cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2024,2024-03-05,TX,Senate,S,regular,primary,Democratic,results_complete,"A. ""ROBERT"" HASSAN | CARL OSCAR SHERMAN | COLIN ALLRED | HELI RODRIGUEZ PRILLIMAN | MARK GONZALEZ | MERI GOMEZ | ROLAND GUTIERREZ | STEVEN J. KEOUGH | THIERRY TCHENKO",https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,"A. ""ROBERT"" HASSAN: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[4] | CARL OSCAR SHERMAN: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[7] | COLIN ALLRED: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[0] | HELI RODRIGUEZ PRILLIMAN: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[6] | MARK GONZALEZ: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[2] | MERI GOMEZ: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[1] | ROLAND GUTIERREZ: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[3] | STEVEN J. KEOUGH: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[5] | THIERRY TCHENKO: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[1].Candidates[8]","Official numeric results for 9 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,Senate,S,regular,primary,Republican,results_complete,"HOLLAND ""REDD"" GIBSON | R E (RUFUS) LOPEZ | TED CRUZ",https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,"HOLLAND ""REDD"" GIBSON: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[1].Candidates[1] | R E (RUFUS) LOPEZ: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[1].Candidates[2] | TED CRUZ: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[1].Candidates[0]","Official numeric results for 3 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,01,regular,primary,Democratic,unresolved,,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml,,"Expected district-party unit has no numeric row in the retained official result source, and no separate official no-primary, unopposed-nomination, or no-candidate evidence was retained."
2024,2024-03-05,TX,House,01,regular,primary,Republican,results_complete,NATHANIEL MORAN,https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,NATHANIEL MORAN: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[2].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,02,regular,primary,Democratic,results_complete,PETER FILLER,https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,PETER FILLER: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[2].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,02,regular,primary,Republican,results_complete,DAN CRENSHAW | JAMESON ELLIS,https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,DAN CRENSHAW: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[3].Candidates[0] | JAMESON ELLIS: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[3].Candidates[1],"Official numeric results for 2 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,03,regular,primary,Democratic,results_complete,SANDEEP SRIVASTAVA,https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,SANDEEP SRIVASTAVA: tx-2024-dem-primary-official-canvass.pdf:page-1 | election-49665-Federal.json:$.Races[3].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,03,regular,primary,Republican,results_complete,JEREMY D. IVANOVSKIS | JOHN PORRO | KEITH SELF | SUZANNE HARP | TRE PENNIE,https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,JEREMY D. IVANOVSKIS: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[4].Candidates[1] | JOHN PORRO: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[4].Candidates[3] | KEITH SELF: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[4].Candidates[4] | SUZANNE HARP: tx-2024-rep-primary-official-canvass.pdf:page-1 | election-49666-Federal.json:$.Races[4].Candidates[0] | TRE PENNIE: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[4].Candidates[2],"Official numeric results for 5 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,04,regular,primary,Democratic,results_complete,SIMON CARDELL,https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,SIMON CARDELL: tx-2024-dem-primary-official-canvass.pdf:page-2 | election-49665-Federal.json:$.Races[4].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,04,regular,primary,Republican,results_complete,DON HORN | PAT FALLON,https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,DON HORN: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[5].Candidates[1] | PAT FALLON: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[5].Candidates[0],"Official numeric results for 2 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,05,regular,primary,Democratic,results_complete,"RUTH ""TRUTH"" TORRES",https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,"RUTH ""TRUTH"" TORRES: tx-2024-dem-primary-official-canvass.pdf:page-2 | election-49665-Federal.json:$.Races[5].Candidates[0]","Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,05,regular,primary,Republican,results_complete,LANCE GOODEN,https://results.texas-election.com/static/data/Reports/49666/OfficialCanvassReport.pdf,LANCE GOODEN: tx-2024-rep-primary-official-canvass.pdf:page-2 | election-49666-Federal.json:$.Races[6].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
2024,2024-03-05,TX,House,06,regular,primary,Democratic,results_complete,JOHN LOVE III,https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,JOHN LOVE III: tx-2024-dem-primary-official-canvass.pdf:page-2 | election-49665-Federal.json:$.Races[6].Candidates[0],"Official numeric results for 1 candidate row(s); election_system=partisan_primary; actual_zero_rows=0; write_in_rows=0. A one-candidate numeric contest is classified as results_complete, not as proof the primary was cancelled."
