source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
la-2024-open-congressional-primary,LA,2024-11-05,nonpartisan_primary,official_human_readable_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20241105/Election+Results+(11-05-2024).xlsx,la/2024/la-2024-11-05-open-primary-results.xlsx,2026-09-22,3d43ecabb2bdc0a072375a92547d1be8b761b993134d2dd34f12c60cb38c05a7,captured,verified_official,official,final_official_totals,24,6,all federal contests published for this election,"workbook sheet, row, and candidate column",2024 House rows are a shared nonpartisan open-primary ballot. 2026 Senate rows are closed party-primary contests.
la-2026-senate-party-primary,LA,2026-05-16,primary,official_human_readable_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20260516/Election+Results+(05-16-2026).xlsx,la/2026/la-2026-05-16-party-primary-results.xlsx,2026-09-22,3f6ba26f09699cb5556b4bb37b8dd9079ae885febc02f74d4475b5315991e357,captured,verified_official,official,final_official_totals,7,2,all federal contests published for this election,"workbook sheet, row, and candidate column",2024 House rows are a shared nonpartisan open-primary ballot. 2026 Senate rows are closed party-primary contests.
la-2026-senate-second-party-primary,LA,2026-06-27,primary_runoff,official_human_readable_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20260627/Election+Results+(06-27-2026).xlsx,la/2026/la-2026-06-27-second-party-primary-results.xlsx,2026-09-22,f16e7cff0bfead552d75fd199c4dc2330afa30f30bb4540d409c05734bf0775c,captured,verified_official,official,final_official_totals,4,2,all federal contests published for this election,"workbook sheet, row, and candidate column",2024 House rows are a shared nonpartisan open-primary ballot. 2026 Senate rows are closed party-primary contests.
la-election-dates-and-official-status,LA,,inventory,official_election_inventory_json,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://voterportal.sos.la.gov/ElectionResults/ElectionResults/Data?blob=ElectionDates.htm,la/election-dates.json,2026-09-22,4dd2f0f9fa0fa16a7359f5b9c8788d09a5202d7c44e5a52cd3d7941cfaef71d5,captured,verified_official,ResultsOfficial flags,inventory_only,0,0,2024 and 2026 election dates and official flags,$.Dates.Date,"November 3, 2026 remains future and ResultsOfficial=0."
la-2026-revised-election-calendar,LA,,calendar_or_runoff_inventory,official_calendar_notice_or_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://www.sos.la.gov/media/p31j4zkc/elections-calendar-2026.pdf,la/2026/elections-calendar-2026.pdf,2026-09-22,67ceeafd50946e114d39941423f2d6bbf616de080031873b7400bf0ce158f6dd,captured,verified_official,supporting_artifact,not_candidate_vote_rows,0,0,"system transition, future calendar, or runoff absence",document title and relevant election table,Revised July 2026 calendar places U.S. House open primaries on November 3.
la-2026-act-7-house-election-notice,LA,,calendar_or_runoff_inventory,official_calendar_notice_or_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://www.sos.la.gov/media/dcvl5ojl/051426-fall-house-races.pdf,la/2026/051426-fall-house-races.pdf,2026-09-22,3319c7cba10c5cd5cc74f2a4cfb2d42935e998cbbfb14746ece63050ee8bedb3,captured,verified_official,supporting_artifact,not_candidate_vote_rows,0,0,"system transition, future calendar, or runoff absence",document title and relevant election table,Official notice explains removal of U.S. House from spring party primaries.
la-2024-december-no-congressional-runoff-check,LA,,calendar_or_runoff_inventory,official_calendar_notice_or_results_workbook,Louisiana Secretary of State,https://www.sos.la.gov/elections-voting/election-results-statistics,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20241207/Election+Results+(12-07-2024).xlsx,la/2024/la-2024-12-07-general-results.xlsx,2026-09-22,6503bed65a89f0b8e5eaba67bf4e95e1bb85a65563c3c2e3ae480f79a9182af0,captured,verified_official,supporting_artifact,not_candidate_vote_rows,0,0,"system transition, future calendar, or runoff absence",document title and relevant election table,The December workbook contains no congressional contest.
la-2026-house-primary-postponement-authority,LA,2026-11-03,nonpartisan_primary,governor_executive_order,Office of the Governor of Louisiana,https://www.sos.la.gov/elections-voting/election-results-statistics,https://gov.louisiana.gov/assets/2026-Executive-Orders/JML-Exective-Order-26-038.pdf,la/2026/JML-Executive-Order-26-038.pdf,2026-04-30,88f8b693a573bac157a5e9fba7a235eb2832c811d924eded717e0d2b0bc22dd0,captured,verified_official,controlling_calendar_authority,future_election,0,6,suspension of May and June U.S. House closed party primaries,pages 1-3; operative Sections 1-3,Suspends House closed party primaries after Louisiana v. Callais without altering the federal November election date.
la-2026-house-primary-postponement-authority-ocr,LA,2026-11-03,nonpartisan_primary,derived_pdf_ocr,Derived from Louisiana Governor executive order,https://www.sos.la.gov/elections-voting/election-results-statistics,https://gov.louisiana.gov/assets/2026-Executive-Orders/JML-Exective-Order-26-038.pdf,la/2026/JML-Executive-Order-26-038-ocr.txt,2026-09-22,21306a9f05f8213c0997123dbbf934e24014cddf13af977eadb47d4beeaadadf,captured,derived_parser_audit,inherits_executive_order,future_election,0,6,OCR of all three executive-order pages,PAGE markers correspond to physical PDF pages,Extracted locally with the macOS Vision framework.
fec-2026-congressional-primary-calendar-louisiana,LA,2026-11-03,nonpartisan_primary,federal_congressional_primary_calendar,Federal Election Commission,https://www.sos.la.gov/elections-voting/election-results-statistics,https://www.fec.gov/documents/5910/2026pdates.pdf,la/2026/2026pdates-fec.pdf,2026-05-18,9a5d4ec0ba2b69daf2f510ef79bca0ca381ab699255ac5adb971b9672d517251,captured,verified_official_supporting,calendar_reference,future_election,0,6,Louisiana Senate and House primary/runoff dates,Louisiana row and footnotes 4/2,Lists Senate May 16/June 27 and House November 3/December 12; cites Executive Order JML 26-038.
