cycle,state_code,chamber,district,term,primary_party,status,candidate_rows,source_ids,notes
2024,IL,House,01,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,01,regular,Republican,complete_official_results,2,il-2024-primary-federal,
2024,IL,House,02,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,02,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,03,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,03,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,04,regular,Democratic,complete_official_results,2,il-2024-primary-federal,
2024,IL,House,04,regular,Republican,no_reported_contest_not_inferred,0,il-2024-official-result-source,The complete official result source has no row for this district-party slot. This is not labeled no-primary or uncontested without explicit evidence.
2024,IL,House,05,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,05,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,06,regular,Democratic,complete_official_results,3,il-2024-primary-federal,
2024,IL,House,06,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,07,regular,Democratic,complete_official_results,5,il-2024-primary-federal,
2024,IL,House,07,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,08,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,08,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,09,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,09,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,10,regular,Democratic,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,10,regular,Republican,complete_unopposed_result,1,il-2024-primary-federal,The official result source reports one candidate in this party contest.
2024,IL,House,11,regular,Democratic,complete_official_results,2,il-2024-primary-federal,
2024,IL,House,11,regular,Republican,complete_official_results,3,il-2024-primary-federal,
2024,IL,House,12,regular,Democratic,complete_official_results,2,il-2024-primary-federal,
2024,IL,House,12,regular,Republican,complete_official_results,2,il-2024-primary-federal,
