contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
il-2024-03-19-house-01-regular-democratic,2024,2024-03-19,primary,IL,House,01,regular,partisan_primary,Democratic,Jonathan L. Jackson,1inDbnIrUbJPjsrVK8qt7A==,Democratic,False,72420,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:1ST CONGRESS:row-2 | il-candidate-details.csv:2,1
il-2024-03-19-house-01-regular-republican,2024,2024-03-19,primary,IL,House,01,regular,partisan_primary,Republican,Marcus Lewis,YnnMxnOdWojip5DEhk3ZCQ==,Republican,False,15282,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:1ST CONGRESS:row-3 | il-candidate-details.csv:3,1
il-2024-03-19-house-01-regular-republican,2024,2024-03-19,primary,IL,House,01,regular,partisan_primary,Republican,Montelle L. Gaji,STFKrKcaO/WJCREO83/Npw==,Republican,False,3814,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:1ST CONGRESS:row-4 | il-candidate-details.csv:4,1
il-2024-03-19-house-02-regular-democratic,2024,2024-03-19,primary,IL,House,02,regular,partisan_primary,Democratic,Robin Kelly,G5C33ArhVIsOnQGJewl+zg==,Democratic,False,56732,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:2ND CONGRESS:row-2 | il-candidate-details.csv:5,1
il-2024-03-19-house-02-regular-republican,2024,2024-03-19,primary,IL,House,02,regular,partisan_primary,Republican,Ashley Ramos,h3Fu3qo8fvY7lsbWn3QB5w==,Republican,False,20527,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:2ND CONGRESS:row-3 | il-candidate-details.csv:6,1
il-2024-03-19-house-03-regular-democratic,2024,2024-03-19,primary,IL,House,03,regular,partisan_primary,Democratic,Delia Ramirez,8fwSjqx9F89UxW+3m9RzBw==,Democratic,False,52644,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:3RD CONGRESS:row-2 | il-candidate-details.csv:7,1
il-2024-03-19-house-03-regular-republican,2024,2024-03-19,primary,IL,House,03,regular,partisan_primary,Republican,John Booras,PGM9HuOhOvlUFmBrfAtbBw==,Republican,False,15468,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:3RD CONGRESS:row-3 | il-candidate-details.csv:8,1
il-2024-03-19-house-04-regular-democratic,2024,2024-03-19,primary,IL,House,04,regular,partisan_primary,Democratic,"Jesus ""Chuy"" Garcia",h3Fu3qo8fvYv3QrEMnpIYQ==,Democratic,False,30443,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:4TH CONGRESS:row-2 | il-candidate-details.csv:9,1
il-2024-03-19-house-04-regular-democratic,2024,2024-03-19,primary,IL,House,04,regular,partisan_primary,Democratic,Raymond A. Lopez,dyXrl/4jeEzHoH72Rz0GUg==,Democratic,False,13286,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:4TH CONGRESS:row-3 | il-candidate-details.csv:10,1
il-2024-03-19-house-05-regular-democratic,2024,2024-03-19,primary,IL,House,05,regular,partisan_primary,Democratic,Mike Quigley,e6q/GGnmIJf9ZQWu1m6EAw==,Democratic,False,87002,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:5TH CONGRESS:row-2 | il-candidate-details.csv:11,1
il-2024-03-19-house-05-regular-republican,2024,2024-03-19,primary,IL,House,05,regular,partisan_primary,Republican,Tommy Hanson,3hkkEJNH77uEI8chN9G9kw==,Republican,False,18841,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:5TH CONGRESS:row-3 | il-candidate-details.csv:12,1
il-2024-03-19-house-06-regular-democratic,2024,2024-03-19,primary,IL,House,06,regular,partisan_primary,Democratic,Charles M. Hughes,d4o6MR++9F+ee+5EkgIAXA==,Democratic,False,6366,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:6TH CONGRESS:row-5 | il-candidate-details.csv:16,1
il-2024-03-19-house-06-regular-democratic,2024,2024-03-19,primary,IL,House,06,regular,partisan_primary,Democratic,Mahnoor Ahmad,imn1OqKoxgIJbbacZ5IyCw==,Democratic,False,10483,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:6TH CONGRESS:row-4 | il-candidate-details.csv:15,1
il-2024-03-19-house-06-regular-democratic,2024,2024-03-19,primary,IL,House,06,regular,partisan_primary,Democratic,Sean Casten,ms27bHj/Tr++5xOAS+p08w==,Democratic,False,56750,il-2024-primary-federal,https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=rfZ%2BuidMSDY%3D,fa097c1b3acd95a2b95e30a3750ac7f362209f7ba4946f9d90c52ec5e140098e,il-2024-primary-federal.html:6TH CONGRESS:row-2 | il-candidate-details.csv:13,1
