cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2024,2024-08-13,CT,House,01,regular,primary,Democratic,unopposed_nomination_verified,John B. Larson,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,01,regular,primary,Republican,unopposed_nomination_verified,Jim Griffin,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,02,regular,primary,Democratic,unopposed_nomination_verified,Joe Courtney,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,02,regular,primary,Republican,unopposed_nomination_verified,Mike France,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,03,regular,primary,Democratic,unopposed_nomination_verified,Rosa L. DeLauro,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,03,regular,primary,Republican,unopposed_nomination_verified,Michael Massey,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,04,regular,primary,Democratic,unopposed_nomination_verified,Jim Himes,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,04,regular,primary,Republican,results_complete,Bob MacGuffie | Michael Goldstein,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,ct-2024-all.csv.gz:contest-36593:candidate-58673 | ct-2024-all.csv.gz:contest-36593:candidate-58505,Numeric result is provided by the integrated Connecticut source.
2024,2024-08-13,CT,House,05,regular,primary,Democratic,unopposed_nomination_verified,Jahana Hayes,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,House,05,regular,primary,Republican,unopposed_nomination_verified,George Logan,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,Senate,S,regular,primary,Democratic,unopposed_nomination_verified,Christopher S. Murphy,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-US-Senate,Official general-election nominee plus complete primary export with no contest row; no numeric primary vote is fabricated.
2024,2024-08-13,CT,Senate,S,regular,primary,Republican,results_complete,Gerry Smith | Matthew M. Corey,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,ct-2024-all.csv.gz:contest-36592:candidate-58672 | ct-2024-all.csv.gz:contest-36592:candidate-58664,Numeric result is provided by the integrated Connecticut source.
2024,2024-09-10,NH,House,01,regular,primary,Democratic,results_complete,Chris Pappas | Kevin Rondeau,https://web.archive.org/web/20250613142834id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2024-sp-congressional-district-1-democratic_4.xlsx,"Con1 Dem:R3C2,R113C2 | Con1 Dem:R3C3,R113C3",Archived copy of the official Secretary of State workbook.
2024,2024-09-10,NH,House,01,regular,primary,Republican,results_complete,Andy Martin | Chris Bright | Hollis Noveletsky | Joseph Kelley Levasseur | Max Abramson | Russell Prescott | Walter J. McFarlane III,https://web.archive.org/web/20250613142834id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2024-sp-congressional-district-1-democratic_4.xlsx,"Con1 Dem:R3C7,R113C7 | Con1 Dem:R3C5,R113C5 | Con1 Dem:R3C9,R113C9 | Con1 Dem:R3C6,R113C6 | Con1 Dem:R3C4,R113C4 | Con1 Dem:R3C10,R113C10 | Con1 Dem:R3C8,R113C8",Archived copy of the official Secretary of State workbook.
2024,2024-09-10,NH,House,02,regular,primary,Democratic,results_complete,Colin Van Ostern | Maggie Goodlander,https://web.archive.org/web/20251219043444id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2024-sp-congressional-district-2-democratic_4.xlsx,"Con2 Dem:R3C3,R215C3 | Con2 Dem:R3C2,R215C2",Archived copy of the official Secretary of State workbook.
2024,2024-09-10,NH,House,02,regular,primary,Republican,results_complete,Bill Hamlen | Casey Crane | Gerard Beloin | Jason Riddle | Jay Mercer | Lily Tang Williams | Michael A Callis | Paul M. Wagner | Randall Clark | Robert D'Arcy | Tom Alciere | Vikram Mansharamani | William Harvey,https://web.archive.org/web/20251219043444id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2024-sp-congressional-district-2-democratic_4.xlsx,"Con2 Dem:R3C10,R215C10 | Con2 Dem:R3C8,R215C8 | Con2 Dem:R3C5,R215C5 | Con2 Dem:R3C14,R215C14 | Con2 Dem:R3C13,R215C13 | Con2 Dem:R3C15,R215C15 | Con2 Dem:R3C6,R215C6 | Con2 Dem:R3C16,R215C16 | Con2 Dem:R3C7,R215C7 | Con2 Dem:R3C9,R215C9 | Con2 Dem:R3C4,R215C4 | Con2 Dem:R3C12,R215C12 | Con2 Dem:R3C11,R215C11",Archived copy of the official Secretary of State workbook.
2026,2026-08-11,CT,House,01,regular,primary,Democratic,unresolved,,https://portal.ct.gov/sots/election-services/certificate-of-endorsement/2026-certificate-of-endorsements,ct-2026-cd1-endorsements.pdf,"Endorsement/15-percent forms are captured, but final primary-ballot qualification cannot be inferred from the combined forms alone."
