attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
nj-01-2024-election-page,2026-09-22,NJ,2024,https://www.nj.gov/state/elections/election-information-2024.shtml,"follow official Senate, House, and special-primary result links",success_official_pdf_inventory,nj/2024/2024-official-primary-results-us-house.pdf,Regular and CD10 special primary sources identified.
nj-02-2024-results-pdfs,2026-09-22,NJ,2024,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/,download and extract three official result PDFs,success_complete_regular_and_special,nj/2024/nj-2024-congressional-primary-extraction.csv,"All 12 districts, both parties, Senate, and CD10 special."
nj-03-2026-election-page,2026-09-22,NJ,2026,https://www.nj.gov/state/elections/election-information-2026.shtml,"follow official Senate, House, and special-primary result links",success_official_pdf_inventory,nj/2026/2026-official-primary-results-us-house.pdf,Regular and CD11 special primary sources identified.
nj-04-2026-results-pdfs,2026-09-22,NJ,2026,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/,download and extract three official result PDFs,success_partial_regular_complete_special,nj/2026/nj-2026-congressional-primary-extraction.csv,Two regular House party units lack numeric result rows.
nj-05-2026-candidate-pdf,2026-09-22,NJ,2026,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/2026-official-primary-candidates-us-house.pdf,check official primary candidates for missing result units,success_one_roster_one_no_candidate,nj/2026/nj-2026-unopposed-roster.csv,District 12 Republican roster-only; District 8 Republican absent.
fl-01-legacy-index,2026-09-22,FL,2026,https://results.elections.myflorida.com/Index.asp?ElectionDate=8/18/2026&DATAMODE=,inspect frameset instead of treating frame shell as empty,success_frames_discovered,fl/2026/fl-2026-title-page.html,ElectionRaces.asp and SummaryRpt.asp are the data-bearing frames.
fl-02-election-races,2026-09-22,FL,2026,https://results.elections.myflorida.com/ElectionRaces.asp?ElectionDate=8/18/2026&DATAMODE=,inspect official party and federal-office selectors,success_federal_routes,fl/2026/fl-2026-election-races.html,Both Democratic and Republican FED summaries are published.
fl-03-republican-summary,2026-09-22,FL,2026,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,download official Republican federal summary,success_official_results,fl/2026/fl-2026-federal-REP.html,Includes special U.S. Senate and 15 contested House units.
fl-04-democratic-summary,2026-09-22,FL,2026,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=DEM&DATAMODE=,download official Democratic federal summary,success_official_results,fl/2026/fl-2026-federal-DEM.html,Includes special U.S. Senate and 20 contested House units.
fl-05-download-results,2026-09-22,FL,2026,https://results.elections.myflorida.com/downloadresults.asp?ElectionDate=8/18/2026&DATAMODE=,inspect official download page,no_2026_statewide_precinct_download,,Summary pages remain the available statewide first-party source.
fl-06-precinct-index,2026-09-22,FL,2026,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results,inspect official precinct-result ZIP inventory,no_2026_statewide_zip,,The fetched inventory stops at 2026 state-legislative specials.
fl-07-candidate-extract,2026-09-22,FL,2026,https://dos.elections.myflorida.com/candidates/extractCanList.asp,POST official federal candidate-list extract,success_unopposed_gap_classification,fl/2026/fl-2026-federal-candidate-extract.tsv,Kept separate because the database calls itself unofficial reference.
