contest_id,state_code,cycle,election_date,stage,chamber,district,term,primary_party,candidate_count,unopposed,actual_zero_rows,recount_status,result_status,certification_status,source_id
fl-2026-08-18-house-01-regular-republican,FL,2026,2026-08-18,primary,House,01,regular,Republican,3,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-02-regular-democratic,FL,2026,2026-08-18,primary,House,02,regular,Democratic,4,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-02-regular-republican,FL,2026,2026-08-18,primary,House,02,regular,Republican,8,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-03-regular-democratic,FL,2026,2026-08-18,primary,House,03,regular,Democratic,4,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-04-regular-democratic,FL,2026,2026-08-18,primary,House,04,regular,Democratic,3,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-05-regular-democratic,FL,2026,2026-08-18,primary,House,05,regular,Democratic,3,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-05-regular-republican,FL,2026,2026-08-18,primary,House,05,regular,Republican,2,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-06-regular-democratic,FL,2026,2026-08-18,primary,House,06,regular,Democratic,4,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-06-regular-republican,FL,2026,2026-08-18,primary,House,06,regular,Republican,4,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-07-regular-democratic,FL,2026,2026-08-18,primary,House,07,regular,Democratic,3,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
fl-2026-08-18-house-07-regular-republican,FL,2026,2026-08-18,primary,House,07,regular,Republican,4,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-09-regular-republican,FL,2026,2026-08-18,primary,House,09,regular,Republican,7,False,0,,actual_numeric,official,fl-2026-primary-republican-federal-official-results
fl-2026-08-18-house-11-regular-democratic,FL,2026,2026-08-18,primary,House,11,regular,Democratic,3,False,0,,actual_numeric,official,fl-2026-primary-democratic-federal-official-results
