state_code,cycle,election_date,stage,chamber,district,term,primary_party,coverage_status,result_rows,roster_rows,missing_reason,source_ids
NJ,2024,2024-06-04,primary,Senate,S,regular,Democratic,actual_results,3,0,,nj-2024-primary-senate-official-results
NJ,2024,2024-06-04,primary,Senate,S,regular,Republican,actual_results,4,0,,nj-2024-primary-senate-official-results
NJ,2024,2024-06-04,primary,House,01,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,01,regular,Republican,actual_results,3,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,02,regular,Democratic,actual_results,4,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,02,regular,Republican,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,03,regular,Democratic,actual_results,5,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,03,regular,Republican,actual_results,4,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,04,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,04,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,05,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,05,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,06,regular,Democratic,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,06,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,07,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,07,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,08,regular,Democratic,actual_results,3,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,08,regular,Republican,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,09,regular,Democratic,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,09,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,10,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,10,regular,Republican,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,11,regular,Democratic,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,11,regular,Republican,actual_results,3,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,12,regular,Democratic,actual_results,1,0,,nj-2024-primary-house-official-results
NJ,2024,2024-06-04,primary,House,12,regular,Republican,actual_results,2,0,,nj-2024-primary-house-official-results
NJ,2024,2024-07-16,special_primary,House,10,special,Democratic,actual_results,10,0,,nj-2024-special-primary-house-10-official-results
NJ,2024,2024-07-16,special_primary,House,10,special,Republican,actual_results,1,0,,nj-2024-special-primary-house-10-official-results
NJ,2026,2026-06-02,primary,Senate,S,regular,Democratic,actual_results,1,0,,nj-2026-primary-senate-official-results
NJ,2026,2026-06-02,primary,Senate,S,regular,Republican,actual_results,4,0,,nj-2026-primary-senate-official-results
NJ,2026,2026-06-02,primary,House,01,regular,Democratic,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,01,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,02,regular,Democratic,actual_results,4,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,02,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,03,regular,Democratic,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,03,regular,Republican,actual_results,3,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,04,regular,Democratic,actual_results,2,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,04,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,05,regular,Democratic,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,05,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,06,regular,Democratic,actual_results,3,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,06,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,07,regular,Democratic,actual_results,4,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,07,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,08,regular,Democratic,actual_results,2,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,08,regular,Republican,no_reported_candidate,0,0,official primary result and candidate PDFs report no candidate,
NJ,2026,2026-06-02,primary,House,09,regular,Democratic,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,09,regular,Republican,actual_results,2,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,10,regular,Democratic,actual_results,2,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,10,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,11,regular,Democratic,actual_results,4,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,11,regular,Republican,actual_results,1,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,12,regular,Democratic,actual_results,13,0,,nj-2026-primary-house-official-results
NJ,2026,2026-06-02,primary,House,12,regular,Republican,unopposed_roster_only,0,1,official vote totals are not published for this unit,nj-2026-official-primary-house-candidate-roster
NJ,2026,2026-02-05,special_primary,House,11,special,Democratic,actual_results,13,0,,nj-2026-special-primary-house-11-official-results
NJ,2026,2026-02-05,special_primary,House,11,special,Republican,actual_results,1,0,,nj-2026-special-primary-house-11-official-results
FL,2026,2026-08-18,primary,Senate,S,special,Democratic,actual_results,2,0,,fl-2026-primary-democratic-federal-official-results
FL,2026,2026-08-18,primary,Senate,S,special,Republican,actual_results,4,0,,fl-2026-primary-republican-federal-official-results
