source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
nj-2024-primary-senate-official-results,NJ,2024-06-04,primary,official_primary_results_pdf,New Jersey Division of Elections,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-primary-results-us-senate.pdf,nj/2024/2024-official-primary-results-us-senate.pdf,2024-07-02,937219c180eda5505e793879cb70271e79b83818954a4280734006bce9f1d88d,captured,verified_official,official,final_official_totals,7,2,candidate totals contained in this official result PDF,PDF page ranges recorded per output row,"The PDF's (w) marker means winner, not write-in."
nj-2024-primary-senate-official-results-text,NJ,2024-06-04,primary,derived_pdf_text,Derived from New Jersey Division of Elections PDF,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-primary-results-us-senate.pdf,nj/2024/2024-official-primary-results-us-senate.txt,2024-07-02,bd26e5243e82f4c87288e8e359135cad86ba1a12279dc731a4b0e86201fe979c,captured,derived_parser_audit,inherits_pdf,inherits_pdf,7,2,all physical PDF pages,form-feed PAGE markers preserve physical page numbers,Extracted with pypdf 6.16.0; result rows hash the PDF.
nj-2024-primary-house-official-results,NJ,2024-06-04,primary,official_primary_results_pdf,New Jersey Division of Elections,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-primary-results-us-house.pdf,nj/2024/2024-official-primary-results-us-house.pdf,2024-07-02,90f8090d6138db048e3dc43b35a03a4936683e191e7fbe90d52ee26bf11cf485,captured,verified_official,official,final_official_totals,49,24,candidate totals contained in this official result PDF,PDF page ranges recorded per output row,"The PDF's (w) marker means winner, not write-in."
nj-2024-primary-house-official-results-text,NJ,2024-06-04,primary,derived_pdf_text,Derived from New Jersey Division of Elections PDF,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-primary-results-us-house.pdf,nj/2024/2024-official-primary-results-us-house.txt,2024-07-02,572bd51c6862dde095de723fc486c2e5d40f7caee9c81410d6a2500fe855e592,captured,derived_parser_audit,inherits_pdf,inherits_pdf,49,24,all physical PDF pages,form-feed PAGE markers preserve physical page numbers,Extracted with pypdf 6.16.0; result rows hash the PDF.
nj-2024-special-primary-house-10-official-results,NJ,2024-07-16,special_primary,official_primary_results_pdf,New Jersey Division of Elections,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-special-primary-results-us-house-10cd.pdf,nj/2024/2024-official-special-primary-results-us-house-10cd.pdf,2024-07-31,cc6dad934ab0137c1fc2a2504fca4ad96d6df43dd726ce026ff351fccc391aab,captured,verified_official,official,final_official_totals,11,2,candidate totals contained in this official result PDF,PDF page ranges recorded per output row,"The PDF's (w) marker means winner, not write-in."
nj-2024-special-primary-house-10-official-results-text,NJ,2024-07-16,special_primary,derived_pdf_text,Derived from New Jersey Division of Elections PDF,https://www.nj.gov/state/elections/election-information-2024.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-special-primary-results-us-house-10cd.pdf,nj/2024/2024-official-special-primary-results-us-house-10cd.txt,2024-07-31,f0a1d6002f667ce854c2c841b343f9b48ea79599cd440429b0efe8fcb091c117,captured,derived_parser_audit,inherits_pdf,inherits_pdf,11,2,all physical PDF pages,form-feed PAGE markers preserve physical page numbers,Extracted with pypdf 6.16.0; result rows hash the PDF.
nj-2026-primary-senate-official-results,NJ,2026-06-02,primary,official_primary_results_pdf,New Jersey Division of Elections,https://www.nj.gov/state/elections/election-information-2026.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/2026-official-primary-results-us-senate.pdf,nj/2026/2026-official-primary-results-us-senate.pdf,2026-07-27,45efbfd56b856f60fbc1568ab1845cbe8bb0b71cab95de943c50a30d5820ebfe,captured,verified_official,official,final_official_totals,5,2,candidate totals contained in this official result PDF,PDF page ranges recorded per output row,"The PDF's (w) marker means winner, not write-in."
nj-2026-primary-senate-official-results-text,NJ,2026-06-02,primary,derived_pdf_text,Derived from New Jersey Division of Elections PDF,https://www.nj.gov/state/elections/election-information-2026.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/2026-official-primary-results-us-senate.pdf,nj/2026/2026-official-primary-results-us-senate.txt,2026-07-27,fecdf6ea5d67535c96fd60566ae73439114f4f290fa207c95903bea15a502f10,captured,derived_parser_audit,inherits_pdf,inherits_pdf,5,2,all physical PDF pages,form-feed PAGE markers preserve physical page numbers,Extracted with pypdf 6.16.0; result rows hash the PDF.
nj-2026-primary-house-official-results,NJ,2026-06-02,primary,official_primary_results_pdf,New Jersey Division of Elections,https://www.nj.gov/state/elections/election-information-2026.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/2026-official-primary-results-us-house.pdf,nj/2026/2026-official-primary-results-us-house.pdf,2026-07-27,63f7a09bf07e463f1967994c4fe8d10a971cce479ef6275cce9852d2a8566a42,captured,verified_official,official,final_official_totals,51,22,candidate totals contained in this official result PDF,PDF page ranges recorded per output row,"The PDF's (w) marker means winner, not write-in."
nj-2026-primary-house-official-results-text,NJ,2026-06-02,primary,derived_pdf_text,Derived from New Jersey Division of Elections PDF,https://www.nj.gov/state/elections/election-information-2026.shtml,https://www.nj.gov/state/elections/assets/pdf/election-results/2026/2026-official-primary-results-us-house.pdf,nj/2026/2026-official-primary-results-us-house.txt,2026-07-27,7f0ef1d77f9f5eaa75f45e956f38785f1a49ec4a128ba94877e309af1d5b0ad5,captured,derived_parser_audit,inherits_pdf,inherits_pdf,51,22,all physical PDF pages,form-feed PAGE markers preserve physical page numbers,Extracted with pypdf 6.16.0; result rows hash the PDF.
