state_code,cycle,election_date,stage,chamber,district,term,primary_party,candidate_name,candidate_source_id,source_id,source_url,source_sha256,source_locators,verification_status,notes
FL,2026,2026-08-18,primary,House,01,regular,Democratic,Gay Valimont,89916,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-256,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,03,regular,Republican,Kat Cammack,91508,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-32,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,04,regular,Republican,Aaron Bean,88755,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-20,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,08,regular,Democratic,Jennifer Jenkins,90831,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-115,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,08,regular,Republican,Mike Haridopolos,89522,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-99,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,09,regular,Democratic,Darren Soto,89339,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-237,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,10,regular,Democratic,Maxwell Alejandro Frost,89909,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-75,official_database_unopposed_status,UNO: Unopposed. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,12,regular,Republican,Gus Michael Bilirakis,88868,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-23,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,13,regular,Republican,Anna Paulina Luna,89765,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-146,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
FL,2026,2026-08-18,primary,House,14,regular,Democratic,Kathy Castor,88870,fl-2026-federal-candidate-extract,https://dos.elections.myflorida.com/candidates/extractCanList.asp,c1dcb0b34cdbd63fd6d50c3907fdf7a92fbe6dca1ce39e26bfd8105ee9a660cc,fl-2026-federal-candidate-extract.tsv:line-36,single_qualified_candidate_no_official_result,QUA: Qualified. No official vote-result table exists for this party unit; the candidate database describes itself as an unofficial reference.
