gap_id,state_code,cycle,stage,chamber,district,primary_party,coverage_status,recovered_scope,missing_scope,blocker,next_authoritative_step,source_urls
nj-2026-06-02-primary-house-08-republican,NJ,2026,primary,House,08,Republican,no_reported_candidate,,numeric primary vote totals,official primary result and candidate PDFs report no candidate,none expected for an unopposed/no-candidate primary unit,https://www.nj.gov/state/elections/election-information-2026.shtml
nj-2026-06-02-primary-house-12-republican,NJ,2026,primary,House,12,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://www.nj.gov/state/elections/election-information-2026.shtml
fl-2026-08-18-primary-house-01-democratic,FL,2026,primary,House,01,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-03-republican,FL,2026,primary,House,03,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-04-republican,FL,2026,primary,House,04,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-08-democratic,FL,2026,primary,House,08,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-08-republican,FL,2026,primary,House,08,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-09-democratic,FL,2026,primary,House,09,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-10-democratic,FL,2026,primary,House,10,Democratic,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-10-republican,FL,2026,primary,House,10,Republican,no_qualified_party_candidate,,numeric primary vote totals,no qualified party candidate,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
fl-2026-08-18-primary-house-12-republican,FL,2026,primary,House,12,Republican,unopposed_roster_only,1 roster row(s),numeric primary vote totals,official vote totals are not published for this unit,none expected for an unopposed/no-candidate primary unit,https://dos.fl.gov/elections/data-statistics/elections-data/election-results-archive/
