contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
fl-2026-08-18-house-01-regular-republican,2026,2026-08-18,primary,FL,House,01,regular,partisan_primary,Republican,Douglas Chico,fl-2026-house-01-rep-1,Republican,False,8286,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-2:candidate-1/total,1
fl-2026-08-18-house-01-regular-republican,2026,2026-08-18,primary,FL,House,01,regular,partisan_primary,Republican,Jimmy Patronis,fl-2026-house-01-rep-3,Republican,False,62965,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-2:candidate-3/total,1
fl-2026-08-18-house-01-regular-republican,2026,2026-08-18,primary,FL,House,01,regular,partisan_primary,Republican,John Frankman,fl-2026-house-01-rep-2,Republican,False,17278,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-2:candidate-2/total,1
fl-2026-08-18-house-02-regular-democratic,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Democratic,Amanda Marie Green,fl-2026-house-02-dem-3,Democratic,False,21462,fl-2026-primary-democratic-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=DEM&DATAMODE=,d78c50dfcece0af4a81b77cb9d378d41ab3b5c5a841063e419fd26768c1c4ef6,fl-2026-federal-DEM.html:table-2:candidate-3/total,1
fl-2026-08-18-house-02-regular-democratic,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Democratic,Brice Barnes,fl-2026-house-02-dem-2,Democratic,False,17273,fl-2026-primary-democratic-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=DEM&DATAMODE=,d78c50dfcece0af4a81b77cb9d378d41ab3b5c5a841063e419fd26768c1c4ef6,fl-2026-federal-DEM.html:table-2:candidate-2/total,1
fl-2026-08-18-house-02-regular-democratic,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Democratic,Nicholas Zateslo,fl-2026-house-02-dem-4,Democratic,False,7424,fl-2026-primary-democratic-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=DEM&DATAMODE=,d78c50dfcece0af4a81b77cb9d378d41ab3b5c5a841063e419fd26768c1c4ef6,fl-2026-federal-DEM.html:table-2:candidate-4/total,1
fl-2026-08-18-house-02-regular-democratic,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Democratic,Yen Bailey,fl-2026-house-02-dem-1,Democratic,False,17924,fl-2026-primary-democratic-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=DEM&DATAMODE=,d78c50dfcece0af4a81b77cb9d378d41ab3b5c5a841063e419fd26768c1c4ef6,fl-2026-federal-DEM.html:table-2:candidate-1/total,1
fl-2026-08-18-house-02-regular-republican,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Republican,Audie Rowell,fl-2026-house-02-rep-8,Republican,False,4773,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-3:candidate-8/total,1
fl-2026-08-18-house-02-regular-republican,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Republican,Austin Rogers,fl-2026-house-02-rep-7,Republican,False,26726,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-3:candidate-7/total,1
fl-2026-08-18-house-02-regular-republican,2026,2026-08-18,primary,FL,House,02,regular,partisan_primary,Republican,Evan Power,fl-2026-house-02-rep-6,Republican,False,13842,fl-2026-primary-republican-federal-official-results,https://results.elections.myflorida.com/SummaryRpt.asp?ElectionDate=8/18/2026&Race=FED&Party=REP&DATAMODE=,04355dd45496c5608a1530c6a5e2d973f5bbe5f8336b6ce4675f9237f62b2638,fl-2026-federal-REP.html:table-3:candidate-6/total,1
