cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2024,2024-03-05,AR,House,01,regular,primary,Democratic,unopposed_nomination_verified,Rodney Govens,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Democratic Unopposed Candidates, U.S. Congress District 1; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-03-05,AR,House,01,regular,primary,Republican,unopposed_nomination_verified,Congressman Rick Crawford,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Republican Unopposed Candidates, U.S. Congress District 1; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-03-05,AR,House,02,regular,primary,Democratic,unopposed_nomination_verified,Marcus A. Jones,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Democratic Unopposed Candidates, U.S. Congress District 2; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-03-05,AR,House,02,regular,primary,Republican,unopposed_nomination_verified,Congressman French Hill,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Republican Unopposed Candidates, U.S. Congress District 2; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-03-05,AR,House,03,regular,primary,Democratic,unresolved,,https://www.washingtoncountyar.gov/home/showpublisheddocument/30266/638464358286800000,"2024 Primary Certification Report, DEM U.S. CONGRESS DISTRICT 03","Not an automatic-nomination unit: the indexed official Washington County certification reports a one-candidate Democratic numeric primary. Direct capture returned HTTP 403 and numeric-result integration was explicitly outside this follow-up scope, so this remains unresolved."
2024,2024-03-05,AR,House,04,regular,primary,Democratic,unopposed_nomination_verified,Risie Howard,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Democratic Unopposed Candidates, U.S. Congress District 4; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-03-05,AR,House,04,regular,primary,Republican,unopposed_nomination_verified,Congressman Bruce Westerman,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"Pulaski amended notice PDF page 3 (printed Page 4 of 5), Republican Unopposed Candidates, U.S. Congress District 4; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a); history shows no amendment after 2011","The official primary notice explicitly labels this candidate unopposed, and Ark. Code section 7-7-102(a) provides certification as an unopposed party nominee."
2024,2024-05-21,KY,House,01,regular,primary,Democratic,unopposed_nomination_verified,Erin Marshall,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4; https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,"Candidates for US Representative active table, 1st district Democratic row; KRS 118.185, Certification of unopposed candidate","The exhaustive official filing table has one active party filer, and KRS 118.185 requires an immediate certificate of nomination."
2024,2024-05-21,KY,House,01,regular,primary,Republican,unopposed_nomination_verified,James R. Comer,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4; https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,"Candidates for US Representative active table, 1st district Republican row; KRS 118.185, Certification of unopposed candidate","The exhaustive official filing table has one active party filer, and KRS 118.185 requires an immediate certificate of nomination."
2024,2024-05-21,KY,House,02,regular,primary,Republican,unopposed_nomination_verified,S. Brett Guthrie,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4; https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,"Candidates for US Representative active table, 2nd district Republican row; KRS 118.185, Certification of unopposed candidate","The exhaustive official filing table has one active party filer, and KRS 118.185 requires an immediate certificate of nomination."
2024,2024-05-21,KY,House,04,regular,primary,Democratic,no_candidate_verified,,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4,Candidates for US Representative active table (23 filings); no Democratic row for the 4th district,The exhaustive official U.S. House filing table contains no active candidate in this district-party unit.
2024,2024-05-21,KY,House,05,regular,primary,Democratic,no_candidate_verified,,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4,Candidates for US Representative active table (23 filings); no Democratic row for the 5th district,The exhaustive official U.S. House filing table contains no active candidate in this district-party unit.
2024,2024-05-21,KY,House,06,regular,primary,Republican,unopposed_nomination_verified,Andy Barr,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4; https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,"Candidates for US Representative active table, 6th district Republican row; KRS 118.185, Certification of unopposed candidate","The exhaustive official filing table has one active party filer, and KRS 118.185 requires an immediate certificate of nomination."
2024,2024-06-04,SD,House,00,regular,primary,Democratic,unopposed_nomination_verified,Sheryl Johnson,https://sdsos.gov/elections-voting/election-resources/election-history/2024/2024PrimaryCandidateList.csv; https://sdsos.gov/elections-voting/election-resources/election-history/2024_Election_History.aspx; https://sdlegislature.gov/api/Statutes/Statute/12-6-9,"United States Representative rows 8-9; official election information, primary date 2024-06-04; SDCL 12-6-9, Unopposed candidate automatically nominated--Primary not held if no contest","The exhaustive official candidate list has exactly one party candidate, and SDCL 12-6-9 makes an unopposed candidate the automatic party nominee."
2024,2024-06-04,SD,House,00,regular,primary,Republican,unopposed_nomination_verified,Dusty Johnson,https://sdsos.gov/elections-voting/election-resources/election-history/2024/2024PrimaryCandidateList.csv; https://sdsos.gov/elections-voting/election-resources/election-history/2024_Election_History.aspx; https://sdlegislature.gov/api/Statutes/Statute/12-6-9,"United States Representative rows 8-9; official election information, primary date 2024-06-04; SDCL 12-6-9, Unopposed candidate automatically nominated--Primary not held if no contest","The exhaustive official candidate list has exactly one party candidate, and SDCL 12-6-9 makes an unopposed candidate the automatic party nominee."
2026,2026-03-03,AR,House,01,regular,primary,Democratic,unopposed_nomination_verified,Terri Yarbrough Green,https://candidates.arkansas.gov/wp-json/metl/v1/all?rand=1732&draw=3&columns%5B0%5D%5Bdata%5D=FilerID&columns%5B0%5D%5Bname%5D=&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=false&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=CanBallotName&columns%5B1%5D%5Bname%5D=&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=Descript&columns%5B2%5D%5Bname%5D=&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=PartyAffiliation&columns%5B3%5D%5Bname%5D=&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=FilingDate&columns%5B4%5D%5Bname%5D=&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=1&order%5B0%5D%5Bdir%5D=asc&start=0&length=1000&search%5Bvalue%5D=&search%5Bregex%5D=false&postID=2941&CanBallotName=&Descript=; https://www.sos.arkansas.gov/uploads/elections/2026_Election_Calendar_Rev._6-2025_.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"candidate API data row where Descript='U.S. Congress District 01' and PartyAffiliation='Democratic'; 2026 Election Calendar printed page 13, March 3 primary, and printed page 17, March 18 deadline to declare and certify unopposed candidates; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a)",The exhaustive official filing API has exactly one candidate in this party unit; the official calendar and statute require separate declaration and certification of unopposed candidates.
2026,2026-03-03,AR,House,01,regular,primary,Republican,unopposed_nomination_verified,Congressman Rick Crawford,https://candidates.arkansas.gov/wp-json/metl/v1/all?rand=1732&draw=3&columns%5B0%5D%5Bdata%5D=FilerID&columns%5B0%5D%5Bname%5D=&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=false&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=CanBallotName&columns%5B1%5D%5Bname%5D=&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=Descript&columns%5B2%5D%5Bname%5D=&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=PartyAffiliation&columns%5B3%5D%5Bname%5D=&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=FilingDate&columns%5B4%5D%5Bname%5D=&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=1&order%5B0%5D%5Bdir%5D=asc&start=0&length=1000&search%5Bvalue%5D=&search%5Bregex%5D=false&postID=2941&CanBallotName=&Descript=; https://www.sos.arkansas.gov/uploads/elections/2026_Election_Calendar_Rev._6-2025_.pdf; https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,"candidate API data row where Descript='U.S. Congress District 01' and PartyAffiliation='Republican'; 2026 Election Calendar printed page 13, March 3 primary, and printed page 17, March 18 deadline to declare and certify unopposed candidates; Arkansas Election Laws 2025 PDF page 252, Ark. Code section 7-7-102(a)",The exhaustive official filing API has exactly one candidate in this party unit; the official calendar and statute require separate declaration and certification of unopposed candidates.
