source_id,state_code,cycle,authority,source_url,path,sha256,bytes,artifact_type,locators,coverage
ar-2024-pulaski-primary-notice,AR,2024,Pulaski County Election Commission,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf,data/raw/nomination_followup/ar/2024/pulaski-2024-primary-amended-notice.pdf,a96c587d31457b79fa78d3cf2ddef5116e3687917cb6fe38c09811a6ca4349ea,468512,official_pdf,"PDF page 3 (printed Page 4 of 5), Republican Unopposed Candidates and Democratic Unopposed Candidates","AR 2024 House districts 01, 02, and 04 Democratic/Republican"
ar-2024-pulaski-primary-notice-text,AR,2024,Pulaski County Election Commission,https://votepulaskiar.gov/wp-content/uploads/03052024_Notice-of-Election_AMENDED-1.pdf,data/raw/nomination_followup/ar/2024/pulaski-2024-primary-amended-notice.txt,d4cdb846fffd63c175a23d761c5463d8efb752b70cb9fb94da7a888b007ae788,20208,extracted_text,lines 569-582,Parser input for the six explicitly labeled unopposed units
ar-election-law-2025,AR,2024;2026,Arkansas Secretary of State,https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,data/raw/nomination_followup/ar/arkansas-election-laws-2025.pdf,3e3015d49a0d6ae09a728578c0bdefd2a91437c18de12a7e3c834c2f82d5d833,3266612,official_pdf,"PDF page 252, Ark. Code section 7-7-102(a)",Certification of party nominees as unopposed candidates
ar-code-7-7-102-extract,AR,2024;2026,Arkansas Secretary of State,https://www.sos.arkansas.gov/uploads/elections/Arkansas_Election_Laws_and_Constitution_2025_Edition.pdf,data/raw/nomination_followup/ar/arkansas-code-7-7-102-extract.txt,7b0e0fb92f7717b20a2651e3b77d35b40055947149e8691198272f62105fe5bf,7266,extracted_text,"PDF page 252, Ark. Code section 7-7-102(a)",Parser assertion for automatic unopposed certification
ar-2026-candidate-roster,AR,2026,Arkansas Secretary of State,https://candidates.arkansas.gov/wp-json/metl/v1/all?rand=1732&draw=3&columns%5B0%5D%5Bdata%5D=FilerID&columns%5B0%5D%5Bname%5D=&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=false&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=CanBallotName&columns%5B1%5D%5Bname%5D=&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=Descript&columns%5B2%5D%5Bname%5D=&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=PartyAffiliation&columns%5B3%5D%5Bname%5D=&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=FilingDate&columns%5B4%5D%5Bname%5D=&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=1&order%5B0%5D%5Bdir%5D=asc&start=0&length=1000&search%5Bvalue%5D=&search%5Bregex%5D=false&postID=2941&CanBallotName=&Descript=,data/raw/nomination_followup/ar/2026/ar-2026-candidate-roster.json,7116b04dfa77d982d09b16f84a2cce1da9f113f017a6d4f0a2b7bfd14a2e1630,32570,official_json,"recordsTotal=199; data rows for U.S. Congress District 01, 03, and 04",Exhaustive 2026 filing roster
ar-2026-election-calendar,AR,2026,Arkansas Secretary of State,https://www.sos.arkansas.gov/uploads/elections/2026_Election_Calendar_Rev._6-2025_.pdf,data/raw/nomination_followup/ar/2026/ar-2026-election-calendar.pdf,e4ffb262ddc14d741f0f67f852ed0572d99f4bd1bb4de5b78f97d65d294aaf89,804123,official_pdf,"PDF printed page 13, March 3 primary; printed page 17, March 18 unopposed certification deadline",Election date and explicit unopposed certification procedure
ar-2026-election-calendar-text,AR,2026,Arkansas Secretary of State,https://www.sos.arkansas.gov/uploads/elections/2026_Election_Calendar_Rev._6-2025_.pdf,data/raw/nomination_followup/ar/2026/ar-2026-election-calendar.txt,a92f360e7c8123d4ac3b1be0b62d4e2b4be46157a34ed4d79ccf26a35c809106,106147,extracted_text,lines 611-614 and 824-829,Parser assertions for date and certification procedure
ky-2024-house-candidate-filings,KY,2024,Kentucky Secretary of State,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=82&id=4,data/raw/nomination_followup/ky/2024/ky-2024-us-house-candidate-filings.html,84552cf32431eab42865ab2ce8a73056d9b96f4299c570f5219678768bbee232,44939,official_html,"Candidates for US Representative; active table, 23 filings",Exhaustive 2024 U.S. House filing roster
ky-2026-house-candidate-filings,KY,2026,Kentucky Secretary of State,https://web.sos.ky.gov/CandidateFilings/default.aspx?elecid=86&id=4,data/raw/nomination_followup/ky/2026/ky-2026-us-house-candidate-filings.html,37b202fc22f2f7d429b8ba3c5d504dae4b1c3fc73020657faa873adecc2d6a7f,84770,official_html,"Candidates for US Representative; active table, 48 filings; Withdrawn / Deceased / Disqualified section",Exhaustive 2026 U.S. House filing roster and withdrawals
ky-krs-118-185,KY,2024;2026,Kentucky Legislative Research Commission,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,data/raw/nomination_followup/ky/krs-118-185.pdf,93a33c83f6d84515187f7eda1fd1a6a7aedc8056e96903a309037e1b3efd00a0,4478,official_pdf,"KRS 118.185, Certification of unopposed candidate",Automatic certificate of nomination for a sole filer
ky-krs-118-185-text,KY,2024;2026,Kentucky Legislative Research Commission,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=27594,data/raw/nomination_followup/ky/krs-118-185.txt,fe14698d05ffd83bec2806ad277bd57e4584c37a838771039e260dbe09dbef16,555,extracted_text,lines 1-8,Parser assertion for a sole filer's certificate of nomination
ky-krs-118-212,KY,2026,Kentucky Legislative Research Commission,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=57013,data/raw/nomination_followup/ky/krs-118-212.pdf,d43a63b1e91395bc961dca75bda672458c63658640d060f9f1e086b7b74d058f,12529,official_pdf,"KRS 118.212(4), effective April 14, 2026",Certificate of nomination for sole remaining primary candidate
ky-krs-118-212-text,KY,2026,Kentucky Legislative Research Commission,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=57013,data/raw/nomination_followup/ky/krs-118-212.txt,80d31edbce295f9f73763fb45b38bff5fcb085a5596a54b76f2b60bd76a1b132,4278,extracted_text,lines 24-36 and 49-56,Parser assertion for nomination after withdrawal
sd-2024-primary-candidates,SD,2024,South Dakota Secretary of State,https://sdsos.gov/elections-voting/election-resources/election-history/2024/2024PrimaryCandidateList.csv,data/raw/nomination_followup/sd/2024/sd-2024-primary-candidates.csv,4d7dc9d1bc7250aa428af75c9459df72c6f624c909724fd9b4673dbf8ab5fb71,227044,official_csv,"rows 8-9, United States Representative",Exhaustive 2024 primary candidate list
sd-2024-election-history,SD,2024,South Dakota Secretary of State,https://sdsos.gov/elections-voting/election-resources/election-history/2024_Election_History.aspx,data/raw/nomination_followup/sd/2024/sd-2024-election-history.html,ad1a1b1a2005753b937d147f856ee2b16a7f041c065d61021260df0a6148d91c,119787,official_html,"2024 Primary Election - June 4, 2024",Official primary date and candidate-list publication context
sd-2026-primary-candidates,SD,2026,South Dakota Secretary of State,https://vip.sdsos.gov/candidatelist.aspx?eid=773,data/raw/nomination_followup/sd/2026/sd-2026-primary-candidates.html,d507229642900a26c01b1a589f7b6077dd4291ec1db842178f20e2c4fa16405f,149766,official_html,page note: unopposed candidates are not on the primary ballot; United States Senator and United States Representative rows,Exhaustive 2026 primary candidate list
