cycle,state_code,chamber,district,term,primary_party,status,candidate_rows,source_ids,notes
2024,CT,House,01,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,01,regular,Republican,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,02,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,02,regular,Republican,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,03,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,03,regular,Republican,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,04,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,04,regular,Republican,complete_official_results,2,ct-2024-primary,
2024,CT,House,05,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,House,05,regular,Republican,no_reported_contest_not_inferred,0,ct-2024-primary,No federal contest row in the complete year export.
2024,CT,Senate,S,regular,Democratic,no_reported_contest_not_inferred,0,ct-2024-primary,No Senate contest row in the complete year export.
2024,CT,Senate,S,regular,Republican,complete_official_results,2,ct-2024-primary,
2024,MA,House,01,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,01,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,01,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,02,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,02,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,02,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,03,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,03,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,03,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,04,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,04,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,04,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,05,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,05,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,05,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,06,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,06,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,06,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,07,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,07,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,07,regular,Republican,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,08,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,08,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,08,regular,Republican,complete_official_results,4,ma-2024-primary,
2024,MA,House,09,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,House,09,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,House,09,regular,Republican,complete_unopposed_result,2,ma-2024-primary,
2024,MA,Senate,S,regular,Democratic,complete_unopposed_result,2,ma-2024-primary,
2024,MA,Senate,S,regular,Libertarian,official_no_candidates,0,ma-2024-primary,Explicit No Candidates label.
2024,MA,Senate,S,regular,Republican,complete_official_results,4,ma-2024-primary,
2024,MD,House,01,regular,Democratic,complete_official_results,2,md-2024-primary-democratic,
2024,MD,House,01,regular,Republican,complete_official_results,3,md-2024-primary-republican,
2024,MD,House,02,regular,Democratic,complete_official_results,6,md-2024-primary-democratic,
2024,MD,House,02,regular,Republican,complete_official_results,3,md-2024-primary-republican,
