contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
ct-2024-08-13-house-04-regular-republican,2024,2024-08-13,primary,CT,House,04,regular,partisan_primary,Republican,Bob MacGuffie,58673,Republican,False,3713,ct-2024-primary,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,1fed4ff60ab231a0adfbc05e13f02535fccb0b4374ebb23d1d2fbaf5b30ad133,ct-2024-all.csv.gz:contest-36593:candidate-58673,17
ct-2024-08-13-house-04-regular-republican,2024,2024-08-13,primary,CT,House,04,regular,partisan_primary,Republican,Michael Goldstein,58505,Republican,False,4312,ct-2024-primary,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,1fed4ff60ab231a0adfbc05e13f02535fccb0b4374ebb23d1d2fbaf5b30ad133,ct-2024-all.csv.gz:contest-36593:candidate-58505,17
ct-2024-08-13-senate-s-regular-republican,2024,2024-08-13,primary,CT,Senate,S,regular,partisan_primary,Republican,Gerry Smith,58672,Republican,False,15740,ct-2024-primary,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,1fed4ff60ab231a0adfbc05e13f02535fccb0b4374ebb23d1d2fbaf5b30ad133,ct-2024-all.csv.gz:contest-36592:candidate-58672,169
ct-2024-08-13-senate-s-regular-republican,2024,2024-08-13,primary,CT,Senate,S,regular,partisan_primary,Republican,Matthew M. Corey,58664,Republican,False,19065,ct-2024-primary,https://ct.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,1fed4ff60ab231a0adfbc05e13f02535fccb0b4374ebb23d1d2fbaf5b30ad133,ct-2024-all.csv.gz:contest-36592:candidate-58664,169
ma-2024-09-03-house-01-regular-democratic,2024,2024-09-03,primary,MA,House,01,regular,partisan_primary,Democratic,All Others,163580-all-others,,True,528,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163580:candidate-2,1
ma-2024-09-03-house-01-regular-democratic,2024,2024-09-03,primary,MA,House,01,regular,partisan_primary,Democratic,Richard E. Neal,163580-Richard-E-Neal,Democratic,False,56364,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163580:candidate-1,1
ma-2024-09-03-house-02-regular-democratic,2024,2024-09-03,primary,MA,House,02,regular,partisan_primary,Democratic,All Others,163640-all-others,,True,225,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163640:candidate-2,1
ma-2024-09-03-house-02-regular-democratic,2024,2024-09-03,primary,MA,House,02,regular,partisan_primary,Democratic,James P. McGovern,163640-James-P-McGovern,Democratic,False,56343,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163640:candidate-1,1
ma-2024-09-03-house-03-regular-democratic,2024,2024-09-03,primary,MA,House,03,regular,partisan_primary,Democratic,All Others,163535-all-others,,True,357,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163535:candidate-2,1
ma-2024-09-03-house-03-regular-democratic,2024,2024-09-03,primary,MA,House,03,regular,partisan_primary,Democratic,Lori Loureiro Trahan,163535-Lori-Loureiro-Trahan,Democratic,False,54612,ma-2024-primary,https://electionstats.state.ma.us/elections/search/date:2024-09-03,47f5f8369eda1088eefb1c1f8ed1c2ee44c980c97b09dc7d2a2a7ebd80195ddb,ma-2024-primary.html:election-163535:candidate-1,1
