state_code,cycle,election_date,chamber,district,primary_party,coverage_status,candidate_rows,source_ids,notes
ID,2024,2024-05-21,House,01,Constitution,complete_certified_results,1,id-2024-primary-20315,
ID,2024,2024-05-21,House,01,Democratic,complete_certified_results,1,id-2024-primary-20316,
ID,2024,2024-05-21,House,01,Libertarian,complete_certified_results,1,id-2024-primary-20317,
ID,2024,2024-05-21,House,01,Republican,complete_certified_results,1,id-2024-primary-20318,
ID,2024,2024-05-21,House,02,Constitution,complete_certified_results,2,id-2024-primary-20319,
ID,2024,2024-05-21,House,02,Democratic,complete_certified_results,1,id-2024-primary-20320,
ID,2024,2024-05-21,House,02,Libertarian,complete_certified_results,1,id-2024-primary-20321,
ID,2024,2024-05-21,House,02,Republican,complete_certified_results,3,id-2024-primary-20322,
ID,2026,2026-05-19,House,01,Democratic,complete_certified_results,2,id-2026-primary-canvass,
ID,2026,2026-05-19,House,01,Republican,complete_certified_results,3,id-2026-primary-canvass,
ID,2026,2026-05-19,House,02,Democratic,complete_certified_results,2,id-2026-primary-canvass,
ID,2026,2026-05-19,House,02,Libertarian,complete_certified_results,1,id-2026-primary-canvass,
ID,2026,2026-05-19,House,02,Republican,complete_certified_results,3,id-2026-primary-canvass,
ID,2026,2026-05-19,Senate,S,Democratic,complete_certified_results,3,id-2026-primary-canvass,
ID,2026,2026-05-19,Senate,S,Libertarian,complete_certified_results,1,id-2026-primary-canvass,
ID,2026,2026-05-19,Senate,S,Republican,complete_certified_results,4,id-2026-primary-canvass,
NM,2024,2024-06-04,House,01,Democratic,complete_certified_results,1,nm-2024-primary-14432,
NM,2024,2024-06-04,House,01,Republican,complete_certified_results,2,nm-2024-primary-14431,
NM,2024,2024-06-04,House,02,Democratic,complete_certified_results,1,nm-2024-primary-14433,
NM,2024,2024-06-04,House,02,Republican,complete_certified_results,1,nm-2024-primary-14434,
NM,2024,2024-06-04,House,03,Democratic,complete_certified_results,1,nm-2024-primary-cd3-official-page,
NM,2024,2024-06-04,House,03,Republican,complete_certified_results,1,nm-2024-primary-cd3-official-page,
NM,2024,2024-06-04,Senate,S,Democratic,complete_certified_results,1,nm-2024-primary-14427,
NM,2024,2024-06-04,Senate,S,Republican,complete_certified_results,1,nm-2024-primary-14428,
NM,2026,2026-06-02,House,01,Democratic,complete_certified_results,1,nm-2026-cd01-DEM,
NM,2026,2026-06-02,House,01,Republican,complete_certified_results,1,nm-2026-cd01-REP,
NM,2026,2026-06-02,House,02,Democratic,complete_certified_results,1,nm-2026-cd02-DEM,
NM,2026,2026-06-02,House,02,Republican,complete_certified_results,2,nm-2026-cd02-REP,
NM,2026,2026-06-02,House,03,Democratic,complete_certified_results,1,nm-2026-cd03-DEM,
