cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2024,2024-05-21,ID,House,01,regular,primary,Constitution,results_complete,Brendan J. Gomez,https://canvass.sos.idaho.gov/eng/contests/view/20315,contest-20315.csv:Totals,
2024,2024-05-21,ID,House,01,regular,primary,Democratic,results_complete,Kaylee Peterson,https://canvass.sos.idaho.gov/eng/contests/view/20316,contest-20316.csv:Totals,
2024,2024-05-21,ID,House,01,regular,primary,Libertarian,results_complete,Matt Loesby,https://canvass.sos.idaho.gov/eng/contests/view/20317,contest-20317.csv:Totals,
2024,2024-05-21,ID,House,01,regular,primary,Republican,results_complete,Russ Fulcher,https://canvass.sos.idaho.gov/eng/contests/view/20318,contest-20318.csv:Totals,
2024,2024-05-21,ID,House,02,regular,primary,Constitution,results_complete,Idaho Law - Carta Sierra|Pro-Life (A person formerly known as Marvin Richardson),https://canvass.sos.idaho.gov/eng/contests/view/20319,contest-20319.csv:Totals,
2024,2024-05-21,ID,House,02,regular,primary,Democratic,results_complete,David Roth,https://canvass.sos.idaho.gov/eng/contests/view/20320,contest-20320.csv:Totals,
2024,2024-05-21,ID,House,02,regular,primary,Libertarian,results_complete,Todd Corsetti,https://canvass.sos.idaho.gov/eng/contests/view/20321,contest-20321.csv:Totals,
2024,2024-05-21,ID,House,02,regular,primary,Republican,results_complete,Mike Simpson|Scott Cleveland|Sean Higgins,https://canvass.sos.idaho.gov/eng/contests/view/20322,contest-20322.csv:Totals,
2024,2024-05-21,ID,Senate,S,regular,primary,,not_scheduled,,,,No U.S. Senate seat scheduled in 2024.
2024,2024-05-21,OR,House,01,regular,primary,Democratic,results_complete,Courtney E. Casgraux (Moore)|Jamil O. Ahmad|Miscellaneous Write-In|Suzanne Bonamici,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-3,
2024,2024-05-21,OR,House,01,regular,primary,Republican,results_complete,Bob Todd|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-3,
2024,2024-05-21,OR,House,02,regular,primary,Democratic,results_complete,Dan Ruby|Miscellaneous Write-In|Steve William Laible,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-4,
2024,2024-05-21,OR,House,02,regular,primary,Republican,results_complete,Cliff Bentz|Jason Beebe|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-4,
2024,2024-05-21,OR,House,03,regular,primary,Democratic,results_complete,Eddy Morales|Maxine E. Dexter|Michael Jonas|Miscellaneous Write-In|Nolan Bylenga|Rachel Lydia Rand|Ricardo Barajas|Susheela Jayapal,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-6,
2024,2024-05-21,OR,House,03,regular,primary,Republican,results_complete,Gary L. Dye|Joanna Harbour|Miscellaneous Write-In|Teresa Orwig,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-6,
2024,2024-05-21,OR,House,04,regular,primary,Democratic,results_complete,Miscellaneous Write-In|Val Hoyle,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-7,
2024,2024-05-21,OR,House,04,regular,primary,Republican,results_complete,Amy L Ryan Courser|Miscellaneous Write-In|Monique DeSpain,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-7,
2024,2024-05-21,OR,House,05,regular,primary,Democratic,results_complete,Jamie McLeod-Skinner|Janelle S. Bynum|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-8,
2024,2024-05-21,OR,House,05,regular,primary,Republican,results_complete,Lori Chavez-DeRemer|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-8,
2024,2024-05-21,OR,House,06,regular,primary,Democratic,results_complete,Andrea Salinas|Cody Reynolds|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-9,
2024,2024-05-21,OR,House,06,regular,primary,Republican,results_complete,Conrad J Herold|David A Burch|David Russ|Mike Erickson|Miscellaneous Write-In,https://sos.oregon.gov/elections/Documents/results/may-primary-2024-results.pdf,or-2024-primary-abstract.pdf:page-9,
