source_id,state_code,election_date,artifact_kind,authority,publication_url,source_url,raw_filename,sha256,verification_status,certification_status,candidate_rows,contests,coverage,notes
id-2024-primary-20315,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20315,https://canvass.sos.idaho.gov/eng/contests/view/20315,id/2024/contest-20315.csv,0cde8cd6e6c9f17f44c38c5d50143070f5da012ed4a182f08c375c1f0ca59931,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20316,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20316,https://canvass.sos.idaho.gov/eng/contests/view/20316,id/2024/contest-20316.csv,ce1e98ccae68aea70cb9391d627b73534391315a0151bbcc9554daaf042f89b4,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20317,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20317,https://canvass.sos.idaho.gov/eng/contests/view/20317,id/2024/contest-20317.csv,6f27aa2850ddfca2fb04d5f9082472c6d362a4f85a7f272ab151d6a49d65d680,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20318,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20318,https://canvass.sos.idaho.gov/eng/contests/view/20318,id/2024/contest-20318.csv,cf95a22a050311ecf5c451233a84dc4c0c7f5697dd8e446c39948f6247bb5379,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20319,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20319,https://canvass.sos.idaho.gov/eng/contests/view/20319,id/2024/contest-20319.csv,b2a52507d73bd5f39dc44bfaa93075c248a0bf717a0f0360432556f79c05854d,verified_official,certified,2,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20320,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20320,https://canvass.sos.idaho.gov/eng/contests/view/20320,id/2024/contest-20320.csv,a7ba9c40c26d5c26f572f2b6ecaef103b4f15c66840144368f101a66b7a9e801,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20321,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20321,https://canvass.sos.idaho.gov/eng/contests/view/20321,id/2024/contest-20321.csv,e9c66d9047a0a319fa5f5487b24539848e26a2d82c53b90950269ec421ea41b8,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
id-2024-primary-20322,ID,2024-05-21,official_contest_csv,Idaho Secretary of State,https://canvass.sos.idaho.gov/eng/contests/view/20322,https://canvass.sos.idaho.gov/eng/contests/view/20322,id/2024/contest-20322.csv,f7e5778ff6ee04f857c56a810cee7bc4fc4f9a0151b7f92c6d715babe76a52b0,verified_official,certified,3,1,all candidates and ballot options in the registered contest/source,
id-2026-primary-canvass,ID,2026-05-19,official_statewide_canvass_pdf,Idaho Secretary of State,https://archive.voteidaho.gov/results/2026/primary/canvass_report_2026_primary.pdf,https://archive.voteidaho.gov/results/2026/primary/canvass_report_2026_primary.pdf,id/2026/id-2026-primary-canvass.pdf,df44375d4c11d1508bed8b5f9476171578efc1bd65c01c42e294fd3c8acfe8ec,verified_official,certified,19,8,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14427,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14427,https://electionstats.sos.nm.gov/contest/14427,nm/2024/contest-14427.csv,e55419533a03b5c9970cedd40eb479254331d9c7dbb5138eca725a2b794f96b1,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14428,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14428,https://electionstats.sos.nm.gov/contest/14428,nm/2024/contest-14428.csv,0686c4beae3332ea7a81ad95b98897370b5c990eb3fa82fb664dbbdcfcefd4d2,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14431,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14431,https://electionstats.sos.nm.gov/contest/14431,nm/2024/contest-14431.csv,7475ad6fa540cc8796714019a929497e6a5a1d0d88436d439268141bbdf9e0d4,verified_official,certified,2,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14432,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14432,https://electionstats.sos.nm.gov/contest/14432,nm/2024/contest-14432.csv,c924eb27880b3ed7c129b276f1df48d777f058ca3ce4b15130668a05018499d8,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14433,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14433,https://electionstats.sos.nm.gov/contest/14433,nm/2024/contest-14433.csv,1a463a6e85398b942037b497986ab9dfca4970c6a51bbcc032aabd4f33d53a5c,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-14434,NM,2024-06-04,official_contest_csv,New Mexico Secretary of State,https://electionstats.sos.nm.gov/contest/14434,https://electionstats.sos.nm.gov/contest/14434,nm/2024/contest-14434.csv,7561e6dcd2b18cedbc21e960811edb8d0ce71b40ab2fe326e9fa6f245e3faa1b,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2024-primary-cd3-official-page,NM,2024-06-04,reviewed_official_page_extraction,New Mexico Secretary of State,https://electionresults.sos.nm.gov/resultsSW.aspx?eid=2878&map=CTY&type=FED,https://electionresults.sos.nm.gov/resultsSW.aspx?eid=2878&map=CTY&type=FED,nm/2024/nm-2024-cd3-reviewed.csv,b5f0a84ab51e2e7004343c4f121be90fbab858f88b4da29036b30e4e872b10d5,verified_official,certified,2,2,all candidates and ballot options in the registered contest/source,
nm-2026-cd01-DEM,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd01-DEM.json,314e0b7e50eda5300ebf3888e9c27275fe6d49f87269e4c6f8473e27b08bdee8,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2026-cd01-REP,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd01-REP.json,86566768dd0fa7595be0aaad934c8a7acd620235b5562e019149ff9b87b57622,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2026-cd02-DEM,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd02-DEM.json,105fcc563e14e0e0b346105eeeca7d1653a612c1489e4ce8a77b1df495882075,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2026-cd02-REP,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd02-REP.json,818336f86f35114a15b276fb3b13f0f12f0460c88f4efb852019d89cb40bcfe1,verified_official,certified,2,1,all candidates and ballot options in the registered contest/source,
nm-2026-cd03-DEM,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd03-DEM.json,7854856c130fe5e33f6389ace3f6c88a33184256ea6b3c475fe0a09edfe42cef,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
nm-2026-cd03-REP,NM,2026-06-02,official_public_api_json,New Mexico Secretary of State,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,https://electionresults-api.sos.nm.gov/NMResultsAjax.svc/GetMapData?type=FED&category=CTY,nm/2026/cd03-REP.json,01ce8318387f8925bd6bfa3781e535e24b2d6ad5671e7ebffb9a5a96198232f1,verified_official,certified,1,1,all candidates and ballot options in the registered contest/source,
