cycle,state_code,chamber,district,primary_party,status,candidate_rows,reporting_units,source_ids,notes
2024,MI,House,01,Democratic,complete_certified_results,2,36,mi-2024-primary-results,
2024,MI,House,01,Republican,complete_certified_results,2,36,mi-2024-primary-results,
2024,MI,House,02,Democratic,complete_certified_results,1,20,mi-2024-primary-results,
2024,MI,House,02,Republican,complete_certified_results,1,20,mi-2024-primary-results,
2024,MI,House,03,Democratic,complete_certified_results,2,3,mi-2024-primary-results,
2024,MI,House,03,Republican,complete_certified_results,2,3,mi-2024-primary-results,
2024,MI,House,04,Democratic,complete_certified_results,1,6,mi-2024-primary-results,
2024,MI,House,04,Republican,complete_certified_results,2,6,mi-2024-primary-results,
2024,MI,House,05,Democratic,complete_certified_results,1,10,mi-2024-primary-results,
2024,MI,House,05,Republican,complete_certified_results,1,10,mi-2024-primary-results,
2024,MI,House,06,Democratic,complete_certified_results,1,4,mi-2024-primary-results,
2024,MI,House,06,Republican,complete_certified_results,1,4,mi-2024-primary-results,
2024,MI,House,07,Democratic,complete_certified_results,1,7,mi-2024-primary-results,
2024,MI,House,07,Republican,complete_certified_results,1,7,mi-2024-primary-results,
2024,MI,House,08,Democratic,complete_certified_results,3,5,mi-2024-primary-results,
2024,MI,House,08,Republican,complete_certified_results,3,5,mi-2024-primary-results,
2024,MI,House,09,Democratic,complete_certified_results,1,7,mi-2024-primary-results,
2024,MI,House,09,Republican,complete_certified_results,1,7,mi-2024-primary-results,
2024,MI,House,10,Democratic,complete_certified_results,5,2,mi-2024-primary-results,
2024,MI,House,10,Republican,complete_certified_results,1,2,mi-2024-primary-results,
2024,MI,House,11,Democratic,complete_certified_results,2,1,mi-2024-primary-results,
2024,MI,House,11,Republican,complete_certified_results,2,1,mi-2024-primary-results,
2024,MI,House,12,Democratic,complete_certified_results,2,2,mi-2024-primary-results,
2024,MI,House,12,Republican,complete_certified_results,2,2,mi-2024-primary-results,
2024,MI,House,13,Democratic,complete_certified_results,3,1,mi-2024-primary-results,
2024,MI,House,13,Republican,complete_certified_results,1,1,mi-2024-primary-results,
2024,MI,Senate,S,Democratic,complete_certified_results,2,83,mi-2024-primary-results,
2024,MI,Senate,S,Republican,complete_certified_results,4,83,mi-2024-primary-results,
2024,NY,House,01,Democratic,complete_certified_results,2,1,suffolk-2024-cd01-dem,
2024,NY,House,02,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,02,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,02,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,02,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,03,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,03,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,03,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,10,Democratic,complete_certified_results,167,2,nyc-2024-cd10-dem,
2024,NY,House,14,Democratic,complete_certified_results,48,2,nyc-2024-cd14-dem,
2024,NY,House,16,Democratic,complete_certified_results,3,2,ny-2024-election-database-search,
2024,NY,House,16,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,16,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,17,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,17,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,17,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,17,Working Families,complete_certified_results,3,4,ny-2024-election-database-search,
2024,NY,House,18,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,18,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,18,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,18,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,19,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,19,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,19,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,19,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,20,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,20,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,20,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,20,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,21,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,21,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,21,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,21,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,22,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,22,Democratic,complete_certified_results,3,5,ny-2024-election-database-search,
2024,NY,House,22,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,22,Working Families,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,23,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,23,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,23,Republican,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,24,Conservative,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2024,NY,House,24,Democratic,official_uncontested_roster,1,,ny-2024-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
