district,primary_party,county,contest_status,county_source_status,source_url,raw_filename,notes
03,Democratic,Nassau,partial,official_hosted_uncertified,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,District remains excluded until every county canvass is certified.
03,Democratic,Queens,partial,certified_county_canvass,https://www.vote.nyc/page/election-results-summary,nyc/nyc-2026-01401600003Queens_Democratic_Representative_in_Congress_3rd_Congressional_District_Recap.csv,District remains excluded until every county canvass is certified.
03,Democratic,Suffolk,partial,final_county_return,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/DEMs.htm,suffolk/suffolk-2026-primary-DEMs.html,District remains excluded until every county canvass is certified.
03,Republican,Nassau,partial,official_hosted_uncertified,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,District remains excluded until every county canvass is certified.
03,Republican,Queens,partial,certified_county_canvass,https://www.vote.nyc/page/election-results-summary,nyc/nyc-2026-02401600003Queens_Republican_Representative_in_Congress_3rd_Congressional_District_Recap.csv,District remains excluded until every county canvass is certified.
03,Republican,Suffolk,partial,final_county_return,https://apps2.suffolkcountyny.gov/boe/eleres/26pe/REPs.htm,suffolk/suffolk-2026-primary-REPs.html,District remains excluded until every county canvass is certified.
04,Republican,Nassau,partial,official_hosted_uncertified,https://app.nassaucountyny.gov/BOE/results/election2.html,nassau/nassau-2026-primary-unofficial.html,District remains excluded until every county canvass is certified.
17,Democratic,Putnam,complete,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/putnam-county-ny/PE26/data,counties/enhanced/putnam-county-ny-PE26-data.json,Certified/final all-county set complete.
17,Democratic,Rockland,complete,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/rockland-county-ny/PE26/data,counties/enhanced/rockland-county-ny-PE26-data.json,Certified/final all-county set complete.
17,Democratic,Dutchess,complete,certified_county_canvass,https://elections.dutchessny.gov/wp-content/uploads/2026/07/Detailed-Results-by-Contest-Table-7-10.pdf,counties/dutchess-2026-primary-detailed.pdf,Certified/final all-county set complete.
17,Democratic,Westchester,complete,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/westchester-county-ny/PE26/data,counties/enhanced/westchester-county-ny-PE26-data.json,Certified/final all-county set complete.
19,Republican,Broome,partial,official_hosted_uncertified,https://app.enhancedvoting.com/results/public/api/elections/broome-county-ny/PE26/data,counties/enhanced/broome-county-ny-PE26-data.json,District remains excluded until every county canvass is certified.
19,Republican,Chenango,partial,not_recovered,,,District remains excluded until every county canvass is certified.
19,Republican,Columbia,partial,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/columbia-county-ny/PE26/data,counties/enhanced/columbia-county-ny-PE26-data.json,District remains excluded until every county canvass is certified.
19,Republican,Delaware,partial,not_recovered,,,District remains excluded until every county canvass is certified.
19,Republican,Greene,partial,not_recovered,,,District remains excluded until every county canvass is certified.
19,Republican,Otsego,partial,not_recovered,,,District remains excluded until every county canvass is certified.
19,Republican,Sullivan,partial,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/sullivan-county-ny/PE26/data,counties/enhanced/sullivan-county-ny-PE26-data.json,District remains excluded until every county canvass is certified.
19,Republican,Tompkins,partial,certified_county_canvass,https://electionhistory.tompkinscountyny.gov/contest/647,counties/tompkins-2026-cd19-certified.csv,District remains excluded until every county canvass is certified.
19,Republican,Cortland,partial,not_recovered,,,District remains excluded until every county canvass is certified.
19,Republican,Rensselaer,partial,certified_county_canvass,https://app.enhancedvoting.com/results/public/api/elections/rensselaer-county-ny/PE26/data,counties/enhanced/rensselaer-county-ny-PE26-data.json,District remains excluded until every county canvass is certified.
19,Republican,Ulster,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Clinton,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Essex,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Franklin,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Fulton,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Hamilton,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Herkimer,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Lewis,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,St. Lawrence,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Schoharie,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Warren,partial,not_recovered,,,District remains excluded until every county canvass is certified.
21,Democratic,Washington,partial,not_recovered,,,District remains excluded until every county canvass is certified.
