source_id,state_code,election_date,artifact_kind,authority,publication_url,source_url,raw_filename,sha256,acquisition_status,verification_status,candidate_rows,contests,coverage,notes
mi-2024-primary-results,MI,2024-08-06,certified_results,Michigan Department of State,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-6-2024,https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=698,mi-2024-primary-results.tsv,95980757590860087e5498e37dc4c4c18b2c9d6d38e93443e0fddebdd56bca45,recovered,complete_official_statewide_export,51,28,US_Senate_and_all_13_US_House_districts_all_reported_candidates,Authority index links the MVIC result page; browser session exposed export ID.
mi-2026-primary-results,MI,2026-08-04,certified_results,Michigan Department of State,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-4-2026,https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=706,mi-2026-primary-results.tsv,af510a6246f6a51ce8e657b75965c63e251672c094a6861334950d3b39d230e4,recovered,complete_official_statewide_export,58,28,US_Senate_and_all_13_US_House_districts_all_reported_candidates,Authority index links the MVIC result page; browser session exposed export ID.
ny-2024-election-database-search,NY,2024-06-25,certified_results,New York State Board of Elections / Civera hosted database,https://results.elections.ny.gov/search?df=2024&dt=2024&p=1,https://ny.elstats.civera.com/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22ballotQuestions%22%3A%7B%22text%22%3A%22%22%2C%22types%22%3A%5B%5D%2C%22number%22%3A%22%22%2C%22divisions%22%3A%5B%5D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,ny-2024-election-database-search.csv,794456d286f6346bb1f4e8fff52b42b1ddcaba9c07f3b7c8915ecd80d9298a4d,recovered,partial_state_board_canvass_only,12,4,four_state_board_certified_contested_US_House_primaries,County-contained congressional primaries are not present in this state export.
ny-2024-primary-certification,NY,2024-06-25,ballot_roster,New York State Board of Elections,https://elections.ny.gov/node/306,https://elections.ny.gov/certification-june-25-2024-primary-election,ny-2024-primary-certification.pdf,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,recovered,partial_state_filed_offices_only,55,51,US_Senate_and_state_board_filed_US_House_districts_02_03_16_to_26,Districts filed solely with county boards are outside this certification.
ny-2026-primary-certification,NY,2026-06-23,ballot_roster,New York State Board of Elections,https://elections.ny.gov/certification-june-23-2026-primary-election,https://elections.ny.gov/system/files/documents/2026/05/accessible-june-23-2026-primary-certification-amended-5.13.26_0.pdf,ny-2026-primary-certification.pdf,7206199a82ddfa05631b35574a71e566f31cd3457712ba86030b5efc3916bca4,recovered,partial_state_filed_offices_only,60,47,state_board_filed_US_House_districts_02_03_16_to_26,Pre-election roster only; county-filed districts remain outside this source.
mi-election-results-index,MI,,authority_index,Michigan Department of State,https://www.michigan.gov/sos/elections/election-results-and-data,https://www.michigan.gov/sos/elections/election-results-and-data,mi-election-results-index.html,e02b5abc6db4685d2805bb2e7192ee88e9176ae2cd11b13f6ef052076452c371,recovered,authority_links_verified,,,links_2024_and_2026_August_primary_results_and_candidate_listings,
mi-2024-primary-result-page,MI,2024-08-06,result_page,Michigan Department of State,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-6-2024,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-6-2024,mi-2024-primary-results.html,1efb7830f8c07ef294ce0ba4510fe7ded890f321eed76fc61e0eb929a0934a2f,recovered,official_rendered_result_page,,,statewide_primary_results_page,Contains export link with electionId=698.
mi-2024-primary-candidate-listing,MI,2024-08-06,candidate_listing,Michigan Department of State,https://www.michigan.gov/sos/elections/election-results-and-data,https://mi-boe.entellitrak.com/candlist/2024PRI_CANDLIST.html,mi-2024-primary-candidates.html,ae8da942d0a17e6c94c680830f0593a337a369f3c7aa2f0dd438681d0497ee1d,recovered,official_candidate_listing,,,all_state_and_judicial_offices_including_statuses,"Result export, not this filing list, defines emitted ballot candidates."
mi-2026-primary-result-page,MI,2026-08-04,result_page,Michigan Department of State,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-4-2026,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=8-4-2026,mi-2026-primary-results.html,6cd4106ddd1a30aef3e037362a75001125770c44234a42d55000f520cc288954,recovered,official_rendered_result_page,,,statewide_primary_results_page,Contains export link with electionId=706.
mi-2026-primary-candidate-listing,MI,2026-08-04,candidate_listing,Michigan Department of State,https://www.michigan.gov/sos/elections/election-results-and-data,https://mi-boe.entellitrak.com/etk-mi-boe-prod/page.request.do?electionType=PRI&electionYear=2026&page=page.miboePublicReport,mi-2026-primary-candidates.html,c23902ccac46667b5e54c32254dda261f6706a6f50433fedd61b0b71cf813585,recovered,official_candidate_listing,,,all_state_and_judicial_offices_including_statuses,"Result export, not this filing list, defines emitted ballot candidates."
