contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
ny-2024-06-25-house-02-regular-conservative,2024,2024-06-25,primary_roster,NY,House,02,regular,partisan_primary,Conservative,Andrew R. Garbarino,cert-5-conservative-uncontested-andrew-r-garbarino,Conservative,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-5,
ny-2024-06-25-house-02-regular-democratic,2024,2024-06-25,primary_roster,NY,House,02,regular,partisan_primary,Democratic,Rob Lubin,cert-4-democratic-uncontested-rob-lubin,Democratic,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-4,
ny-2024-06-25-house-02-regular-republican,2024,2024-06-25,primary_roster,NY,House,02,regular,partisan_primary,Republican,Andrew R. Garbarino,cert-4-republican-uncontested-andrew-r-garbarino,Republican,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-4,
ny-2024-06-25-house-02-regular-working-families,2024,2024-06-25,primary_roster,NY,House,02,regular,partisan_primary,Working Families,Rob Lubin,cert-5-working-families-uncontested-rob-lubin,Working Families,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-5,
ny-2024-06-25-house-03-regular-conservative,2024,2024-06-25,primary_roster,NY,House,03,regular,partisan_primary,Conservative,Michael J. LiPetri Jr,cert-6-conservative-uncontested-michael-j-lipetri-jr,Conservative,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-6,
ny-2024-06-25-house-03-regular-democratic,2024,2024-06-25,primary_roster,NY,House,03,regular,partisan_primary,Democratic,Thomas R. Suozzi,cert-5-democratic-uncontested-thomas-r-suozzi,Democratic,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-5,
ny-2024-06-25-house-03-regular-republican,2024,2024-06-25,primary_roster,NY,House,03,regular,partisan_primary,Republican,Michael J. LiPetri Jr,cert-6-republican-uncontested-michael-j-lipetri-jr,Republican,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-6,
ny-2024-06-25-house-16-regular-democratic,2024,2024-06-25,primary_roster,NY,House,16,regular,partisan_primary,Democratic,George S. Latimer,cert-6-democratic-2-george-s-latimer,Democratic,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-6,
ny-2024-06-25-house-16-regular-democratic,2024,2024-06-25,primary_roster,NY,House,16,regular,partisan_primary,Democratic,Jamaal A. Bowman,cert-6-democratic-1-jamaal-a-bowman,Democratic,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-6,
ny-2024-06-25-house-16-regular-republican,2024,2024-06-25,primary_roster,NY,House,16,regular,partisan_primary,Republican,Miriam Levitt Flisser,cert-7-republican-uncontested-miriam-levitt-flisser,Republican,False,,ny-2024-primary-certification,https://elections.ny.gov/certification-june-25-2024-primary-election,9b102d07b67f5dea488c22bf4d3be03d6459c39cd7e36b651fd2bbb27982d5eb,ny-2024-primary-certification.pdf:page-7,
