cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2016,,AK,House,00,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AK,House,00,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AK,Senate,S,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AK,Senate,S,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,01,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,01,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,02,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,02,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,03,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,03,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,04,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,04,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,05,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,05,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,06,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,06,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,07,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,House,07,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,Senate,S,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AL,Senate,S,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,01,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,01,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,02,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,02,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,03,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,03,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,04,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,House,04,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,Senate,S,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AR,Senate,S,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AS,House,00,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,01,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,01,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,02,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,02,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,03,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,03,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,04,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,04,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,05,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,05,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,06,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,06,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,07,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,07,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,08,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,08,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,09,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,House,09,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,Senate,S,regular,primary,Democratic,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,AZ,Senate,S,regular,primary,Republican,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,01,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,02,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,03,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,04,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,05,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,06,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,07,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,08,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,09,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,10,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,11,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,12,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,13,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,14,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,15,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,16,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,17,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,18,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,19,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,20,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,21,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,22,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,23,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,24,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,25,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,26,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,27,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,28,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,29,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,30,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,31,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,32,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,33,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,34,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,35,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,36,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,37,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,38,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,39,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,40,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,41,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,42,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,43,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,44,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,45,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,46,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,47,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,48,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,49,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
2016,,CA,House,50,regular,primary,,source_records_present,,,,"FEC result rows are preserved, but election-specific date/party-roster reconciliation is not yet certified."
