cycle,chamber,state_code,district,seat_basis_cycle,status,source_rows,state_primary_candidate_rows,state_primary_source_ids,candidate_rows,primary_reported_rows,primary_numeric_rows,democratic_primary_rows,primary_type,candidate_policy_text_status
2016,House,AK,00,2016,source_records_present,13,0,,12,9,9,3,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,01,2016,source_records_present,3,0,,2,2,2,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,02,2016,source_records_present,5,0,,4,4,3,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,03,2016,source_records_present,4,0,,3,3,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,04,2016,source_records_present,3,0,,2,2,2,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,05,2016,source_records_present,3,0,,2,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,06,2016,source_records_present,3,0,,2,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AL,07,2016,source_records_present,2,0,,1,1,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AR,01,2016,source_records_present,2,0,,2,1,0,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AR,02,2016,source_records_present,5,0,,4,3,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AR,03,2016,source_records_present,2,0,,2,1,0,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AR,04,2016,source_records_present,2,0,,2,1,0,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AS,00,2016,source_records_present,5,0,,5,0,0,0,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,01,2016,source_records_present,10,0,,10,10,10,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,02,2016,source_records_present,5,0,,5,5,5,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,03,2016,source_records_present,6,0,,6,2,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,04,2016,source_records_present,5,0,,5,5,5,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,05,2016,source_records_present,7,0,,7,7,7,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,06,2016,source_records_present,5,0,,5,5,5,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,07,2016,source_records_present,4,0,,4,3,3,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,08,2016,source_records_present,5,0,,5,4,4,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,AZ,09,2016,source_records_present,6,0,,6,4,4,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CA,01,2016,source_records_present,7,0,,7,7,7,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,02,2016,source_records_present,5,0,,5,5,5,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,03,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,04,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,05,2016,source_records_present,4,0,,4,4,4,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,06,2016,source_records_present,5,0,,5,5,5,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,07,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,08,2016,source_records_present,5,0,,5,5,5,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,09,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,10,2016,source_records_present,4,0,,4,4,4,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,11,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,12,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,13,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,14,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,15,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,16,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,17,2016,source_records_present,6,0,,6,6,6,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,18,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,19,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,20,2016,source_records_present,5,0,,5,5,5,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,21,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,22,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,23,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,24,2016,source_records_present,9,0,,9,9,9,4,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,25,2016,source_records_present,5,0,,5,5,5,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,26,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,27,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,28,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,29,2016,source_records_present,5,0,,5,5,5,5,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,30,2016,source_records_present,7,0,,7,7,7,4,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,31,2016,source_records_present,5,0,,5,5,5,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,32,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,33,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,34,2016,source_records_present,3,0,,3,3,3,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,35,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,36,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,37,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,38,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,39,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,40,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,41,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,42,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,43,2016,source_records_present,2,0,,2,2,2,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,44,2016,source_records_present,10,0,,10,10,10,7,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,45,2016,source_records_present,4,0,,4,4,4,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,46,2016,source_records_present,8,0,,8,8,8,3,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,47,2016,source_records_present,4,0,,4,4,4,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,48,2016,source_records_present,3,0,,3,3,3,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,49,2016,source_records_present,3,0,,3,3,3,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,50,2016,source_records_present,5,0,,5,5,5,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,51,2016,source_records_present,4,0,,4,4,4,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,52,2016,source_records_present,6,0,,6,6,6,1,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CA,53,2016,source_records_present,4,0,,4,4,4,2,nonpartisan_top_two_or_top_four,not_collected_for_nationwide_universe
2016,House,CO,01,2016,source_records_present,4,0,,4,3,3,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,02,2016,source_records_present,4,0,,4,3,3,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,03,2016,source_records_present,4,0,,4,3,3,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,04,2016,source_records_present,4,0,,4,2,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,05,2016,source_records_present,6,0,,6,4,4,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,06,2016,source_records_present,4,0,,4,2,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CO,07,2016,source_records_present,3,0,,3,2,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CT,01,2016,source_records_present,6,0,,6,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CT,02,2016,source_records_present,7,0,,7,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CT,03,2016,source_records_present,5,0,,5,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CT,04,2016,source_records_present,4,0,,4,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,CT,05,2016,source_records_present,7,0,,7,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,DC,00,2016,source_records_present,7,0,,3,5,5,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,DE,00,2016,source_records_present,13,0,,13,7,6,6,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,01,2016,source_records_present,8,0,,8,8,7,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,02,2016,source_records_present,7,0,,7,6,5,2,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,03,2016,source_records_present,3,0,,3,2,0,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,04,2016,source_records_present,10,0,,10,8,7,1,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,05,2016,source_records_present,4,0,,4,4,3,3,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,06,2016,source_records_present,7,0,,7,7,7,4,requires_election_specific_verification,not_collected_for_nationwide_universe
2016,House,FL,07,2016,source_records_present,4,0,,4,3,2,1,requires_election_specific_verification,not_collected_for_nationwide_universe
