cycle,state_code,chamber,district,term,primary_party,status,candidate_rows,source_ids,notes
2024,IN,House,01,regular,Democratic,complete_unopposed_result,1,in-2024-primary,
2024,IN,House,01,regular,Republican,complete_official_results,3,in-2024-primary,
2024,IN,House,02,regular,Democratic,complete_unopposed_result,1,in-2024-primary,
2024,IN,House,02,regular,Republican,complete_unopposed_result,1,in-2024-primary,
2024,IN,House,03,regular,Democratic,complete_official_results,2,in-2024-primary,
2024,IN,House,03,regular,Republican,complete_official_results,8,in-2024-primary,
2024,IN,House,04,regular,Democratic,complete_official_results,2,in-2024-primary,
2024,IN,House,04,regular,Republican,complete_official_results,3,in-2024-primary,
2024,IN,House,05,regular,Democratic,complete_official_results,2,in-2024-primary,
2024,IN,House,05,regular,Republican,complete_official_results,9,in-2024-primary,
2024,IN,House,06,regular,Democratic,complete_unopposed_result,1,in-2024-primary,
2024,IN,House,06,regular,Republican,complete_official_results,7,in-2024-primary,
2024,IN,House,07,regular,Democratic,complete_official_results,3,in-2024-primary,
2024,IN,House,07,regular,Republican,complete_official_results,4,in-2024-primary,
2024,IN,House,08,regular,Democratic,complete_official_results,4,in-2024-primary,
2024,IN,House,08,regular,Republican,complete_official_results,8,in-2024-primary,
2024,IN,House,09,regular,Democratic,complete_official_results,2,in-2024-primary,
2024,IN,House,09,regular,Republican,complete_official_results,2,in-2024-primary,
2024,IN,Senate,S,regular,Democratic,complete_official_results,2,in-2024-primary,
2024,IN,Senate,S,regular,Republican,complete_unopposed_result,1,in-2024-primary,
2024,MN,House,01,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,01,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,02,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,02,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,03,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,03,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,04,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,04,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,05,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,05,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,06,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,06,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,07,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,07,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,08,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,House,08,regular,Republican,official_100pct_uncertified_not_emitted,,mn-2024-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
2024,MN,Senate,S,regular,Democratic-Farmer-Labor,complete_official_results,5,mn-2024-primary-senate-summary,
2024,MN,Senate,S,regular,Republican,complete_official_results,8,mn-2024-primary-senate-summary,
2026,IN,House,01,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,01,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,02,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,02,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,03,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,03,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,04,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,04,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,05,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,05,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,06,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,06,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,07,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,07,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,08,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,08,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,09,regular,Democratic,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,House,09,regular,Republican,blocked_certified_canvass_unrecovered,,in-2026-primary,Current results are not yet exposed by the historical export API.
2026,IN,Senate,S,regular,,not_scheduled_this_cycle,0,in-2026-election-calendar,No U.S. Senate seat was scheduled for election in this state in 2026.
2026,MN,House,01,regular,Democratic-Farmer-Labor,official_100pct_uncertified_not_emitted,,mn-2026-electionresults,"Authority-hosted page reported 100%, but labels results unofficial. Certified canvass report data was not recoverable without CAPTCHA."
