contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
in-2024-05-07-house-01-regular-democratic,2024,2024-05-07,primary,IN,House,01,regular,partisan_primary,Democratic,Frank J. Mrvan,in-2024-7621,Democratic,False,31155,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7621,1
in-2024-05-07-house-01-regular-republican,2024,2024-05-07,primary,IN,House,01,regular,partisan_primary,Republican,Ben Ruiz,in-2024-7605,Republican,False,4367,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7605,1
in-2024-05-07-house-01-regular-republican,2024,2024-05-07,primary,IN,House,01,regular,partisan_primary,Republican,Mark Leyva,in-2024-7643,Republican,False,7509,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7643,1
in-2024-05-07-house-01-regular-republican,2024,2024-05-07,primary,IN,House,01,regular,partisan_primary,Republican,Randy Niemeyer,in-2024-7657,Republican,False,18449,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7657,1
in-2024-05-07-house-02-regular-democratic,2024,2024-05-07,primary,IN,House,02,regular,partisan_primary,Democratic,Lori A Camp,in-2024-7640,Democratic,False,13827,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7640,1
in-2024-05-07-house-02-regular-republican,2024,2024-05-07,primary,IN,House,02,regular,partisan_primary,Republican,Rudy Yakym,in-2024-7660,Republican,False,50799,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7660,1
in-2024-05-07-house-03-regular-democratic,2024,2024-05-07,primary,IN,House,03,regular,partisan_primary,Democratic,Kiley M. Adolph,in-2024-7636,Democratic,False,10286,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7636,1
in-2024-05-07-house-03-regular-democratic,2024,2024-05-07,primary,IN,House,03,regular,partisan_primary,Democratic,Phil Goss,in-2024-7653,Democratic,False,6095,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7653,1
in-2024-05-07-house-03-regular-republican,2024,2024-05-07,primary,IN,House,03,regular,partisan_primary,Republican,Andy Zay,in-2024-7604,Republican,False,13157,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7604,1
in-2024-05-07-house-03-regular-republican,2024,2024-05-07,primary,IN,House,03,regular,partisan_primary,Republican,Eric Whalen,in-2024-7618,Republican,False,1189,in-2024-primary,https://indianavoters.in.gov/ENRHistorical/ExportElectionsToCSV?year=2024&electionType=PRIMARY,d4160ea6b55e6b8f9e8585b264d132047d3d7d003d42915d2673a12426201cf9,in-2024-primary.csv:7618,1
