contest_id,state_code,cycle,election_date,stage,chamber,district,term,primary_party,candidate_count,unopposed,actual_zero_rows,has_write_in,result_status,certification_status,source_id
sc-2024-06-11-house-01-regular-democratic,SC,2024,2024-06-11,primary,House,01,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2024-contest-6898
sc-2024-06-11-house-01-regular-republican,SC,2024,2024-06-11,primary,House,01,regular,Republican,3,False,0,False,actual_numeric,official,sc-2024-contest-6899
sc-2024-06-11-house-02-regular-democratic,SC,2024,2024-06-11,primary,House,02,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2024-contest-6900
sc-2024-06-11-house-02-regular-republican,SC,2024,2024-06-11,primary,House,02,regular,Republican,2,False,0,False,actual_numeric,official,sc-2024-contest-6901
sc-2024-06-11-house-03-regular-democratic,SC,2024,2024-06-11,primary,House,03,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2024-contest-6902
sc-2024-06-11-house-03-regular-republican,SC,2024,2024-06-11,primary,House,03,regular,Republican,7,False,0,False,actual_numeric,official,sc-2024-contest-6903
sc-2024-06-11-house-04-regular-republican,SC,2024,2024-06-11,primary,House,04,regular,Republican,2,False,0,False,actual_numeric,official,sc-2024-contest-6904
sc-2024-06-11-house-06-regular-republican,SC,2024,2024-06-11,primary,House,06,regular,Republican,2,False,0,False,actual_numeric,official,sc-2024-contest-6905
sc-2024-06-11-house-07-regular-democratic,SC,2024,2024-06-11,primary,House,07,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2024-contest-6906
sc-2024-06-25-house-03-regular-republican,SC,2024,2024-06-25,primary_runoff,House,03,regular,Republican,2,False,0,False,actual_numeric,official,sc-2024-contest-7067
sc-2026-06-09-house-01-regular-democratic,SC,2026,2026-06-09,primary,House,01,regular,Democratic,7,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-01-regular-republican,SC,2026,2026-06-09,primary,House,01,regular,Republican,11,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-02-regular-democratic,SC,2026,2026-06-09,primary,House,02,regular,Democratic,4,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-02-regular-republican,SC,2026,2026-06-09,primary,House,02,regular,Republican,3,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-03-regular-democratic,SC,2026,2026-06-09,primary,House,03,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-04-regular-republican,SC,2026,2026-06-09,primary,House,04,regular,Republican,3,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-05-regular-democratic,SC,2026,2026-06-09,primary,House,05,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
sc-2026-06-09-house-06-regular-democratic,SC,2026,2026-06-09,primary,House,06,regular,Democratic,2,False,0,False,actual_numeric,official,sc-2026-statewide-primary-enr
