state_code,cycle,election_date,stage,chamber,district,term,primary_party,coverage_status,result_rows,missing_reason,source_ids
SC,2024,2024-06-11,primary,House,01,regular,Democratic,actual_results,2,,sc-2024-contest-6898
SC,2024,2024-06-11,primary,House,01,regular,Republican,actual_results,3,,sc-2024-contest-6899
SC,2024,2024-06-11,primary,House,02,regular,Democratic,actual_results,2,,sc-2024-contest-6900
SC,2024,2024-06-11,primary,House,02,regular,Republican,actual_results,2,,sc-2024-contest-6901
SC,2024,2024-06-11,primary,House,03,regular,Democratic,actual_results,2,,sc-2024-contest-6902
SC,2024,2024-06-11,primary,House,03,regular,Republican,actual_results,7,,sc-2024-contest-6903
SC,2024,2024-06-11,primary,House,04,regular,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2024,2024-06-11,primary,House,04,regular,Republican,actual_results,2,,sc-2024-contest-6904
SC,2024,2024-06-11,primary,House,05,regular,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2024,2024-06-11,primary,House,05,regular,Republican,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2024,2024-06-11,primary,House,06,regular,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2024,2024-06-11,primary,House,06,regular,Republican,actual_results,2,,sc-2024-contest-6905
SC,2024,2024-06-11,primary,House,07,regular,Democratic,actual_results,2,,sc-2024-contest-6906
SC,2024,2024-06-11,primary,House,07,regular,Republican,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2024,2024-06-25,primary_runoff,House,03,regular,Republican,actual_results,2,,sc-2024-contest-7067
SC,2026,2026-06-09,primary,House,06,regular,Republican,actual_results,2,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,03,regular,Republican,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-06-09,primary,Senate,S,regular,Democratic,actual_results,3,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,02,regular,Democratic,actual_results,4,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,01,regular,Republican,actual_results,11,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,04,regular,Republican,actual_results,3,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,05,regular,Democratic,actual_results,2,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,07,regular,Republican,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-06-09,primary,House,04,regular,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-06-09,primary,Senate,S,regular,Republican,actual_results,6,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,06,regular,Democratic,actual_results,2,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,03,regular,Democratic,actual_results,2,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,01,regular,Democratic,actual_results,7,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,02,regular,Republican,actual_results,3,,sc-2026-statewide-primary-enr
SC,2026,2026-06-09,primary,House,07,regular,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-06-09,primary,House,05,regular,Republican,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-06-23,primary_runoff,House,01,regular,Democratic,actual_results,2,,sc-2026-statewide-primary-runoff-enr
SC,2026,2026-06-23,primary_runoff,House,02,regular,Democratic,actual_results,2,,sc-2026-statewide-primary-runoff-enr
SC,2026,2026-06-23,primary_runoff,House,01,regular,Republican,actual_results,2,,sc-2026-statewide-primary-runoff-enr
SC,2026,2026-08-11,special_primary,Senate,S,special,Democratic,no_published_primary_result,0,official result sources publish no contest; candidate status was not inferred from the general-election ballot,
SC,2026,2026-08-11,special_primary,Senate,S,special,Republican,actual_results,10,,sc-2026-special-senate-primary-enr
SC,2026,2026-08-25,special_primary_runoff,Senate,S,special,Republican,actual_results,2,,sc-2026-special-senate-primary-runoff-enr
TN,2024,2024-08-01,primary,Senate,S,regular,Democratic,actual_results,4,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,Senate,S,regular,Republican,actual_results,3,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,01,regular,Democratic,actual_results,2,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,01,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,02,regular,Democratic,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,02,regular,Republican,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,03,regular,Democratic,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,03,regular,Republican,actual_results,2,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,04,regular,Democratic,actual_results,1,,tn-2024-statewide-primary-precinct-workbook
TN,2024,2024-08-01,primary,House,04,regular,Republican,actual_results,3,,tn-2024-statewide-primary-precinct-workbook
