source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,raw_filename,source_date,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
sc-2024-contest-6898,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6898_table.csv?split_party=false,sc/2024/sc-contest-6898.csv,2026-09-22,9dd7242868d51bc9423bd65610bf30d93892d0f7e7c998a1c1c5881588b631fc,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6899,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6899_table.csv?split_party=false,sc/2024/sc-contest-6899.csv,2026-09-22,5e69b5c8cbb920b157f7ed51ab904fed36a3eba3eb8e9a60cc238ba9fb411812,captured,verified_official,official,final_official_totals,3,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6900,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6900_table.csv?split_party=false,sc/2024/sc-contest-6900.csv,2026-09-22,6d835214a642d46428698f7db37b2cba73c97e327f6a6257d065c5bed67cbe28,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6901,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6901_table.csv?split_party=false,sc/2024/sc-contest-6901.csv,2026-09-22,b3259b969a09888bce632ab45981b45dea4d38de065f41563271da1058495a1f,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6902,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6902_table.csv?split_party=false,sc/2024/sc-contest-6902.csv,2026-09-22,891e1cd8c8d6b03fdba461c7c8bfa611d23eb697f87bfffc769dcbe556e2c08c,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6903,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6903_table.csv?split_party=false,sc/2024/sc-contest-6903.csv,2026-09-22,2fef182de3234e9af7f58be8a13b767291cacee236657ee673e0502604db61fd,captured,verified_official,official,final_official_totals,7,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6904,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6904_table.csv?split_party=false,sc/2024/sc-contest-6904.csv,2026-09-22,b86bb537a0e6823fc231b577a5963aea4fb9461a7f02f333b59444bee72fb00f,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6905,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6905_table.csv?split_party=false,sc/2024/sc-contest-6905.csv,2026-09-22,135767c355dc6bc47b4ec5fb137a45bc21449146abe6324d7a813d9e4a9ff74c,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-6906,SC,2024-06-11,primary,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/6906_table.csv?split_party=false,sc/2024/sc-contest-6906.csv,2026-09-22,85f76934bb8b16d57bc1011e9f2e7aa99b59f181c886831d18ce512c149c34ea,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
sc-2024-contest-7067,SC,2024-06-25,primary_runoff,official_election_database_contest_csv,South Carolina State Election Commission,https://scvotes.gov/elections-statistics/election-results/,https://sc.elstats.civera.com/api/download_contest/7067_table.csv?split_party=false,sc/2024/sc-contest-7067.csv,2026-09-22,9540a455991f238e1f22b9921b7308f38e709232c68fca9935f06ef21d805ad4,captured,verified_official,official,final_official_totals,2,1,one contested federal primary or runoff,CSV source line ranges recorded per result row,Accounting rows are excluded; candidate zeros are retained.
