gap_id,state_code,cycle,election_date,stage,chamber,district,primary_party,coverage_status,missing_scope,blocker,next_authoritative_step,source_urls
sc-2024-06-11-primary-house-04-democratic,SC,2024,2024-06-11,primary,House,04,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2024-06-11-primary-house-05-democratic,SC,2024,2024-06-11,primary,House,05,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2024-06-11-primary-house-05-republican,SC,2024,2024-06-11,primary,House,05,Republican,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2024-06-11-primary-house-06-democratic,SC,2024,2024-06-11,primary,House,06,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2024-06-11-primary-house-07-republican,SC,2024,2024-06-11,primary,House,07,Republican,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-06-09-primary-house-03-republican,SC,2026,2026-06-09,primary,House,03,Republican,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-06-09-primary-house-07-republican,SC,2026,2026-06-09,primary,House,07,Republican,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-06-09-primary-house-04-democratic,SC,2026,2026-06-09,primary,House,04,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-06-09-primary-house-07-democratic,SC,2026,2026-06-09,primary,House,07,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-06-09-primary-house-05-republican,SC,2026,2026-06-09,primary,House,05,Republican,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
sc-2026-08-11-special_primary-senate-s-democratic,SC,2026,2026-08-11,special_primary,Senate,S,Democratic,no_published_primary_result,numeric candidate totals and primary roster status,official result sources publish no contest; candidate status was not inferred from the general-election ballot,obtain a contemporaneous certified primary candidate roster,https://scvotes.gov/elections-statistics/election-results/
