contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
sc-2024-06-11-house-01-regular-democratic,2024,2024-06-11,primary,SC,House,01,regular,partisan_primary,Democratic,Mac Deford,6898:2,Democratic,False,10209,sc-2024-contest-6898,https://sc.elstats.civera.com/api/download_contest/6898_table.csv?split_party=false,9dd7242868d51bc9423bd65610bf30d93892d0f7e7c998a1c1c5881588b631fc,"sc-contest-6898.csv:candidate-column-4; sc-contest-6898.csv:5-133,135-231,233-314,316-320,322-387,389-393",384
sc-2024-06-11-house-01-regular-democratic,2024,2024-06-11,primary,SC,House,01,regular,partisan_primary,Democratic,Michael B Moore,6898:1,Democratic,False,10893,sc-2024-contest-6898,https://sc.elstats.civera.com/api/download_contest/6898_table.csv?split_party=false,9dd7242868d51bc9423bd65610bf30d93892d0f7e7c998a1c1c5881588b631fc,"sc-contest-6898.csv:candidate-column-3; sc-contest-6898.csv:5-133,135-231,233-314,316-320,322-387,389-393",384
sc-2024-06-11-house-01-regular-republican,2024,2024-06-11,primary,SC,House,01,regular,partisan_primary,Republican,Bill Young,6899:3,Republican,False,6691,sc-2024-contest-6899,https://sc.elstats.civera.com/api/download_contest/6899_table.csv?split_party=false,5e69b5c8cbb920b157f7ed51ab904fed36a3eba3eb8e9a60cc238ba9fb411812,"sc-contest-6899.csv:candidate-column-5; sc-contest-6899.csv:5-133,135-231,233-314,316-320,322-387,389-393",384
sc-2024-06-11-house-01-regular-republican,2024,2024-06-11,primary,SC,House,01,regular,partisan_primary,Republican,Catherine Templeton,6899:2,Republican,False,14849,sc-2024-contest-6899,https://sc.elstats.civera.com/api/download_contest/6899_table.csv?split_party=false,5e69b5c8cbb920b157f7ed51ab904fed36a3eba3eb8e9a60cc238ba9fb411812,"sc-contest-6899.csv:candidate-column-4; sc-contest-6899.csv:5-133,135-231,233-314,316-320,322-387,389-393",384
sc-2024-06-11-house-01-regular-republican,2024,2024-06-11,primary,SC,House,01,regular,partisan_primary,Republican,Nancy Mace,6899:1,Republican,False,28300,sc-2024-contest-6899,https://sc.elstats.civera.com/api/download_contest/6899_table.csv?split_party=false,5e69b5c8cbb920b157f7ed51ab904fed36a3eba3eb8e9a60cc238ba9fb411812,"sc-contest-6899.csv:candidate-column-3; sc-contest-6899.csv:5-133,135-231,233-314,316-320,322-387,389-393",384
sc-2024-06-11-house-02-regular-democratic,2024,2024-06-11,primary,SC,House,02,regular,partisan_primary,Democratic,Daniel J Shrief,6900:2,Democratic,False,3093,sc-2024-contest-6900,https://sc.elstats.civera.com/api/download_contest/6900_table.csv?split_party=false,6d835214a642d46428698f7db37b2cba73c97e327f6a6257d065c5bed67cbe28,"sc-contest-6900.csv:candidate-column-4; sc-contest-6900.csv:5-96,98-115,117-215,217-233,235-313",305
sc-2024-06-11-house-02-regular-democratic,2024,2024-06-11,primary,SC,House,02,regular,partisan_primary,Democratic,David Robinson II,6900:1,Democratic,False,16299,sc-2024-contest-6900,https://sc.elstats.civera.com/api/download_contest/6900_table.csv?split_party=false,6d835214a642d46428698f7db37b2cba73c97e327f6a6257d065c5bed67cbe28,"sc-contest-6900.csv:candidate-column-3; sc-contest-6900.csv:5-96,98-115,117-215,217-233,235-313",305
sc-2024-06-11-house-02-regular-republican,2024,2024-06-11,primary,SC,House,02,regular,partisan_primary,Republican,Hamp Redmond,6901:2,Republican,False,12085,sc-2024-contest-6901,https://sc.elstats.civera.com/api/download_contest/6901_table.csv?split_party=false,b3259b969a09888bce632ab45981b45dea4d38de065f41563271da1058495a1f,"sc-contest-6901.csv:candidate-column-4; sc-contest-6901.csv:5-96,98-115,117-215,217-233,235-313",305
sc-2024-06-11-house-02-regular-republican,2024,2024-06-11,primary,SC,House,02,regular,partisan_primary,Republican,Joe Wilson,6901:1,Republican,False,34292,sc-2024-contest-6901,https://sc.elstats.civera.com/api/download_contest/6901_table.csv?split_party=false,b3259b969a09888bce632ab45981b45dea4d38de065f41563271da1058495a1f,"sc-contest-6901.csv:candidate-column-3; sc-contest-6901.csv:5-96,98-115,117-215,217-233,235-313",305
sc-2024-06-11-house-03-regular-democratic,2024,2024-06-11,primary,SC,House,03,regular,partisan_primary,Democratic,Bryon L Best,6902:1,Democratic,False,5188,sc-2024-contest-6902,https://sc.elstats.civera.com/api/download_contest/6902_table.csv?split_party=false,891e1cd8c8d6b03fdba461c7c8bfa611d23eb697f87bfffc769dcbe556e2c08c,"sc-contest-6902.csv:candidate-column-3; sc-contest-6902.csv:5-22,24-105,107-121,123-141,143-195,197-232,234-247,249-281,283-316,318-381,383-398",384
sc-2024-06-11-house-03-regular-democratic,2024,2024-06-11,primary,SC,House,03,regular,partisan_primary,Democratic,Frances Guldner,6902:2,Democratic,False,3129,sc-2024-contest-6902,https://sc.elstats.civera.com/api/download_contest/6902_table.csv?split_party=false,891e1cd8c8d6b03fdba461c7c8bfa611d23eb697f87bfffc769dcbe556e2c08c,"sc-contest-6902.csv:candidate-column-4; sc-contest-6902.csv:5-22,24-105,107-121,123-141,143-195,197-232,234-247,249-281,283-316,318-381,383-398",384
sc-2024-06-11-house-03-regular-republican,2024,2024-06-11,primary,SC,House,03,regular,partisan_primary,Republican,Elspeth Snow Murday,6903:6,Republican,False,1754,sc-2024-contest-6903,https://sc.elstats.civera.com/api/download_contest/6903_table.csv?split_party=false,2fef182de3234e9af7f58be8a13b767291cacee236657ee673e0502604db61fd,"sc-contest-6903.csv:candidate-column-8; sc-contest-6903.csv:5-22,24-105,107-121,123-141,143-195,197-232,234-247,249-281,283-316,318-381,383-398",384
