issue,fec_candidate_id,source_url,names,locators
fec_id_with_multiple_name_spellings_requires_review,H8PA05071,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,"Nouri, Preston | Thompson, Glenn GT",PA General Ballot 2024:51 | PA General Ballot 2024:53
fec_id_with_multiple_name_spellings_requires_review,S4NY00404,https://www.fec.gov/documents/5548/2024congressgecands.xlsx,"Gillibrand, Kirsten E. | Sapraicone, Michael D.",NY General Ballot 2024:3 | NY General Ballot 2024:4
fec_id_with_multiple_name_spellings_requires_review,H2NY13096,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Espaillat, Adriano | Espaillat, Adriano (Opportunity to Ballot)",2016 US House Results by State:2448 | 2016 US House Results by State:2463
fec_id_with_multiple_name_spellings_requires_review,H2NY15109,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Williams, Clyde E. | Williams, Clyde E. (Opportunity to Ballot)",2016 US House Results by State:2450 | 2016 US House Results by State:2464
fec_id_with_multiple_name_spellings_requires_review,H4HI01183,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Griffin, Calvin (G) | Griffin, Calvin C. (G)",2016 US House Results by State:1004 | 2016 US House Results by State:993
fec_id_with_multiple_name_spellings_requires_review,H6AK00284,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Wright, Stephen | Wright, Stephen T. ""Todd""",2016 US House Results by State:50 | 2016 US House Results by State:63
fec_id_with_multiple_name_spellings_requires_review,H6HI01279,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Ostrov, Shirlene D. (Shirl) | Ostrov, Shirlene DelaCruz",2016 US House Results by State:989 | 2016 US House Results by State:999
fec_id_with_multiple_name_spellings_requires_review,H6IL05168,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Grimsley, Warren ""Grizz"" | Kolber, Vince",2016 US House Results by State:1077 | 2016 US House Results by State:1079
fec_id_with_multiple_name_spellings_requires_review,H6NY12149,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Ardini, Robert | Ardini, Robert (Opportunity to Ballot)",2016 US House Results by State:2439 | 2016 US House Results by State:2442
fec_id_with_multiple_name_spellings_requires_review,H6NY14236,https://www.fec.gov/resources/cms-content/documents/federalelections2016.xlsx,"Maio, Danniel (Opportunity to Ballot) | Maio, Danniel S.",2016 US House Results by State:2377 | 2016 US House Results by State:2378 | 2016 US House Results by State:2379 | 2016 US House Results by State:2382
