provider,results_file,results_sha256,source_manifest,manifest_sha256,candidate_rows,contests
territories,territorial_primary_results.csv,c3f2a83c3c1a8e0c20cd46a1fb52e3cbfeb352da18f7970d4d079960368e7780,territories/source_manifest.csv,e1db1928957a2cbd63ebd604c50876ed12dbccbb9bef6ebb3fac7e1cbecb6dbd,6,2
gulf,gulf_primary_results.csv,5eeebe4d21351095c9abb5c426e690f68725f632c45ccd603e4ab3ff20840154,gulf/source_manifest.csv,938a0726f1226992ef9989948b686bebeb538bf6a3764be1bb2896876876c152,123,46
northwest,northwest_primary_results.csv,fb8da56f3198e5cbf33d11f25f67e796a11d1567d622657cbf17ff9c562ed2bb,northwest/source_manifest.csv,47e71af445c2fb6d58165255ac56899e63bc7e3f9c121f3e2e9920b291f35617,142,58
nh_ct,nh_ct_primary_results.csv,aca4d84d5be0f7c63cafe9942e07f1415ba40815bfe06f08cbf779e4d3ab419c,nh_ct/source_manifest.csv,aefe17370fe1f67c25f1ae07d58b4b1774990d679a7094f9e953884982c773fc,24,4
remaining_midwest,remaining_midwest_primary_results.csv,549f02ab87d878db358d99c15f8d89cb566387eba5cb8076ac9535f2fd546adb,remaining_midwest/source_manifest.csv,778524063ee1a903b0459f363fc021e773a4f2a1584170137c7e59116e847844,94,24
sc_tn,sc_tn_primary_results.csv,a755c7c2c6eba8b807dac618f6cb2f78ca0d4856e1deecb19a858f58636c2a66,sc_tn/source_manifest.csv,a838d04f1fcbd814bd1c006edcad7e9110e84769b2b76e56ed373326b9f775e4,189,66
northeast,northeast_primary_results.csv,a0c64614859e5531ff9325cda07aa9231ad6cbafe850475b09b1565b0a57a02f,northeast/source_manifest.csv,21e1e2f6f342e50662da36ee824e2efbe68edfd4b09fbd2b619d9c358544b3d8,260,66
nj_fl,nj_fl_primary_results.csv,e44e0c32466a2f462976dbdd3320b96098f092c7b0db2a3cd72b4d7952e9b4a1,nj_fl/source_manifest.csv,0d36bdadd6f4ac649285b6626cd665b551475d727591be7f6d024bd9f9de73a5,281,91
western,western_primary_results.csv,583258bc1f5ff23c02b86ffda431c680f02b13ce339edd2f02b8ba9a416f3fa9,western/source_manifest.csv,9e5deeede7ac407e78806b43b9fe150b9c1f04f9dfa0c9e69e2218ee8a7eef18,152,59
il_oh,il_oh_primary_results.csv,61f319133bd67cbb6373c66d2675117cdc839fae779c7c596388c4dd31f04bda,il_oh/source_manifest.csv,361c8988bcd9d055c012ffeddb9bbca31be7090bc3e8653d18f7699a05352c25,246,103
ga_wi,ga_wi_primary_results.csv,05538fd5e68b0eb8cf8def1803b31f1b76d44ff6805ec751b6e7277a4df37e3d,ga_wi/source_manifest.csv,c2e988c06475f1dae92e97b161c0721dd5b6b17e5c3f679f3b3dc8c42364885c,301,151
ny_mi,ny_mi_primary_results.csv,5ec8db5a2689e0055a11f5c96779d2d158f096823fafdcb9f796b80317bfdf1f,ny_mi/source_manifest.csv,a5f27e6fde9aba19dc6d109844fe3c2f0c73583f0311833e8805aa239b31db02,1097,74
tx_pa,tx_pa_primary_results.csv,31ec319b1f7c87559356ea6b86058a14b6d09213754d68776ce11a3a12f3a1c4,tx_pa/source_manifest.csv,ce6dfba43400760e05d4346d645cf4c4d33eb40f448c1450716383d76fdac6a2,576,242
