source_id,state_code,election_date,source_url,publication_url,sha256,candidate_rows,contests,coverage
al-2024-runoff,AL,2024-04-16,https://www.sos.alabama.gov/sites/default/files/election-data/2024-07/2024%20Primary%20Runoff%20Precinct%20Results.zip,https://www.sos.alabama.gov/alabama-votes/voter/election-data,1538e5a6848a4989fe856cf538dd279f4992a8c9fdac6d6cd03978ad8017cdae,4,2,reported_primary_returns_only; uncontested nominations separate
al-2026-runoff,AL,2026-06-16,https://www.sos.alabama.gov/sites/default/files/election-data/2026-07/2026_PRIMARY_RUNOFF_ELECTION.zip,https://www.sos.alabama.gov/alabama-votes/voter/election-data,ac18e7a7681c2dc389198cba0bd9d191766d74f9bb3fce2b2ae4857c1c2c91bd,6,3,reported_primary_returns_only; uncontested nominations separate
al-2026-replacement-rep,AL,2026-08-11,https://www.sos.alabama.gov/sites/default/files/election-data/2026-09/Republication%20Results%20From%20The%20Special%20Congressional%20Election.xlsx,https://www.sos.alabama.gov/alabama-votes/voter/election-data,e166201753b221e526493607d9a2d3956ad74b4302215016a2d0360fc1648dd3,12,3,reported_primary_returns_only; uncontested nominations separate
dc-2024-primary,DC,2024-06-04,https://electionresults.dcboe.org/Downloads/Reports/June_4_2024_Primary_Election_Certified_Results.csv,https://electionresults.dcboe.org/election_results/2024-Primary-Election,176b99d2f10f1b0797f782de0a95dd717c2429299ab758de2aa57343b79d25e9,7,3,reported_primary_returns_only; uncontested nominations separate
dc-2026-primary,DC,2026-06-16,https://electionresults.dcboe.org/Downloads/Reports/June_16_2026_Primary_and_Special_Election_Certified_Results.csv,https://electionresults.dcboe.org/election_results/2026-Primary-Election,79164dd7a812b0850f8f056f2e2935952eb012dc7707e6a7a34a923c39ae11f4,10,3,reported_primary_returns_only; uncontested nominations separate
al-2026-replacement-dem,AL,2026-08-11,https://www.sos.alabama.gov/sites/default/files/election-2026/DemocraticCertificationofResultsforSpecialPrimary.pdf,https://www.sos.alabama.gov/alabama-votes/voter/election-information/2026,6dfc6f013ec280a6435f2c7c40e72b874eb8280444a8db22ff85f5bec7819448,4,1,reported_primary_returns_only; uncontested nominations separate
co-2026-primary,CO,2026-06-30,https://www.sos.state.co.us/pubs/elections/Results/2026/2026PrimaryStateAbstractofResultsCast.pdf,https://www.sos.state.co.us/pubs/elections/Results/Archives.html,807e10067804ca143853d15d13c8a0807dde64aed918a645ffd9428f035ff7aa,28,18,reported_primary_returns_only; uncontested nominations separate
ky-2024-primary,KY,2024-05-21,https://elect.ky.gov/results/2020-2029/Documents/2024%20Primary%20Results.pdf,https://elect.ky.gov/results/2020-2029/Pages/2024.aspx,9308e1c41742ab18cd8b9a28b0b6fc3d2318515a1ce9f4eec7b869b3d01f39d8,19,6,reported_primary_returns_only; uncontested nominations separate
ky-2026-primary,KY,2026-05-19,https://elect.ky.gov/Documents/2026%20Primary%20Certification%20of%20Vote%20Totals%20Final.pdf,https://elect.ky.gov/results/2020-2029/Pages/2026.aspx,e69458bae9bcce14f4aa22b3394ff0d47f9c5c9f8bd2915be1650519fdd8cd9c,54,11,reported_primary_returns_only; uncontested nominations separate
ks-2024-primary,KS,2024-08-06,https://sos.ks.gov/elections/24elec/2024-Primary-Official-Vote-Totals.pdf,https://sos.ks.gov/elections/election-results.html,c23fbb65ab905b90f2f3ff0a032c174b17fff4fbb8580f847c37571cd1e9caa1,15,8,reported_primary_returns_only; uncontested nominations separate
ks-2026-primary,KS,2026-08-04,https://sos.ks.gov/elections/26elec/2026-Primary-Election-Official-Vote-Totals.pdf,https://sos.ks.gov/elections/election-results.html,4198e9acc9ce41aecb08a7e34e03c5aad4df2044315fae396c75be109d92c768,30,10,reported_primary_returns_only; uncontested nominations separate
mo-2024-primary,MO,2024-08-06,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/2024PrimaryElection.pdf,https://www.sos.mo.gov/elections/s_default/results,d14a0a3925c50be8635612a52d85deb989ab374ab0cf9822ea17a56064208f84,57,27,reported_primary_returns_only; uncontested nominations separate
ne-2024-primary,NE,2024-05-14,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20Primary%20Canvass%20Book.pdf,https://sos.nebraska.gov/elections/previous-elections,66de7070ceca935550914740bb9afe376152d1a27213aa03bd9dd4e3390f0a00,19,10,reported_primary_returns_only; uncontested nominations separate
ne-2026-primary,NE,2026-05-12,https://sos.nebraska.gov/sites/default/files/doc/elections/2026/2026_Primary_Canvass_Book.pdf,https://sos.nebraska.gov/elections,d1b2ce9b9746a4faddc2700ce613b3cd620ec1b9bd3f9bacf5e36d9586055fba,26,12,reported_primary_returns_only; uncontested nominations separate
ia-2024-primary,IA,2024-06-04,https://sos.iowa.gov/elections/pdf/2024/primary/canvsummary.pdf,https://sos.iowa.gov/iowans/election-results-statistics,0477c5bf72145c279664e3c02e5ca92844d8e96f85d3ccd1363e488648ab5d5e,23,12,reported_primary_returns_only; uncontested nominations separate
ia-2026-primary,IA,2026-06-02,https://sos.iowa.gov/sites/default/files/2026-07/5.%20Canvass%20Summary%20Report.pdf,https://sos.iowa.gov/iowans/election-results-statistics,557b485600171962d20c605f71aceb1531a622fed3f663dd2f936adccea8fbb7,29,10,reported_primary_returns_only; uncontested nominations separate
de-2024-primary,DE,2024-09-10,https://elections.delaware.gov/reports/PR2024.csv,https://elections.delaware.gov/reports/PR2024.html,c583742e052f5cb5237886308a04d85e3bbb56ffef1b73ff55b1952c0d1496f2,5,2,reported_primary_returns_only; uncontested nominations separate
wy-2024-primary,WY,2024-08-20,https://sos.wyo.gov/Elections/Docs/2024/Results/Primary/2024_Wyoming_Primary_Results.zip,https://sos.wyo.gov/Elections/Docs/2024/2024PrimaryResults.aspx,64f3c223067fb74f3917eac8d61d7b274bf63c56e662e4c9d6c1bce7bd808ccc,11,4,reported_primary_returns_only; uncontested nominations separate
wy-2026-primary,WY,2026-08-18,https://sos.wyo.gov/Elections/Docs/2026/Results/Primary/2026_Wyoming_Primary_Results.zip,https://sos.wyo.gov/Elections/Docs/2026/2026PrimaryResults.aspx,f17a674877d0e069198c4c914c1deb104deb8849d7de3624ad105c14c4cb6416,23,4,reported_primary_returns_only; uncontested nominations separate
sd-2026-primary,SD,2026-06-02,https://sdsos.gov/elections-voting/upcoming-elections/general-information/2026%20Election%20Information/2026%20Election%20Assets/Primary/State%20Canvass%20and%20Certificate.pdf,https://sdsos.gov/elections-voting/upcoming-elections/general-information/2026%20Election%20Information/default.aspx,24346d5dca3ce50e6aeab1855a4603298eb6d96f8b99e94cfc0e42c84745b6d6,4,2,reported_primary_returns_only; uncontested nominations separate
hi-2024-primary,HI,2024-08-10,https://files.hawaii.gov/elections/files/results/2024/Primary/summary.txt,https://elections.hawaii.gov/election-result/primary-election-5/,e5a0f37a2f5a3c6d29b48d76375f901b8926a8c907ad3d3d1ffb4c893a943915,20,12,reported_primary_returns_only; uncontested nominations separate
hi-2026-primary,HI,2026-08-08,https://elections.hawaii.gov/wp-content/results/2026%20Primary/summary.txt,https://elections.hawaii.gov/election-result/primary-election-6/,68098ad3b57dfddfd9e07f724045d50f3ac30eaa27e238724ece2ee8661fc277,15,7,reported_primary_returns_only; uncontested nominations separate
nd-2024-primary,ND,2024-06-11,https://results.sos.nd.gov/ResultsExport.aspx?eid=OhimOTJtayc.,https://www.sos.nd.gov/elections/election-results,b582189470099f087f5b4b31d91d28b6ac59f75977f5b73f5b101bd3664e26e5,13,4,reported_primary_returns_only; uncontested nominations separate
