contest_id,state_code,cycle,election_date,stage,chamber,district,primary_party,candidate_count,uncontested,nonnumeric_result,result_status,certification_status,source_id
pa-2024-04-23-house-01-regular-democratic,PA,2024,2024-04-23,primary,House,01,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-01-regular-republican,PA,2024,2024-04-23,primary,House,01,Republican,2,False,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-02-regular-democratic,PA,2024,2024-04-23,primary,House,02,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-02-regular-republican,PA,2024,2024-04-23,primary,House,02,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-03-regular-democratic,PA,2024,2024-04-23,primary,House,03,Democratic,2,False,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-04-regular-democratic,PA,2024,2024-04-23,primary,House,04,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-04-regular-republican,PA,2024,2024-04-23,primary,House,04,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-05-regular-democratic,PA,2024,2024-04-23,primary,House,05,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-05-regular-republican,PA,2024,2024-04-23,primary,House,05,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-06-regular-democratic,PA,2024,2024-04-23,primary,House,06,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-06-regular-republican,PA,2024,2024-04-23,primary,House,06,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-07-regular-democratic,PA,2024,2024-04-23,primary,House,07,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-07-regular-republican,PA,2024,2024-04-23,primary,House,07,Republican,3,False,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-08-regular-democratic,PA,2024,2024-04-23,primary,House,08,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-08-regular-republican,PA,2024,2024-04-23,primary,House,08,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-09-regular-democratic,PA,2024,2024-04-23,primary,House,09,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-09-regular-republican,PA,2024,2024-04-23,primary,House,09,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-10-regular-democratic,PA,2024,2024-04-23,primary,House,10,Democratic,6,False,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-10-regular-republican,PA,2024,2024-04-23,primary,House,10,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-11-regular-democratic,PA,2024,2024-04-23,primary,House,11,Democratic,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
pa-2024-04-23-house-11-regular-republican,PA,2024,2024-04-23,primary,House,11,Republican,1,True,False,actual_numeric,certified,pa-2024-primary-precinct-returns
