gap_id,state_code,cycle,stage,chamber,coverage_status,recovered_scope,missing_scope,blocker,next_authoritative_step,source_urls
tx-2024-primary,TX,2024,primary,House/Senate,complete,171 candidate rows across 70 contests,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
tx-2024-primary_runoff,TX,2024,primary_runoff,House/Senate,complete,16 candidate rows across 8 contests,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
tx-2024-special-primary,TX,2024,special_primary,House/Senate,not_applicable,No congressional special primary in the official election inventory,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
tx-2026-primary,TX,2026,primary,House/Senate,complete,264 candidate rows across 78 contests,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
tx-2026-primary_runoff,TX,2026,primary_runoff,House/Senate,complete,36 candidate rows across 18 contests,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
tx-2026-special-primary,TX,2026,special_primary,House/Senate,not_applicable,No congressional special primary in the official election inventory,,,none,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml
pa-2024-primary,PA,2024,primary,House/Senate,complete,46 candidate rows across 35 contests,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt
pa-2024-primary_runoff,PA,2024,primary_runoff,House/Senate,not_applicable,Pennsylvania does not hold primary runoffs,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt
pa-2024-special-primary,PA,2024,special_primary,House/Senate,not_applicable,No congressional special primary in the official election inventory,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt
pa-2026-primary,PA,2026,primary,House/Senate,complete,43 candidate rows across 33 contests,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/2026-general-primary/er/electionreturns_2026_primary_precinctreturns.txt
pa-2026-primary_runoff,PA,2026,primary_runoff,House/Senate,not_applicable,Pennsylvania does not hold primary runoffs,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/2026-general-primary/er/electionreturns_2026_primary_precinctreturns.txt
pa-2026-special-primary,PA,2026,special_primary,House/Senate,not_applicable,No congressional special primary in the official election inventory,,,none,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/2026-general-primary/er/electionreturns_2026_primary_precinctreturns.txt
