contest_id,cycle,election_date,stage,state_code,chamber,district,term,election_system,primary_party,candidate_name,candidate_source_id,party,write_in,votes,source_id,source_url,source_sha256,source_locators,reporting_units
pa-2024-04-23-house-01-regular-democratic,2024,2024-04-23,primary,PA,House,01,regular,partisan_primary,Democratic,ASHLEY EHASZ,2024C0268,Democratic,False,68489,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:85332-85637,234941-234995",361
pa-2024-04-23-house-01-regular-republican,2024,2024-04-23,primary,PA,House,01,regular,partisan_primary,Republican,BRIAN FITZPATRICK,2024C0193,Republican,False,45052,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:85638-85943,234996-235050",361
pa-2024-04-23-house-01-regular-republican,2024,2024-04-23,primary,PA,House,01,regular,partisan_primary,Republican,MARK JUSTIN HOUCK,2024C0567,Republican,False,28180,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:85944-86249,235051-235105",361
pa-2024-04-23-house-02-regular-democratic,2024,2024-04-23,primary,PA,House,02,regular,partisan_primary,Democratic,BRENDAN F BOYLE,2024C0280,Democratic,False,43989,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,electionreturns_2024_primary_precinctreturns.txt:285908-286644,737
pa-2024-04-23-house-02-regular-republican,2024,2024-04-23,primary,PA,House,02,regular,partisan_primary,Republican,HAROON BASHIR,2024C0687,Republican,False,9746,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,electionreturns_2024_primary_precinctreturns.txt:286645-287381,737
pa-2024-04-23-house-03-regular-democratic,2024,2024-04-23,primary,PA,House,03,regular,partisan_primary,Democratic,DWIGHT EVANS,2024C0363,Democratic,False,93936,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,electionreturns_2024_primary_precinctreturns.txt:287382-288265,884
pa-2024-04-23-house-03-regular-democratic,2024,2024-04-23,primary,PA,House,03,regular,partisan_primary,Democratic,TRACEY L GORDON,2024C0022,Democratic,False,13165,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,electionreturns_2024_primary_precinctreturns.txt:288266-289149,884
pa-2024-04-23-house-04-regular-democratic,2024,2024-04-23,primary,PA,House,04,regular,partisan_primary,Democratic,MADELEINE DEAN CUNNANE,2024C0075,Democratic,False,78235,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:70383-70452,235106-235421",386
pa-2024-04-23-house-04-regular-republican,2024,2024-04-23,primary,PA,House,04,regular,partisan_primary,Republican,DAVID JOHN WINKLER,2024C0500,Republican,False,43625,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:70453-70522,235422-235737",386
pa-2024-04-23-house-05-regular-democratic,2024,2024-04-23,primary,PA,House,05,regular,partisan_primary,Democratic,MARY GAY SCANLON,2024C0215,Democratic,False,70068,pa-2024-primary-precinct-returns,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,98be2859553825262f8f724599a33921960fdb31af5e3549d603e333792eb07b,"electionreturns_2024_primary_precinctreturns.txt:111238,146161-146589,235738-235796,289150-289232",572
