state_code,cycle,election_date,stage,chamber,district,primary_party,coverage_status,candidate_rows,source_ids,notes
AK,2024,2024-08-20,primary,House,00,,complete_certified_results,12,ak-2024-primary-precinct,Nonpartisan top-four ballot; primary_party intentionally blank.
AK,2026,2026-08-18,primary,House,00,,complete_certified_results,15,ak-2026-primary-precinct,Nonpartisan top-four ballot; primary_party intentionally blank.
AK,2026,2026-08-18,primary,Senate,S,,complete_certified_results,16,ak-2026-primary-precinct,Nonpartisan top-four ballot; primary_party intentionally blank.
AZ,2024,2024-07-30,primary,House,01,Democratic,complete_certified_results,6,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,01,Republican,complete_certified_results,3,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,02,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,02,Republican,complete_certified_results,2,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,03,Democratic,complete_certified_results,3,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,03,Green,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,03,Republican,complete_certified_results,3,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,04,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,04,Green,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,04,Republican,complete_certified_results,4,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,05,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,05,Republican,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,06,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,06,Green,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,06,Republican,complete_certified_results,2,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,07,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,07,Republican,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,08,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,08,Republican,complete_certified_results,7,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,09,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,House,09,Republican,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,Senate,S,Democratic,complete_certified_results,1,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,Senate,S,Green,complete_certified_results,3,az-2024-primary-official-canvass,
AZ,2024,2024-07-30,primary,Senate,S,Republican,complete_certified_results,4,az-2024-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,01,Democratic,complete_certified_results,4,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,01,Libertarian,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,01,Republican,complete_certified_results,3,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,02,Democratic,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,02,Libertarian,complete_certified_results,2,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,02,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,03,Democratic,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,03,Green,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,03,No Labels,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,03,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,04,Democratic,complete_certified_results,2,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,04,No Labels,complete_certified_results,2,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,04,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,05,Democratic,complete_certified_results,3,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,05,Republican,complete_certified_results,2,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,06,Democratic,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,06,Green,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,06,Libertarian,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,06,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,07,Democratic,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,07,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,08,Democratic,complete_certified_results,2,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,08,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,09,Democratic,complete_certified_results,1,az-2026-primary-official-canvass,
AZ,2026,2026-07-21,primary,House,09,Republican,complete_certified_results,1,az-2026-primary-official-canvass,
UT,2024,2024-06-25,primary,House,01,Republican,complete_certified_results,2,ut-2024-primary-statewide-canvass,
UT,2024,2024-06-25,primary,House,02,Republican,complete_certified_results,2,ut-2024-primary-statewide-canvass,
UT,2024,2024-06-25,primary,House,03,Republican,complete_certified_results,5,ut-2024-primary-statewide-canvass,
UT,2024,2024-06-25,primary,Senate,S,Republican,complete_certified_results,4,ut-2024-primary-statewide-canvass,
UT,2026,2026-06-23,primary,House,01,Democratic,complete_certified_results,4,ut-2026-salt-lake-official-summary,Utah's statewide certification explicitly identifies U.S. House District 1 as a single-county race certified at county level; Salt Lake County's final summary covers the entire primary contest.
UT,2026,2026-06-23,primary,House,02,Republican,complete_certified_results,2,ut-2026-primary-statewide-certification,
UT,2026,2026-06-23,primary,House,03,Republican,complete_certified_results,2,ut-2026-primary-statewide-certification,
AK,2024,2024-08-20,primary,Senate,S,,not_regularly_scheduled,0,ak-2024-primary-precinct,No U.S. Senate contest appears in the official primary export.
AZ,2026,2026-07-21,primary,Senate,S,,not_regularly_scheduled,0,az-2026-primary-official-canvass,No U.S. Senate contest appears in the official statewide canvass.
NV,2026,2026-06-09,primary,Senate,S,,not_regularly_scheduled,0,,No U.S. Senate seat was scheduled in the 2026 cycle.
UT,2026,2026-06-23,primary,Senate,S,,not_regularly_scheduled,0,ut-2026-primary-statewide-certification,No U.S. Senate contest appears in the certified statewide canvass.
NV,2024,2024-06-11,primary,Senate,S,Democratic,open_official_results_unrecovered,4,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,Senate,S,Republican,open_official_results_unrecovered,13,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,01,Republican,open_official_results_unrecovered,5,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,02,Republican,open_official_results_unrecovered,2,nv-2024-primary-contests-candidates|nv-2024-humboldt-final-summary,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,03,Democratic,open_official_results_unrecovered,2,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,03,Republican,open_official_results_unrecovered,7,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,04,Democratic,open_official_results_unrecovered,2,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2024,2024-06-11,primary,House,04,Republican,open_official_results_unrecovered,3,nv-2024-primary-contests-candidates,Expected count includes None of These Candidates where printed on the ballot.
NV,2026,2026-06-09,primary,House,02,Democratic,open_official_results_unrecovered,12,nv-2026-primary-contests-candidates|nv-2026-storey-final-summary,Expected ballot-option count includes aggregate Unresolved Write-In.
NV,2026,2026-06-09,primary,House,02,Republican,open_official_results_unrecovered,14,nv-2026-primary-contests-candidates|nv-2026-storey-final-summary,Expected ballot-option count includes aggregate Unresolved Write-In.
NV,2026,2026-06-09,primary,House,04,Republican,open_official_results_unrecovered,4,nv-2026-primary-contests-candidates|nv-2026-storey-final-summary,Expected ballot-option count includes aggregate Unresolved Write-In.
NV,2024,2024-06-11,primary,House,01,Democratic,official_no_primary_contest,0,nv-2024-primary-contests-not-on-ballot,Official roster marks the nomination as not appearing in the primary.
NV,2024,2024-06-11,primary,House,02,Democratic,official_no_primary_contest,0,nv-2024-primary-contests-not-on-ballot,Official roster marks the nomination as not appearing in the primary.
NV,2026,2026-06-09,primary,House,04,Democratic,official_no_primary_contest,0,nv-2026-primary-contests-candidates,Official roster marks the nomination as not appearing in the primary.
