source_id,state_code,election_date,stage,artifact_kind,authority,publication_url,source_url,acquisition_url,raw_filename,sha256,acquisition_status,verification_status,certification_status,provisional_status,candidate_rows,contests,coverage,source_locators,notes
ak-2024-primary-precinct,AK,2024-08-20,primary,official_precinct_csv,Alaska Division of Elections,https://www.elections.alaska.gov/election-results/e/?id=24prim,https://www.elections.alaska.gov/results/24PRIM/ENRbyPrecinct.csv,https://www.elections.alaska.gov/results/24PRIM/ENRbyPrecinct.csv,ak/2024/ak-2024-primary-precinct.csv,9f875d3af717ff8f29d9756e0e1db2483e8b7cbfbf1f2f66c6222d0622e6f153,captured,verified_official,official,final_certified_totals,12,1,all federal contests and candidates; actual zero precinct totals retained,source row/page locators recorded per result row,
ak-2026-primary-precinct,AK,2026-08-18,primary,official_precinct_csv,Alaska Division of Elections,https://www.elections.alaska.gov/election-results/e/?id=26prim,https://www.elections.alaska.gov/enr26/results/GA_ENR_Precinct_State_of_Alaska.csv,https://www.elections.alaska.gov/enr26/results/GA_ENR_Precinct_State_of_Alaska.csv,ak/2026/ak-2026-primary-precinct.csv,7dde3df0d57b1618143214224bf550ea55e295a6e9960b938e6e92047c1be765,captured,verified_official,official,final_certified_totals,31,2,all federal contests and candidates; actual zero precinct totals retained,source row/page locators recorded per result row,
az-2024-primary-official-canvass,AZ,2024-07-30,primary,official_statewide_canvass_pdf,Arizona Secretary of State,https://azsos.gov/elections/election-information/2024-election-info,https://azsos.gov/sites/default/files/docs/2024_Primary_Election_Official_Canvass_0815b.pdf,https://web.archive.org/web/20240817161358id_/https://azsos.gov/sites/default/files/docs/2024_Primary_Election_Official_Canvass_0815b.pdf,az/2024/az-2024-primary-official-canvass.pdf,cd1965a958a81709e37b4d47aca3662ba1cab58066eec5bee08eaefbd763b172,captured,verified_official,official,final_certified_totals,51,24,all U.S. Senate and U.S. House primary ballot options,source row/page locators recorded per result row,Archived capture of the exact official PDF; totals were visually reviewed by page.
az-2026-primary-official-canvass,AZ,2026-07-21,primary,official_statewide_canvass_pdf,Arizona Secretary of State,https://azsos.gov/elections/election-information/2026-election-info,https://apps.azsos.gov/election/2026/canvass/20260806_Primary_Canvass.pdf,https://web.archive.org/web/20260807005831id_/https://apps.azsos.gov/election/2026/canvass/20260806_Primary_Canvass.pdf,az/2026/az-2026-primary-official-canvass.pdf,85fe65b18970c71466282cabe145dab03ad8ccacc703417203a7ea8a3946c743,captured,verified_official,official,final_certified_totals,37,25,"all U.S. House districts, primary parties, named write-ins, and candidates",official canvass pages 1-3,Totals were transcribed from rendered certified-canvass pages and checked against coordinate-aware Vision OCR plus the official candidate/write-in lists.
nv-2026-primary-contests-candidates,NV,2026-06-09,primary,official_candidate_roster_pdf,Nevada Secretary of State,https://www.clarkcountynv.gov/government/departments/elections/26p-info,https://www.nvsos.gov/home/showpublisheddocument/18368/639135026079800000,https://web.archive.org/web/20260522225332id_/https://www.nvsos.gov/home/showpublisheddocument/18368/639135026079800000,nv/2026/nv-2026-primary-contests-candidates.pdf,edd02f243efdee22e338c0b648137c1072ac62fed1a8b1ee164794909674ab1d,captured,verified_official_roster,filing_roster,not_a_vote_result,0,0,statewide 2026 candidate/contest roster; not used as vote totals,PDF pages and extracted text lines,Political affiliation is preserved only as the official ballot/filing category.
nv-2026-clark-official-results,NV,2026-06-09,primary,official_county_results_html,Clark County Election Department,https://www.clarkcountynv.gov/government/departments/elections/election-night-results,https://elections.clarkcountynv.gov/ElectionResults_NV/ENR/EnrMain,https://elections.clarkcountynv.gov/ElectionResults_NV/ENR/EnrMain,nv/2026/nv-2026-clark-official-results.html,08d35fa8fe55042ebabf7d1753d5c101aafd005c4f79e515e83c9fffefd40f0c,captured,verified_official,final_official,complete_single_county_districts,17,4,complete U.S. House Districts 1 and 3 Democratic/Republican primaries,server-rendered contest blocks,Districts 1 and 3 are filed/administered by Clark County in the official roster; District 4 totals remain withheld pending all county portions.
nv-2026-clark-final-cvr,NV,2026-06-09,primary,official_cast_vote_record_zip,Clark County Election Department,https://www.clarkcountynv.gov/government/departments/elections/26p-info,https://elections.clarkcountynv.gov/electionresultsTV/cvr/26PE/26PE_CC_CVR_Export_JUN_Final_Confidential.zip,https://elections.clarkcountynv.gov/electionresultsTV/cvr/26PE/26PE_CC_CVR_Export_JUN_Final_Confidential.zip,nv/2026/nv-2026-clark-final-cvr.zip,1868c11f847043647315216b494bb628c01f280004abf661e3b48fb5cf6e17eb,captured,verified_official_supporting_source,final_official,not_used_without_enr_reconciliation,0,0,ballot-level Clark County final CVR for all 2026 primary contests,federal candidate columns in contained CSV,Privacy-marked CVR cells are reconciled to the official server-rendered totals.
nv-2024-primary-contests-candidates,NV,2024-06-11,primary,official_candidate_roster_pdf,Clark County Election Department,https://www.clarkcountynv.gov/government/departments/elections/24p-info,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:8b9dfb6e-c6b8-400a-a8fe-b68d6e4d4859/original/as/contests-candidates-web-all-2024.pdf,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:8b9dfb6e-c6b8-400a-a8fe-b68d6e4d4859/original/as/contests-candidates-web-all-2024.pdf,nv/2024/nv-2024-primary-contests-candidates.pdf,26ee5358987e70bbe5c9f1ad445204f83578cf139aeba1c569590e1fe9236473,captured,verified_official_roster,ballot_roster,not_a_vote_result,0,0,2024 federal primary and no-primary contest accounting,PDF pages and extracted text lines,Used only to define expected contests and official no-primary nominations.
nv-2024-primary-contests-not-on-ballot,NV,2024-06-11,primary,official_candidate_roster_pdf,Clark County Election Department,https://www.clarkcountynv.gov/government/departments/elections/24p-info,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:575d8d98-7e2e-4bd2-994e-8c9c914f88ba/original/as/contests-not-on-ballot-24p.pdf,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:575d8d98-7e2e-4bd2-994e-8c9c914f88ba/original/as/contests-not-on-ballot-24p.pdf,nv/2024/nv-2024-primary-contests-not-on-ballot.pdf,070d17c167b498691e86ab311bae0921c2a9c877281a05b1c9b0dfa365a46f10,captured,verified_official_roster,ballot_roster,not_a_vote_result,0,0,2024 federal primary and no-primary contest accounting,PDF pages and extracted text lines,Used only to define expected contests and official no-primary nominations.
nv-2024-humboldt-final-summary,NV,2024-06-11,primary,official_county_final_summary_pdf,Humboldt County Clerk,https://www.humboldtcountynv.gov/317/Elections,https://www.humboldtcountynv.gov/DocumentCenter/View/7426,https://www.humboldtcountynv.gov/DocumentCenter/View/7426,nv/2024/nv-2024-humboldt-final-summary.pdf,de483723abd26254489ee37468d4f29f854450247d7e7c7550793faceb66266f,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,confirms the District 2 Republican primary candidate set and county-final format,federal contest pages in the county final summary,Supporting county artifact only; its partial vote totals are not published.
nv-2026-storey-final-summary,NV,2026-06-09,primary,official_county_final_summary_pdf,Storey County Clerk-Treasurer,https://www.storeycounty.org/208/Election-Information,https://www.storeycounty.org/DocumentCenter/View/23105,https://www.storeycounty.org/DocumentCenter/View/23105,nv/2026/nv-2026-storey-final-summary.pdf,980630deb8eb19eb08386815808930ff46d4d263e3a7d128c03103227e284d1b,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,confirms the final-summary schema and aggregate Unresolved Write-In option,federal contest pages in the county final summary,Supporting county artifact only; its partial vote totals are not published.
nv-2026-eureka-final-summary,NV,2026-06-09,primary,official_county_final_summary_pdf,Eureka County Clerk,https://www.eurekacountynv.gov/departments/clerk-recorder/elections/,https://www.eurekacountynv.gov/media/hafnpn3j/eureka2026primarysummaryfinal.pdf,https://www.eurekacountynv.gov/media/hafnpn3j/eureka2026primarysummaryfinal.pdf,nv/2026/nv-2026-eureka-final-summary.pdf,5b9036d62aefdf43c8ab49edbad0048817a51d3272fd063c80f0fae5164503e3,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Eureka County final candidate summary,federal contest pages in the county final summary,Supporting county artifact only; its partial vote totals are not published.
nv-2026-eureka-canvass-abstract,NV,2026-06-09,primary,official_county_canvass_pdf,Eureka County Clerk,https://www.eurekacountynv.gov/departments/clerk-recorder/elections/,https://www.eurekacountynv.gov/media/peghggky/2026-primary-election-canvass-and-abstract.pdf,https://www.eurekacountynv.gov/media/peghggky/2026-primary-election-canvass-and-abstract.pdf,nv/2026/nv-2026-eureka-canvass-abstract.pdf,63d545a91456fee4b889ec75c8ae09b087cdb2865c7c55acdeb8a1aac1e7d64e,captured,verified_official_supporting_source,county_final,not_used_for_partial_statewide_totals,0,0,Eureka County signed canvass and abstract certification,federal contest pages in the county final summary,Certification companion; no partial statewide totals are published.
