corpus_segment_id,text_sha256,text,source_urls,locators,gold_topic_code,reviewed_by
f612660d5b104c33a925f465,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",https://www.thesomervilletimes.com/archives/70059,paragraph 35 sentences 1-2,,
20608827e53a5452b73169a4,70d1e342a078b90a97af5c5e2fef44d3a13ddf342e6b7908f3a9bad9c7ab0dcd,"The private streets, I think that is a shame, because the person who lives on that street, I pay taxes, they pay taxes, and the whole idea of us paying taxes is, we need safety and our garbage picked up, and if we are not going to have our garbage picked up, what are we paying taxes for? Lately, I have been using this phrase, ‘No taxation without representation.’ ”",https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,paragraph 124 sentences 4-5,,
4168e38b48f690140a9bc744,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",http://www.kareemforpa.com/issues,paragraph 52 -> paragraph 54 sentences 1-2,,
b6b6c90999d97ef0244b02ac,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",https://yasmineforvirginia.com/issues/jobs | https://yasmineforvirginia.com/issues/jobs/embed,paragraph 16 | paragraph 39,,
9d4512fd2ddaea1c2d5f1832,494b97cc5799a466f2f8521cd87f1e5c72532db8b52718807e2086fe230c4a28,Abolish super PACs and replace corporate funding with publicly funded elections that amplify small-doner donations. Read More High-Speed Internet for All,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,paragraph 128 -> paragraph 130,,
761d31e51b773bff3c680247,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",http://www.wiltfortownboard.com/,paragraph 15 sentences 4-5,,
940ba1271732df7070689ab6,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,https://pharaforassembly.com/platform/lgbtq/embed,paragraph 20 -> paragraph 24,,
fd6388ea3fa9202b0afc1338,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,paragraph 222,,
f4d16a8c9fb7b4f5afa202b3,0339ad0fdf59addc27fb8647d93e5510c5783d8d457e212ce90c49981d8a4b20,"More green space is not just good for the soul, it’s important for flood prevention. Queens needs flood mitigation as the climate crisis worsens. Green spaces can play a significant role in alleviating flooding, and urban forests have a big impact on flood control, allowing water to infiltrate into the soil instead of simply running off into streets or storm sewers.",https://claireforqueens.com/platform/climate,paragraph 47,,
d5c3d643f3c3ff01d5c618d6,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,https://www.megforqueencity.com/press/candidatestatement,paragraph 31 -> paragraph 37,,
