corpus_segment_id,source_analysis_segment_ids,document_ids,candidate_slugs,candidate_names,race_ids,roles,group,cycle,election_dates,source_types,source_urls,archive_urls,final_urls,publication_dates,locators,text,token_count,text_sha256,exact_duplicate_hash,provenance_row_count
f612660d5b104c33a925f465,755792d803008e59859f91dd,bf78587c0156601ba02c892f-answers-f73ef4a495b9-146336a6f0fd,mike-connolly,Mike Connolly,race-0f0734c608b02353f3cf,endorsed,endorsed,2016,2016-09-08,candidate_questionnaire,https://www.thesomervilletimes.com/archives/70059,,https://www.thesomervilletimes.com/archives/70059,2016-09-01,paragraph 35 sentences 1-2,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",64,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,2fe8bacbc44782616dc318314934944cca792886009e17bc1f05d4db2f6ee719,1
4168e38b48f690140a9bc744,38b65b875e52f2330072372c,5e869eb8dd1bcf2b194d60eb,kareem-kandil,Kareem Kandil,race-e4f88f1286d62b12a1ab,endorsed,endorsed,2018,2018-05-15,archived_campaign_page,http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,,paragraph 52 -> paragraph 54 sentences 1-2,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",86,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,6501381d35640dfaf7cc2c31dc8996d400d2eaaeaece6016f034428e3d5a9377,1
b6b6c90999d97ef0244b02ac,5dce9ef7bd2c8d949c1a0fb3,21ec7e27ca14b1c06755921c,yasmine-parinaz-taeb,Yasmine Parinaz Taeb,race-5984c9799d268a401686,endorsed,endorsed,2019,2019-06-11,policy_page,https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed/,2019-05-13,paragraph 39,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",46,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,beea2ce5213dda966548d9842b38616d5dfaa968a00f2f57d4185eed697aeac9,1
8e6b65eea3fa05a036019279,ef31b07bf44186744a72bfc2,a8428a7c2126281c88f3bad1,danny-tenenbaum,Danny Tenenbaum,race-2f8e4895b4a4f1338b92,unopposed,endorsed,2020,2020-06-02,archived_campaign_page,https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,,paragraph 38 -> paragraph 39,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,26,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,2bb2e995720fcd0cae0d60fe4ec38e4cf94ccf2c9f6c7dafaff066c0f76010b4,1
761d31e51b773bff3c680247,d35843469e0f4337a37b41dd,c599f947e5bd43fda9deafd5,robin-wilt,Robin Wilt,race-9488fafc0bceacab9ee9,endorsed,endorsed,2021,2021-06-22,campaign_page,http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,,paragraph 15 sentences 4-5,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",77,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,b6e98c227ba5966c0fe5923c777054a94327fd6d8677eb562308c4c2c962c750,1
940ba1271732df7070689ab6,d008e1555983564bf922f267,5398b7e24e51cf7ffe07fea6,phara-souffrant-forrest,Phara Souffrant Forrest,race-a036ccb35ff1bcadc510,endorsed,endorsed,2022,2022-06-28,policy_page,https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed/,2021-01-05,paragraph 20 -> paragraph 24,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,20,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,d880515d8eec66e6b742018628eb469aa57eedadf612606ee48690dd351a3cf9,1
fd6388ea3fa9202b0afc1338,30acfec842847c5128e15f01,595c60d69ae4416a1e9b1cd9-answers-2cf0d9d82a48-ea5cde894b9a,deb-gross,Deb Gross,national-recihG0fIKbvStGIg-dem-primary,endorsed,endorsed,2023,2023-05-16,candidate_questionnaire,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,2023-04-18,paragraph 222,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",49,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,6274af668da416a082bad272678e8ae2a36640b8fb17b888365b5ba257c02fa0,1
ec74a56e57fbb67a447f90f1,b61e16dd493b88702b7c5c3d,c328f00e222b4c47472a114c,marcela-mitaynes,Marcela Mitaynes,race-d45c9105a9d86f541f3d,endorsed,endorsed,2024,2024-06-25,official_office_page_archived,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,2024-06-05,paragraph 53 -> paragraph 56,"1 / 2 Contact Us Skip past photo slidehow Office of AM Marcela Mitaynes - Fall Constituent Services Office Hours. 4907 4th Ave #1a, Brooklyn, NY 11220. To schedule an appointment, please call (718) 492-6334 or email ad51@nyassembly.gov . Starting September 4th, 2023.",43,ca7378078d9749fb06d7838b9aa03982962ec6d78955e63c284adc596b04cd71,e861278b402c6229e844c4d28441cd19dd279ae0f9c0adc647de48718e2498fa,1
d5c3d643f3c3ff01d5c618d6,9b06676de6b3e0ab523372af,09f853e136b977d8e11d5aab,meg-anandarangam,Meg Anandarangam,national-recz9WOUNjTC3V34x-dem-primary,endorsed,endorsed,2026,2026-06-02,official_campaign_statement,https://www.megforqueencity.com/press/candidatestatement,,https://www.megforqueencity.com/press/candidatestatement,2026-03-26,paragraph 31 -> paragraph 37,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,20,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,84c0778325c3c962c66f761811a84944580cd602681bbee6459b264f5fbc8718,1
54e31a18b99affea1d958163,22e6da5295c057ed70c6bd0a,c651d4e2a3ed7d5581157b1f,timothy-j-toomey-jr,"Timothy J. Toomey, Jr.",ma-house-26th-middlesex-dem-primary-2016,opponent,opponent,2016,2016-09-08,campaign_policy_page,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,2016-04-16,paragraph 1 -> paragraph 12,10 captures 12 Aug 2014 - 06 Apr 2017 Mar APR May 16 2015 2016 2017 success fail About this capture,20,af34e96da4879f587025381d9736a6f24d5f76b0a535ba0c8767eb7ac1f39ef5,3a1d72e82010a8d0bf8cbf8effd24ea43fcf1ab8b5d212c90e04fdc4c816d232,1
