corpus_segment_id,source_analysis_segment_ids,document_ids,candidate_slugs,candidate_names,race_ids,roles,group,cycle,election_dates,source_types,source_urls,archive_urls,final_urls,publication_dates,locators,text,token_count,text_sha256,exact_duplicate_hash,provenance_row_count
a9842e003355b36ab0387b68,1ebe464b1cf4710dcd0d7143,493093a4117a677a9b983402,mike-connolly,Mike Connolly,ma-house-26th-middlesex-dem-primary-2016,endorsed,endorsed,2016,2016-09-08,candidate_interview_transcript,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,2016-07-19,"time 00:12:54,90-00:12:59,35 -> time 00:12:59,36-00:13:04,01",absolutely for we and I don't I told you the thirteen minutes fifteen minutes goes very very quickly Michael before we end how can people learn more about your stance,30,ffa9e37f3f61b63f4f455924b5018894bbcc060e45ea1555172be467d385ca2a,bf0a306a3c25aaadfc3e1d61d8ecdda0d483c14730963df80a51ec1891960712,1
4168e38b48f690140a9bc744,38b65b875e52f2330072372c,5e869eb8dd1bcf2b194d60eb,kareem-kandil,Kareem Kandil,race-e4f88f1286d62b12a1ab,endorsed,endorsed,2018,2018-05-15,archived_campaign_page,http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,,paragraph 52 -> paragraph 54 sentences 1-2,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",86,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,6501381d35640dfaf7cc2c31dc8996d400d2eaaeaece6016f034428e3d5a9377,1
b6b6c90999d97ef0244b02ac,5dce9ef7bd2c8d949c1a0fb3,21ec7e27ca14b1c06755921c,yasmine-parinaz-taeb,Yasmine Parinaz Taeb,race-5984c9799d268a401686,endorsed,endorsed,2019,2019-06-11,policy_page,https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed/,2019-05-13,paragraph 39,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",46,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,beea2ce5213dda966548d9842b38616d5dfaa968a00f2f57d4185eed697aeac9,1
8e6b65eea3fa05a036019279,ef31b07bf44186744a72bfc2,a8428a7c2126281c88f3bad1,danny-tenenbaum,Danny Tenenbaum,race-2f8e4895b4a4f1338b92,unopposed,endorsed,2020,2020-06-02,archived_campaign_page,https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,,paragraph 38 -> paragraph 39,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,26,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,2bb2e995720fcd0cae0d60fe4ec38e4cf94ccf2c9f6c7dafaff066c0f76010b4,1
98930becc1b16feff1acf494,0f3e185d1a8ce7d86eae0d0d,18b70da0182bd174f33b1b2e,stanley-martin,Stanley Martin,race-84ecee2258420ae34951,endorsed,endorsed,2021,2021-06-22,candidate_questionnaire,https://reconnectrochester.org/2021/05/2021-candidates-for-rochester,,https://reconnectrochester.org/2021/05/2021-candidates-for-rochester/,2021-05-06,paragraph 598,I will assist in furthering legislation to approve & allocate funds and partner with businesses and local residents to get it done.,21,166ff013281d4f43364f57b9e1ce3a0f12389b927653e5dcc01bad618917a368,0bffda99a61d298d554bb7d2a6aa445ba25cdc1ce07ad7f27e4bba074f0a2793,1
940ba1271732df7070689ab6,d008e1555983564bf922f267,5398b7e24e51cf7ffe07fea6,phara-souffrant-forrest,Phara Souffrant Forrest,race-a036ccb35ff1bcadc510,endorsed,endorsed,2022,2022-06-28,policy_page,https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed/,2021-01-05,paragraph 20 -> paragraph 24,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,20,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,d880515d8eec66e6b742018628eb469aa57eedadf612606ee48690dd351a3cf9,1
8e9dc2166efcf7dcf9b5cdf3,0eed12dc42da9cde78016bfe,51b2c55a3c7452723e4aacb6,maurice-brown,Maurice Brown,race-e7ab577213f4505717ec,endorsed,endorsed,2023,2023-06-27,candidate_op_ed,https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,,https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,2023-03-13,paragraph 21 -> paragraph 24,"August 19, 2026 at 2:25 am City As Micron’s semiconductor project accelerates, community pushback persists By Owen Smith Asst. Digital Editor",23,add8f2b7ec2e1ad04eed6dea0772a5151c5ffdfc2b64381648194bac8e32b7d0,5a0fd17b2657dd5ae1e77c36a7da05d4fe500c752cdddd0f2fb10467c020a12b,1
ec74a56e57fbb67a447f90f1,b61e16dd493b88702b7c5c3d,c328f00e222b4c47472a114c,marcela-mitaynes,Marcela Mitaynes,race-d45c9105a9d86f541f3d,endorsed,endorsed,2024,2024-06-25,official_office_page_archived,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,2024-06-05,paragraph 53 -> paragraph 56,"1 / 2 Contact Us Skip past photo slidehow Office of AM Marcela Mitaynes - Fall Constituent Services Office Hours. 4907 4th Ave #1a, Brooklyn, NY 11220. To schedule an appointment, please call (718) 492-6334 or email ad51@nyassembly.gov . Starting September 4th, 2023.",43,ca7378078d9749fb06d7838b9aa03982962ec6d78955e63c284adc596b04cd71,e861278b402c6229e844c4d28441cd19dd279ae0f9c0adc647de48718e2498fa,1
fbc3b3474c8f1c1fc65c0164,fd14ad6ea6df5bc28ad64a46,90ae7d6aff23fa99a1ccc688,chiara-kee-kee-smith,"Chiara ""Kee Kee"" Smith",race-ceb86db4c84836622c21,endorsed,endorsed,2025,2025-06-24,candidate_questionnaire,https://rocfoodpolicy.org/resources/questionnaire25/,,https://rocfoodpolicy.org/resources/questionnaire25/,2025-06-16,paragraph 155,"The city has a responsibility to protect our kids from junk food marketing—especially in our public spaces. We can remove unhealthy ads from bus stops, rec centers, and near schools, and instead promote real, healthy, culturally relevant food.",39,75b1adfc7df5b144762621631ab7f123e263a9ec099ca2153189612e91ae3db2,eb36c55bdad8f891dd5d559b6e2fcab647cdb46f69844aa660f5c2301006647e,1
d5c3d643f3c3ff01d5c618d6,9b06676de6b3e0ab523372af,09f853e136b977d8e11d5aab,meg-anandarangam,Meg Anandarangam,national-recz9WOUNjTC3V34x-dem-primary,endorsed,endorsed,2026,2026-06-02,official_campaign_statement,https://www.megforqueencity.com/press/candidatestatement,,https://www.megforqueencity.com/press/candidatestatement,2026-03-26,paragraph 31 -> paragraph 37,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,20,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,84c0778325c3c962c66f761811a84944580cd602681bbee6459b264f5fbc8718,1
