corpus_segment_id,source_analysis_segment_ids,document_ids,candidate_slugs,candidate_names,race_ids,roles,group,cycle,election_dates,source_types,source_urls,archive_urls,final_urls,publication_dates,locators,text,token_count,text_sha256,exact_duplicate_hash,provenance_row_count
f612660d5b104c33a925f465,755792d803008e59859f91dd,bf78587c0156601ba02c892f-answers-f73ef4a495b9-146336a6f0fd,mike-connolly,Mike Connolly,race-0f0734c608b02353f3cf,endorsed,endorsed,2016,2016-09-08,candidate_questionnaire,https://www.thesomervilletimes.com/archives/70059,,https://www.thesomervilletimes.com/archives/70059,2016-09-01,paragraph 35 sentences 1-2,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",64,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,2fe8bacbc44782616dc318314934944cca792886009e17bc1f05d4db2f6ee719,1
20608827e53a5452b73169a4,e8f19b0e5ff05b9c8b0eb01e,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,khader-el-yateem,Khader El-Yateem,race-3db59a6535d2b87f2703,endorsed,endorsed,2017,2017-09-12,candidate_interview,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,paragraph 124 sentences 4-5,"The private streets, I think that is a shame, because the person who lives on that street, I pay taxes, they pay taxes, and the whole idea of us paying taxes is, we need safety and our garbage picked up, and if we are not going to have our garbage picked up, what are we paying taxes for? Lately, I have been using this phrase, ‘No taxation without representation.’ ”",69,70d1e342a078b90a97af5c5e2fef44d3a13ddf342e6b7908f3a9bad9c7ab0dcd,f8a96d9a2eaed67e407f66e1ad5bf2527257e3584e7c20e156d4dd53a09823fa,1
4168e38b48f690140a9bc744,38b65b875e52f2330072372c,5e869eb8dd1bcf2b194d60eb,kareem-kandil,Kareem Kandil,race-e4f88f1286d62b12a1ab,endorsed,endorsed,2018,2018-05-15,archived_campaign_page,http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,,paragraph 52 -> paragraph 54 sentences 1-2,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",86,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,6501381d35640dfaf7cc2c31dc8996d400d2eaaeaece6016f034428e3d5a9377,1
b6b6c90999d97ef0244b02ac,1d354e297f2132daf6ba76dd | 725646ff43e475c37f9cbb94,21ec7e27ca14b1c06755921c | a7540543a42905a08098d8a5,yasmine-parinaz-taeb,Yasmine Parinaz Taeb,race-5984c9799d268a401686,endorsed,endorsed,2019,2019-06-11,campaign_platform | policy_page,https://yasmineforvirginia.com/issues/jobs | https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513201904id_/https://yasmineforvirginia.com/issues/jobs/ | https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed,https://web.archive.org/web/20190513201904id_/https://yasmineforvirginia.com/issues/jobs/ | https://web.archive.org/web/20190513204437/https://yasmineforvirginia.com/issues/jobs/embed/,2019-05-13,paragraph 16 | paragraph 39,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",46,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,beea2ce5213dda966548d9842b38616d5dfaa968a00f2f57d4185eed697aeac9,2
9d4512fd2ddaea1c2d5f1832,010ecca37b785590fea17ec8 | 109df411ae336a30b36d7129 | 14f3bccb47ce04864c411238 | 255826ef2c440ad107dc33de | 26562cb703f685c0d55b16e0 | 2689f7bf82665159b6753cb6 | 2cf76a68d1d11746a22aa750 | 3936167d0bb42f519df3ad6f | 45bfbfc1813cdbe4980e1c23 | 4998682e83b37a6089a14317 | 4afa3cbccfc7babb983edc7d | 4c25763c806e251ca866e546 | 60d00c342c3a0dcf95d1f5a9 | 684bfd58d14f701b21e9d118 | 6ede881fde5da587f0bf6ec8 | 73f4fd51161e3cd764703e68 | 89d82dc7a0f09d5012c0939a | 8e1c21d18b2dab7d976199e2 | 9ab8dbbf4bb38945886302aa | 9b69fc688db1dcb776c96440 | a6b16d10990ef199b5e3b27b | b19dd1646d9c2205e282c6af | bf5ef305c3382c0403d49e4f | c598c8fd63b01f81938de8d6 | d007015e4284f94e1f7d7b49 | d2f11797e0b3bb39e4c78aae | df238d0a1f68f1238deffda0 | e425a85c340bb39fd3d69506 | e54ddb5f46bb3f0ff1922b35 | ec9775e5a7e8af02686c1032 | f0b5983955247758e7b55fd6 | fa865e9307cc97a75b30bdaf | fb36d85438c806ad38712394,095c29e9e049379796793c0c | 0f1c785a7ae11039ca5d8a51 | 13ec3b2ddce404c3c35c245e | 1dea89d98d400c6582caecc0 | 249f05dc7cc911b9c54db4cd | 2d3202bfc6305c2bc8e3a74e | 338bf2eb19df2ea9886161b9 | 33fed504d478db241c8a7e1b | 352509f59cd63623f62ee7b9 | 3a476c3266ed9354f88ddb08 | 47e4cce66d4a96c892b52b82 | 4825c196dda2f9d9e36379fa | 4a806e5bd093ecfe2f8c8682 | 50298adb4e9f70862e70a352 | 68b5599f4b5b8087e55bb6a7 | 77dd35ddff773b6c64f5228c | 79ffd20b1c6a90e158df4a57 | 7aadf21bd9bb73b68afd05d7 | 84c50a675fa143bd5a6f3842 | 8606a4f175ca2b86e0de1272 | 8fd864ed5a2e9eb410f991e8 | 94de1f73dc7b43b433c9bdd4 | a1232e66e8c257251a22d4ca | a912b1c5cbe5ac478ff7d2a0 | ad49647ec7c9a99c36776da5 | b1092dbc6977f2e591f1d242 | b9f795745aae15ec5ec8ef07 | bd33992518a902052358ee46 | d32f51657a2d758d2a8bb7ce | d53ac3ee6f50af6ff923efd9 | d81cb7b5da002ea0ee59f6b2 | da579acf6d56a9eb0f0eec13 | f36827af1cc4d2c1949cc173,bernie-sanders,Bernie Sanders,us-president-dem-primary-2020-ak | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-ct | us-president-dem-primary-2020-de | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ks | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-mt | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-ne | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nj | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-pr | us-president-dem-primary-2020-ri | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-sd | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,endorsed,endorsed,2020,2020-02-11 | 2020-02-29 | 2020-03-03 | 2020-03-10 | 2020-03-17 | 2020-04-07 | 2020-04-10 | 2020-04-28 | 2020-05-02 | 2020-05-12 | 2020-06-02 | 2020-06-09 | 2020-07-07 | 2020-07-12 | 2020-08-11,official_campaign_platform,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,,paragraph 128 -> paragraph 130,Abolish super PACs and replace corporate funding with publicly funded elections that amplify small-doner donations. Read More High-Speed Internet for All,23,494b97cc5799a466f2f8521cd87f1e5c72532db8b52718807e2086fe230c4a28,e9c2bd32abade658a60b940d464919c2ec2025c0ed4e1fa6e9fe363b30dfec39,33
761d31e51b773bff3c680247,d35843469e0f4337a37b41dd,c599f947e5bd43fda9deafd5,robin-wilt,Robin Wilt,race-9488fafc0bceacab9ee9,endorsed,endorsed,2021,2021-06-22,campaign_page,http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,,paragraph 15 sentences 4-5,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",77,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,b6e98c227ba5966c0fe5923c777054a94327fd6d8677eb562308c4c2c962c750,1
940ba1271732df7070689ab6,896c663114f384d3315b573b,5398b7e24e51cf7ffe07fea6,phara-souffrant-forrest,Phara Souffrant Forrest,race-a036ccb35ff1bcadc510,endorsed,endorsed,2022,2022-06-28,policy_page,https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed,https://web.archive.org/web/20210105220129/https://pharaforassembly.com/platform/lgbtq/embed/,2021-01-05,paragraph 20 -> paragraph 24,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,20,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,d880515d8eec66e6b742018628eb469aa57eedadf612606ee48690dd351a3cf9,1
fd6388ea3fa9202b0afc1338,30acfec842847c5128e15f01,595c60d69ae4416a1e9b1cd9-answers-2cf0d9d82a48-ea5cde894b9a,deb-gross,Deb Gross,national-recihG0fIKbvStGIg-dem-primary,endorsed,endorsed,2023,2023-05-16,candidate_questionnaire,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,2023-04-18,paragraph 222,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",49,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,6274af668da416a082bad272678e8ae2a36640b8fb17b888365b5ba257c02fa0,1
f4d16a8c9fb7b4f5afa202b3,b1b357795c1cd67a63f7e7a7,480af02a6cb636f1cddaabca,claire-valdez,Claire Valdez,race-440dcbc50602efe64cb3,endorsed,endorsed,2024,2024-06-25,policy_page,https://claireforqueens.com/platform/climate,https://web.archive.org/web/20240617020621id_/https://claireforqueens.com/platform/climate/,https://web.archive.org/web/20240617020621id_/https://claireforqueens.com/platform/climate/,,paragraph 47,"More green space is not just good for the soul, it’s important for flood prevention. Queens needs flood mitigation as the climate crisis worsens. Green spaces can play a significant role in alleviating flooding, and urban forests have a big impact on flood control, allowing water to infiltrate into the soil instead of simply running off into streets or storm sewers.",62,0339ad0fdf59addc27fb8647d93e5510c5783d8d457e212ce90c49981d8a4b20,8f3de6c2afd575ceab37c1640896bb919c01758b345ecac92f948f8ab94ead01,1
d5c3d643f3c3ff01d5c618d6,88449865ad5151ba7769e928,09f853e136b977d8e11d5aab,meg-anandarangam,Meg Anandarangam,national-recz9WOUNjTC3V34x-dem-primary,endorsed,endorsed,2026,2026-06-02,official_campaign_statement,https://www.megforqueencity.com/press/candidatestatement,,https://www.megforqueencity.com/press/candidatestatement,2026-03-26,paragraph 31 -> paragraph 37,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,20,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,84c0778325c3c962c66f761811a84944580cd602681bbee6459b264f5fbc8718,1
