corpus_segment_id,source_analysis_segment_ids,document_ids,candidate_slugs,candidate_names,race_ids,roles,group,cycle,election_dates,source_types,source_urls,archive_urls,final_urls,publication_dates,locators,text,token_count,text_sha256,exact_duplicate_hash,provenance_row_count
f612660d5b104c33a925f465,755792d803008e59859f91dd,bf78587c0156601ba02c892f-answers-f73ef4a495b9-146336a6f0fd,mike-connolly,Mike Connolly,race-0f0734c608b02353f3cf,endorsed,endorsed,2016,2016-09-08,candidate_questionnaire,https://www.thesomervilletimes.com/archives/70059,,https://www.thesomervilletimes.com/archives/70059,2016-09-01,paragraph 35 sentences 1-2,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",64,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,2fe8bacbc44782616dc318314934944cca792886009e17bc1f05d4db2f6ee719,1
20608827e53a5452b73169a4,e8f19b0e5ff05b9c8b0eb01e,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,khader-el-yateem,Khader El-Yateem,race-3db59a6535d2b87f2703,endorsed,endorsed,2017,2017-09-12,candidate_interview,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,paragraph 124 sentences 4-5,"The private streets, I think that is a shame, because the person who lives on that street, I pay taxes, they pay taxes, and the whole idea of us paying taxes is, we need safety and our garbage picked up, and if we are not going to have our garbage picked up, what are we paying taxes for? Lately, I have been using this phrase, ‘No taxation without representation.’ ”",69,70d1e342a078b90a97af5c5e2fef44d3a13ddf342e6b7908f3a9bad9c7ab0dcd,f8a96d9a2eaed67e407f66e1ad5bf2527257e3584e7c20e156d4dd53a09823fa,1
4168e38b48f690140a9bc744,5ddadb0a96f834fc1b800464,5e869eb8dd1bcf2b194d60eb,kareem-kandil,Kareem Kandil,race-e4f88f1286d62b12a1ab,endorsed,endorsed,2018,2018-05-15,archived_campaign_page,http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,,paragraph 52 -> paragraph 54 sentences 1-2,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",86,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,6501381d35640dfaf7cc2c31dc8996d400d2eaaeaece6016f034428e3d5a9377,1
484b519a23e4869b3301d0c4,bed9b488faa5ecaddac0e21b,c6ae6aaaeebb19711ae37b97-answers-65eb318ea787-0b056fa634e8,irma-marianela-corado,Irma Marianela Corado,race-686ed0f1771e83016f0c,endorsed,endorsed,2019,2019-06-11,candidate_questionnaire,https://ggwash.org/view/72114/whos-best-on-housing-and-transportation-in-fairfaxs-braddock-district,,https://ggwash.org/view/72114/whos-best-on-housing-and-transportation-in-fairfaxs-braddock-district,2019-05-21,paragraph 53 sentences 1-2,"This also means we need to take a holistic equitable approach to housing by recognizing how these issues are compounded by race and mental health. Particularly because black and brown people and people with mental disability in Fairfax County are disproportionately criminalized, leading to the cyclical struggles of housing and poverty.",51,d7a69c2b818a879465b1a28e9b1b1a2b832580ce539dc76c61382395a12426ec,8571b6d63c904143f768a903beabb50ff85c1b1018100d7237c947c2b8d67137,1
8e6b65eea3fa05a036019279,ef31b07bf44186744a72bfc2,a8428a7c2126281c88f3bad1,danny-tenenbaum,Danny Tenenbaum,race-2f8e4895b4a4f1338b92,unopposed,endorsed,2020,2020-06-02,archived_campaign_page,https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,https://web.archive.org/web/20191212210350id_/https://www.dannyforhd95.com/,,paragraph 38 -> paragraph 39,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,26,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,2bb2e995720fcd0cae0d60fe4ec38e4cf94ccf2c9f6c7dafaff066c0f76010b4,1
761d31e51b773bff3c680247,f0bdf91493633b16dbd1efb2,c599f947e5bd43fda9deafd5,robin-wilt,Robin Wilt,race-9488fafc0bceacab9ee9,endorsed,endorsed,2021,2021-06-22,campaign_page,http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,https://web.archive.org/web/20210508223457id_/http://www.wiltfortownboard.com/,,paragraph 15 sentences 4-5,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",77,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,b6e98c227ba5966c0fe5923c777054a94327fd6d8677eb562308c4c2c962c750,1
29fc0e5126065a7f37a2afe1,2ddda8356b70ec0f16712231,dfb6f5b143044643a7457749,jabari-brisport,Jabari Brisport,race-558960c0224035d1fd83,endorsed,endorsed,2022,2022-08-23,campaign_issue_page,https://jabariforstatesenate.com/climateandenergy,https://web.archive.org/web/20220205080000/https://jabariforstatesenate.com/climateandenergy/,https://web.archive.org/web/20220205075359/https://jabariforstatesenate.com/climateandenergy/,,paragraph 48 sentence 4,"All of this work must be done using union labor and prioritize at-risk, work-class communities, such as Red Hook and Gowanus.",23,b16f7759a54e42b0e4ff77747f2ad4622aa221e2ba7806c2db06e56d6839b6cc,804623563d1422fa6dba94bd5b05571ba692a52dcb8ab7507d15a91897d48b36,1
fd6388ea3fa9202b0afc1338,30acfec842847c5128e15f01,595c60d69ae4416a1e9b1cd9-answers-2cf0d9d82a48-ea5cde894b9a,deb-gross,Deb Gross,national-recihG0fIKbvStGIg-dem-primary,endorsed,endorsed,2023,2023-05-16,candidate_questionnaire,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,2023-04-18,paragraph 222,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",49,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,6274af668da416a082bad272678e8ae2a36640b8fb17b888365b5ba257c02fa0,1
f4d16a8c9fb7b4f5afa202b3,b1b357795c1cd67a63f7e7a7,480af02a6cb636f1cddaabca,claire-valdez,Claire Valdez,race-440dcbc50602efe64cb3,endorsed,endorsed,2024,2024-06-25,policy_page,https://claireforqueens.com/platform/climate,https://web.archive.org/web/20240617020621id_/https://claireforqueens.com/platform/climate/,https://web.archive.org/web/20240617020621id_/https://claireforqueens.com/platform/climate/,,paragraph 47,"More green space is not just good for the soul, it’s important for flood prevention. Queens needs flood mitigation as the climate crisis worsens. Green spaces can play a significant role in alleviating flooding, and urban forests have a big impact on flood control, allowing water to infiltrate into the soil instead of simply running off into streets or storm sewers.",62,0339ad0fdf59addc27fb8647d93e5510c5783d8d457e212ce90c49981d8a4b20,8f3de6c2afd575ceab37c1640896bb919c01758b345ecac92f948f8ab94ead01,1
e723c22ca689adb43eaea290,ff994f7e15eb0b369cf36544,84bb2653c0744053829c1212-answers-dbff53b22655-a1252cc8ac5e,francesca-hong,Francesca Hong,race-48b209f7fa641f4b280d,endorsed,endorsed,2026,2026-08-11,candidate_interview,https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/,,https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/,2026-01-16,paragraph 79,"Red flag laws and background checks and safe storage. I think gun safety is a universal issue, and we have to meet — we have to ensure that we’re protecting our kids. Then public education and universal child care. I think when we put our kids first, working class families all win.",52,68f3dbc594a3655e636c5871413aa26f35e0611ab33f9cc4d4ee576a1009f490,3597c888f2e4353aa9d44820454960110002353f2f9fe5547487efcf132db057,1
