stage,passage_count,share_of_eligible,description
loaded,5437,,Official-platform passages entering the analysis screen.
excluded_text_quality,119,,"Navigation, form, or boilerplate-like passages excluded."
excluded_platform_coverage,8,,Passages excluded because their platform had fewer than 10 quality-screened passages.
eligible,5310,1.0,Passages eligible for density scoring.
unhighlighted,3318,0.6248587570621469,Eligible passages outside the prespecified density-zone gates.
highlighted,1992,0.3751412429378531,"Eligible passages passing a DSA, Democratic, or shared zone gate."
hdbscan_noise,796,0.14990583804143126,Highlighted passages labeled as HDBSCAN noise.
clustered_not_retained,485,0.09133709981167608,Highlighted passages in clusters outside the retained top-six-per-zone or substantive-support gates.
retained_regions,711,0.13389830508474576,Highlighted passages assigned to the retained region inventory.
displayed_regions,262,0.04934086629001883,Eligible passages in the six regions displayed on the public map.
