cluster_selection_method,min_cluster_size,min_samples,dsa_region_count,democratic_region_count,shared_region_count,region_count,assigned_passages
leaf,8,2,5,6,6,17,509
leaf,8,3,4,6,6,16,629
leaf,8,5,3,6,6,15,627
leaf,10,2,5,6,6,17,501
leaf,10,3,3,6,6,15,711
leaf,10,5,2,6,6,14,722
leaf,15,2,2,6,6,14,716
leaf,15,3,2,6,6,14,741
leaf,15,5,2,6,6,14,777
leaf,20,2,2,6,6,14,829
leaf,20,3,2,6,6,14,780
leaf,20,5,0,6,6,12,762
eom,8,2,5,2,6,13,1651
eom,8,3,4,2,4,10,1956
eom,8,5,3,2,4,9,1951
eom,10,2,4,2,6,12,1684
eom,10,3,3,2,4,9,1984
eom,10,5,2,2,4,8,1960
eom,15,2,2,2,4,8,1990
eom,15,3,2,2,4,8,1985
eom,15,5,2,2,4,8,1960
eom,20,2,2,2,4,8,1990
eom,20,3,2,2,4,8,1985
eom,20,5,0,2,4,6,1905
