term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
dsa,0.040936645803,0.0,0.040936645803,0.744962428809,-1.0,1.744962428809,1.785899074612,hot
socialists,0.031737694009,0.0,0.031737694009,0.693341177025,-1.0,1.693341177025,1.725078871034,hot
socialist,0.026544216354,0.0,0.026544216354,0.657688185913,-1.0,1.657688185913,1.684232402267,hot
capitalists,0.013110219414,0.0,0.013110219414,0.602566828439,-1.0,1.602566828439,1.615677047853,hot
capitalist,0.01732775125,0.0,0.01732775125,0.592720265877,-1.0,1.592720265877,1.610048017127,hot
socialism,0.007610949552,0.0,0.007610949552,0.549543672621,-1.0,1.549543672621,1.557154622174,hot
capitalism,0.013170459317,0.0,0.013170459317,0.520479560705,-1.0,1.520479560705,1.533650020022,hot
consciousness,0.007488742265,0.0,0.007488742265,0.513666175783,-1.0,1.513666175783,1.521154918048,hot
multiracial,0.005374631987,0.0,0.005374631987,0.513666175783,-1.0,1.513666175783,1.519040807769,hot
st,0.016654135042,0.0,0.016654135042,0.50235916055,-1.0,1.50235916055,1.519013295592,hot
nationalist,0.004936523623,0.0,0.004936523623,0.513666175783,-1.0,1.513666175783,1.518602699405,hot
hell,0.008746461833,0.0,0.008746461833,0.490925927422,-1.0,1.490925927422,1.499672389255,hot
feminism,0.005456611133,0.0,0.005456611133,0.490925927422,-1.0,1.490925927422,1.496382538555,hot
endorsed,0.004576136445,0.0,0.004576136445,0.490925927422,-1.0,1.490925927422,1.495502063867,hot
militant,0.004325907841,0.0,0.004325907841,0.490925927422,-1.0,1.490925927422,1.495251835263,hot
domination,0.00394688568,0.0,0.00394688568,0.490925927422,-1.0,1.490925927422,1.494872813102,hot
organized,0.007198797849,0.0,0.007198797849,0.461548195083,-1.0,1.461548195083,1.468746992932,hot
louis,0.015600684587,0.0,0.015600684587,0.448380196476,-1.0,1.448380196476,1.463980881063,hot
queer,0.005822597136,0.0,0.005822597136,0.448380196476,-1.0,1.448380196476,1.454202793612,hot
