document_id,group,platform_level,organizations,platform_types,titles,cycle_years,quality_screened_passages,eligible,exclusion_reason
context-doc-0244906be9309d0848124ffc,democratic,national,Democratic National Committee,national_party_platform,2016 Democratic Party Platform | 2016 Democratic Party Platform carried into the 2017 cycle | 2016 Democratic Party Platform carried into the 2018 cycle | 2016 Democratic Party Platform carried into the 2019 cycle,2016 | 2017 | 2018 | 2019,425,True,
context-doc-09687338d553ab8a9b2ab797,democratic,subnational,Colorado Democratic Party,state_party_platform | state_party_platform_search_seed,Colorado Democratic Party Platform | Colorado Democratic Party full platform search seed | Colorado Democratic Party platform status for 2018,2018 | 2020 | 2022 | 2024 | 2026,393,True,
context-doc-10145fb557b7ee2ae0ae2993,democratic,subnational,Michigan Democratic Party,state_party_platform,2020 MDP Platform Final Draft | 2020 MDP Platform Final Draft carried into the 2024 cycle | 2020 MDP Platform Final Draft carried into the 2026 cycle | Michigan Democratic Party Platform,2016 | 2020 | 2022 | 2024 | 2026,245,True,
context-doc-13a9bab63c12c7ea0d40dc3b,democratic,subnational,Connecticut Democrats,state_party_platform,Connecticut Democrats Platform,2026,6,False,fewer_than_10_quality_screened_passages
context-doc-211ec568874d90f54f70b9fd,democratic,subnational,California Democratic Party,state_party_platform,Our Platform,2020,22,True,
context-doc-239718992e871ac233639533,democratic,subnational,Democratic Party of Georgia,state_party_platform,Democratic Party of Georgia 2024 Platform,2024,145,True,
context-doc-241b71c330a272965f95ad2d,democratic,national,Democratic National Committee,national_party_platform,2024 Democratic Party Platform | 2024 Democratic Party Platform carried into the 2025 cycle | 2024 Democratic Party Platform carried into the 2026 cycle,2024 | 2025 | 2026,682,True,
context-doc-2454ea91c2ad9e75338d7321,democratic,subnational,Democratic Party of Wisconsin,state_party_platform,DPW 2024 Platform adopted on 9 June 2024,2024,36,True,
context-doc-28f5f034d1447d17603558a5,democratic,subnational,North Carolina Democratic Party,state_party_platform,2022 NCDP Adopted Platform,2022,190,True,
context-doc-29e6a415065f6e646936ffc6,democratic,subnational,New Mexico Democratic Party,state_party_platform,Democratic Party of New Mexico Platform 2024 Amended,2026,363,True,
