race_id,state_code,jurisdiction,election_date,candidate_name,role,democratic_comparator_count_for_endorsed_group,comparison_scope,election_timing,timing_verified_statements,timing_unverified_statements,statement_coverage,full_platform_review,source_urls,excerpt_ids
me-house-39-dem-primary-2016,ME,Maine,2016-06-14,Andrew Edwards,opponent,1,democratic_primary,past_scheduled_date,1,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,exc-hist-a-01-001
me-house-39-dem-primary-2016,ME,Maine,2016-06-14,Mike Sylvester,endorsed,1,democratic_primary,past_scheduled_date,1,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,exc-hist-a-01-002
national-rec0ntzcTu773zMP5-dem-primary,PA,Allegheny County,2023-05-16,Dennis McDermott,endorsed,1,democratic_primary,past_scheduled_date,4,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott,pa23-mcdermott-shuman | pa23-mcdermott-environment | pa23-mcdermott-assessments | pa23-mcdermott-council
national-rec0ntzcTu773zMP5-dem-primary,PA,Allegheny County,2023-05-16,Paul Klein,opponent,1,democratic_primary,past_scheduled_date,4,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott,pa23-klein-shuman | pa23-klein-environment | pa23-klein-assessments | pa23-klein-council
national-recihG0fIKbvStGIg-dem-primary,PA,City of Pittsburgh / Allegheny County,2023-05-16,Deb Gross,endorsed,1,democratic_primary,past_scheduled_date,4,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,pa23-gross-public-housing | pa23-gross-inclusionary | pa23-gross-youth | pa23-gross-police
national-recihG0fIKbvStGIg-dem-primary,PA,City of Pittsburgh / Allegheny County,2023-05-16,Jordan Botta,opponent,1,democratic_primary,past_scheduled_date,4,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,pa23-botta-public-housing | pa23-botta-inclusionary | pa23-botta-youth | pa23-botta-police
national-recz9WOUNjTC3V34x-dem-primary,NJ,Plainfield,2026-06-02,Meg Anandarangam,endorsed,2,democratic_primary,past_scheduled_date,1,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://www.megforqueencity.com/press/plainfieldneedsrentcontrolnow,exc-hist-c-27-022
national-recz9WOUNjTC3V34x-dem-primary,NJ,Plainfield,2026-06-02,Robert Graham,opponent,2,democratic_primary,past_scheduled_date,0,0,no_reviewed_statement,not_established_by_excerpt_recovery,,
national-recz9WOUNjTC3V34x-dem-primary,NJ,Plainfield,2026-06-02,Yasmin Griffin,opponent,2,democratic_primary,past_scheduled_date,0,0,no_reviewed_statement,not_established_by_excerpt_recovery,,
race-0159b30b2abfcca8ea6b,NY,District 38,2025-06-24,Alexa Avilés,endorsed,1,democratic_primary,past_scheduled_date,2,0,has_timing_verified_statement,not_established_by_excerpt_recovery,https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025,ex-hd-25-alexa-avil-s | ex-joldc-680e40f0e5d4447049e10632-housing
