candidate_name,race_id,source_id,metadata_document_id,source_url,publication_date,source_sha256,source_raw_path,locator,complete_published_response,text_sha256,review_method,limit
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 103,"“That’s my legacy in the community, always about bringing people together, talking to everyone, knowing all my neighbors. I love the neighborhood because people are civically engaged. Also with the Trump election, I felt all our civil liberties have been under attack, we as people of color in this country, as immigrants, we became under attack. And as we are seeing in Charlottesville, Va., and other cities, the white supremacists, KKK, and neo-nazis, have the green light and full permission to practice their acts of racism and hate against minorities. And our job, our duty as faith leaders, as civically engaged people, is to rise up and resist Trump and his policies. And when the seat became vacant, many leaders from the community, came to me and said, ‘we believe you can do this for us, we want you to run for city Council.’ I am not a career politician. I never in my life thought I’d be running for office, but I always say certain times call for certain measures, and this was one of them, to make sure we have leadership — empower everyone in the community, give everyone a voice, and make sure everyone is at the table.”",a06e3806d76a558e8376df35604180e950066257c4d87965d69d6832a87cf5e2,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 106,"“All my life I was told, ‘Oh it’s a conservative district, you cannot do this, cannot do that,’ and here’s an 85-year-old and the only reason he signed my petition is because I was endorsed by the D.S.A. What I’m seeing at the doors also, people are very excited about my leadership and being endorsed by the D.S.A. became a huge endorsement. I think we have a clear path to victory.”",1768440f26f26f9472d22a51e4d49bb374aa382d99fdf38a68f6a2187e568161,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 112,"“We always have had a respectful relationship. He did a few things that I appreciated, such as street naming, but there are major issues with him when it comes down to when he voted against the Community Safety Act. Here I am an immigrant, a person of color, in your district and you’re voting against my right in this country. That is one of the most disheartening issues that really bothered me about Councilman Gentile.”",5241afc5f3b163622f9ac1b179d853dfd811e264dc92b1e6d7c37a33e26dc36d,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 115,"“She is a woman, who is an American from Palestinian background, who is committed to issues of justice. She is fighting for her platform, and I think for me as a city council member, I would be fighting for issues of justice in our city to make sure everyone’s treated with dignity and respect. I knew her as a woman who was fighting for the community, who created beautiful programs for women’s empowerment. During this campaign it has been fascinating the things that I am seeing and hearing [said] about myself, and about my campaign — it would make you shiver and cry.… but I will never back off, I will stay committed to the issues of justice, I will fight any acts of hate or racism in my community or my city, and I will do whatever it takes in my power to protect immigrants and undocumented immigrants in this sanctuary city. But there’s unfortunately a lot of people who are spreading a lot of rumors, fighting me and my identity — and I am proud of who I am, as I’m fighting for everyone in my district to be proud of who they are.”",b9fa4888cc0d10a37044c8343ddb3144cb551a35713a2374f5c9a143756defff,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 118,"“The law that’s been enacted is a great first step but we need comprehensive review of this and where we can give it more teeth, to hold greedy landlords accountable. And we need to understand the people who live in these illegally converted homes are humans, and we don’t need to victimize the victim over again, and that’s why I am committed to say these people who cannot afford to live in these houses, we need to find place to build affordable housing for them.”",01fdcd9b7122c3329f75d1bcfd23abc7d18889fe54cd16da9299f0791d832e3b,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 121,"“We have a transportation system in southwest Brooklyn that is not serving the hardworking families that live there. As a Council member, I will go to Albany, I will work with elected officials there, I will advocate. We have the Bay Ridge Avenue station closed down, we’re spending $24 million for the station to do cosmetic changes … not going to help the trains come on time. And we have in our community people who are one delayed train away from being fired from their jobs. For Citi Bike in my neighborhood, it’s a congested neighborhood, parking is a nightmare. If we are going to bring Citi Bike to the district, I need to make sure it’s done in a smart, creative way where it isn’t taking away parking spots, that is the only way I can support it.”",f542fbfda394f5d4687e0692daeae43e3236d2138ed99d5f5d2847b958e1ce8f,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 124,"“There are two issues here, because of the organic recycling, now they subdivide the trucks so they are unable to pick up the large articles. You have to call 311 and schedule an appointment, and unfortunately people don’t know that. We need to figure out how we can bring back the trucks so these articles are being picked up, and if we are not going to do that, we have to do a very heavy outreach to people who live in the district to make sure they understand the process. The private streets, I think that is a shame, because the person who lives on that street, I pay taxes, they pay taxes, and the whole idea of us paying taxes is, we need safety and our garbage picked up, and if we are not going to have our garbage picked up, what are we paying taxes for? Lately, I have been using this phrase, ‘No taxation without representation.’ ”",b7a27bb61d60575e4554addb543bef36c192282f08c4f13ee2532f4cb3253e64,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Khader El-Yateem,race-3db59a6535d2b87f2703,ny17-elyateem,ee9580f5942b271b0ea5a5cd-answers-6048f43489be-d725191e8df8,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,2017-08-29,6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62,data/raw/policy_new_york_2017/ny17-elyateem/6048f43489be2b5bc792e5668b92ef822697fd8cc815278fd3c0c144d4076c62.html,paragraph 127,"“We are seeing our children literally dying on our streets. This all started with prescription drugs. I am a strong supporter to combat this epidemic in our district and our city, and not talking about only increasing police presence. I am talking about recreation, counseling centers, bringing agencies and resources, engaging the parents. We need to create safer places where families can come with their children, where they can receive the correct counseling to combat that addiction. I cannot sit on the sidelines watch our kids dying and not do anything. We need to make sure we are involving everybody, getting the word out and in other languages, Chinese, Russian, and everybody who lives in the district has to be able to hear it in a language they understand — but I believe our public funding has to be used to combat the problem, and that means stopping the drugs flowing into our neighborhood and creating the sources for counseling and treatment. I don’t support opening these places where people can go and shoot, that is not something I will support, I will support drug counseling centers to combat the problem.”",074a71f218abae9e1134a37529be8fef0a573d1dc24647688361e6bb4b409a2d,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Justin Brannan,race-3db59a6535d2b87f2703,ny17-brannan,fb81b7ea96678381e93346b8-answers-f56c20adb8cb-8ef0f8457d76,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-justin-brannan/,2017-08-23,f56c20adb8cb7d4b7d21cd58099eb14063f0edebe16a398c05abd9867bc01790,data/raw/policy_new_york_2017/ny17-brannan/f56c20adb8cb7d4b7d21cd58099eb14063f0edebe16a398c05abd9867bc01790.html,paragraph 103,"“I’m the only guy running on the Democratic side who grew up in the neighborhood. And the reason why that matters is that I know the neighborhood like the back of my hand … It’s sort o f crazy for me to think that I’m running for office. I was really disaffected and disillusioned by the whole process. I got my start, really, as an activist. I loved the instant gratification of activism, and I found the pace of electoral politics too slow for me. I found municipal government to be the closest form of activism where someone could come into your office, and they have a problem, and no matter how big or small it is, you can try to undo that knot, and that felt great, and that felt instant.”",1974134fc9c4ff0f0cdcf3be7f036a4f689e0b80503bd2462a0c09a09385eab4,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
Justin Brannan,race-3db59a6535d2b87f2703,ny17-brannan,fb81b7ea96678381e93346b8-answers-f56c20adb8cb-8ef0f8457d76,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-justin-brannan/,2017-08-23,f56c20adb8cb7d4b7d21cd58099eb14063f0edebe16a398c05abd9867bc01790,data/raw/policy_new_york_2017/ny17-brannan/f56c20adb8cb7d4b7d21cd58099eb14063f0edebe16a398c05abd9867bc01790.html,paragraph 106,"“I think Councilman Gentile taught me a lot, he brought me to the dance, he gave me my first job in city government, he took a chance on me. I had no experience before I met the guy. I think this particular seat, for the foreseeable future is always going to be a constituent service-heavy seat. Councilman Gentile is still very, very popular in the district, as far as making a name for himself citywide, it’s not a legislative-heavy seat. If you get involved in citywide issues, it’s a larger platform, but as far as people and constituents who can say that Councilman Gentile really helped them, through whatever it may be, there’s lots and lots of people like that.”",cdaa6279285964b210a0cf5e7fabddfec65391c2bc4b0a3caa80a371b255248e,assistant_source_review_not_independent_human_gold,"Complete published response block; edited by the publisher, not an unedited transcript or complete campaign platform."
